"country","code","population_size","world_bank_economies","date_tests_last_reported","days_since_tests_reported","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","cum_seq","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","dx_testing_binary","sars_cov_2_binary","ngs_capacity","facility_access","ngs_facility","archetype_orig","dx_archetype","sx_archetype","dx_testing_rec","sx_sequencing_rec","prev_dx","prev_sequ","seq_but_no_test_flag","TPR_pct","daily_tests_per_1000","pct_seq","seq_per_100k"
"Bosnia and Herzegovina","BIH",3281000,"Upper middle income","December 05, 2022",58,0.2878,0.21,1456,0.11,1.701,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","28.8 %","0.21 per 1,000 persons","0.11 %","1.7 per 100k persons"
"Botswana","BWA",2352000,"Upper middle income","May 18, 2022",259,0.3245,0.67,5256,2.31,68.547,"Insufficient testing data","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","32.5 %","0.67 per 1,000 persons","2.31 %","68.5 per 100k persons"
"Brazil","BRA",212559000,"Upper middle income","August 17, 2022",168,0.7718,0.28,211933,0.58,30.055,"Does not meet testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","77.2 %","0.28 per 1,000 persons","0.58 %","30.1 per 100k persons"
"British Indian Ocean Territory","IOT",NaN,"No income data","No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient testing data","Insufficient data",NaN,"Insufficient data",NaN,"Insufficient data","Insufficient data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics","Insufficient data","Insufficient data","no","Insufficient data","Insufficient data","Insufficient data","Insufficient data"
"British Virgin Islands","VGB",NaN,"High income","No tests reported",NaN,NaN,NaN,198,1.19,54.258,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","1.19 %","54.3 per 100k persons"
"Brunei","BRN",437000,"High income","December 14, 2021",414,NaN,NaN,4948,1.43,826.722,"Insufficient testing data","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","1.43 %","826.7 per 100k persons"
"Bulgaria","BGR",6948000,"Upper middle income","February 01, 2023",0,0.1277,1.1,20452,1.25,61.162,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","12.8 %","1.1 per 1,000 persons","1.25 %","61.2 per 100k persons"
"Burkina Faso","BFA",20903000,"Low income","March 09, 2022",329,0.0087,0.02,664,0,0,"Insufficient testing data","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","0.9 %","0.02 per 1,000 persons","0 %","0 per 100k persons"
"Burundi","BDI",11891000,"Low income","January 03, 2023",29,0.0215,0.17,157,0,0,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","2.1 %","0.17 per 1,000 persons","0 %","0 per 100k persons"
"Cambodia","KHM",16719000,"Lower middle income","November 01, 2022",92,0.0524,0.07,3876,8.6,8.874,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","5.2 %","0.07 per 1,000 persons","8.6 %","8.9 per 100k persons"
"Cameroon","CMR",26546000,"Lower middle income","August 25, 2022",160,0.0066,0.18,1373,0.88,0.229,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","0.7 %","0.18 per 1,000 persons","0.88 %","0.2 per 100k persons"
"Canada","CAN",37742000,"High income","November 28, 2022",65,0.1395,0.89,462474,13.06,507.537,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","14 %","0.89 per 1,000 persons","13.06 %","507.5 per 100k persons"
"Cape Verde","CPV",556000,"Lower middle income","January 03, 2023",29,0.0732,0.55,755,4.16,52.599,"Meets testing target","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","7.3 %","0.55 per 1,000 persons","4.16 %","52.6 per 100k persons"
"Cayman Islands","CYM",NaN,"High income","No tests reported",NaN,NaN,NaN,101,0,0,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0 %","0 per 100k persons"
"Central African Republic","CAF",4830000,"Low income","January 03, 2023",29,0.0455,0.02,110,0,0,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","4.6 %","0.02 per 1,000 persons","0 %","0 per 100k persons"
"Chad","TCD",16426000,"Low income","December 30, 2022",33,0.0191,0.01,49,0,0,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","1.9 %","0.01 per 1,000 persons","0 %","0 per 100k persons"
"Chile","CHL",19116000,"High income","February 01, 2023",0,0.1634,2.64,40907,0.63,94.334,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","16.3 %","2.64 per 1,000 persons","0.63 %","94.3 per 100k persons"
"China","CHN",1439324000,"Upper middle income","June 24, 2020",952,NaN,NaN,14123,0.59,0.783,"Insufficient testing data","Does not meet sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","Insufficient data","Insufficient data","0.59 %","0.8 per 100k persons"
"Colombia","COL",50883000,"Upper middle income","January 29, 2023",3,0.0954,0.28,25771,1.82,15.823,"Does not meet testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","9.5 %","0.28 per 1,000 persons","1.82 %","15.8 per 100k persons"
"Comoros","COM",870000,"Lower middle income","November 13, 2022",80,0.0283,0.15,42,0.69,0.956,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","2.8 %","0.15 per 1,000 persons","0.69 %","1 per 100k persons"
"Cook Islands","COK",NaN,"No income data","No tests reported",NaN,NaN,NaN,0,0,0,"Insufficient testing data","Does not meet sequencing target",NaN,"Insufficient data",NaN,"Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0 %","0 per 100k persons"
"Costa Rica","CRI",5094000,"Upper middle income","June 01, 2022",245,0.1662,2.07,9161,1.27,119.112,"Insufficient testing data","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","16.6 %","2.07 per 1,000 persons","1.27 %","119.1 per 100k persons"
"Croatia","HRV",4105000,"High income","January 31, 2023",1,0.2737,0.84,41727,5.21,417.233,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","27.4 %","0.84 per 1,000 persons","5.21 %","417.2 per 100k persons"
"Cuba","CUB",11327000,"Upper middle income","October 17, 2022",107,0.0463,0.52,1671,0.54,3.202,"Meets testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Sustain","Connect/Build","Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","4.6 %","0.52 per 1,000 persons","0.54 %","3.2 per 100k persons"
"Curaçao","CUW",NaN,"High income","No tests reported",NaN,NaN,NaN,2195,10.14,461.885,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","10.14 %","461.9 per 100k persons"
"Cyprus","CYP",1207000,"High income","July 11, 2021",570,NaN,NaN,3131,0.07,30.803,"Insufficient testing data","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","Insufficient data","Insufficient data","0.07 %","30.8 per 100k persons"
"Czech Republic","CZE",10709000,"High income","January 31, 2023",1,0.2215,1.81,56678,1.83,252.935,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","22.1 %","1.81 per 1,000 persons","1.83 %","252.9 per 100k persons"
"Democratic Republic of the Congo","COD",89561000,"Low income","January 03, 2023",29,0.04,0.01,1345,1.42,0.145,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","4 %","0.01 per 1,000 persons","1.42 %","0.1 per 100k persons"
"Denmark","DNK",5792000,"High income","February 01, 2023",0,0.1165,7.1,629460,17.1,4686.431,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","11.7 %","7.1 per 1,000 persons","17.1 %","4686.4 per 100k persons"
"Djibouti","DJI",988000,"Lower middle income","September 20, 2022",134,0.0032,0.35,885,94.5,18.379,"Does not meet testing target","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","0.3 %","0.35 per 1,000 persons","94.5 %","18.4 per 100k persons"
"Dominica","DMA",72000,"Upper middle income","December 28, 2021",400,NaN,NaN,40,0.14,12.37,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0.14 %","12.4 per 100k persons"
"Dominican Republic","DOM",10848000,"Upper middle income","November 30, 2022",63,0.0952,0.31,2590,1.37,12.673,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Strengthen/Leverage","yes","9.5 %","0.31 per 1,000 persons","1.37 %","12.7 per 100k persons"
"East Timor","TLS",NaN,"Lower middle income","No tests reported",NaN,NaN,NaN,357,0,0,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0 %","0 per 100k persons"
"Ecuador","ECU",17643000,"Upper middle income","February 01, 2022",365,0.6081,0.61,9277,1.38,23.993,"Insufficient testing data","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","60.8 %","0.61 per 1,000 persons","1.38 %","24 per 100k persons"
"Egypt","EGY",102334000,"Lower middle income","August 15, 2022",170,0.0143,0.32,3201,1.1,0.867,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","1.4 %","0.32 per 1,000 persons","1.1 %","0.9 per 100k persons"
"El Salvador","SLV",6486000,"Lower middle income","August 30, 2022",155,0.0663,0.72,611,0.22,2.351,"Meets testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Sustain","Strengthen/Leverage","Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Sustain","Strengthen/Leverage","no","6.6 %","0.72 per 1,000 persons","0.22 %","2.4 per 100k persons"
"Equatorial Guinea","GNQ",1403000,"Upper middle income","December 30, 2022",33,0.0122,0.26,214,0,0,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","1.2 %","0.26 per 1,000 persons","0 %","0 per 100k persons"
"Eritrea","ERI",3546000,"Low income","December 21, 2020",772,NaN,NaN,0,0,0,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0 %","0 per 100k persons"
"Estonia","EST",1327000,"High income","January 31, 2023",1,0.3456,1.72,14894,1.97,402.243,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","34.6 %","1.72 per 1,000 persons","1.97 %","402.2 per 100k persons"
"Eswatini","SWZ",1160000,"Lower middle income","January 03, 2023",29,0.0482,0.3,1054,4.27,20.305,"Does not meet testing target","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","4.8 %","0.3 per 1,000 persons","4.27 %","20.3 per 100k persons"
"Ethiopia","ETH",114964000,"Low income","January 03, 2023",29,0.031,0.03,616,0.02,0.006,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","3.1 %","0.03 per 1,000 persons","0.02 %","0 per 100k persons"
