"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Chile","High income","February 01, 2023","16.3 %","2.64 per 1,000 persons","0.63 %","94.3 per 100k persons",40907,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"China","Upper middle income","June 24, 2020","Insufficient data","Insufficient data","0.59 %","0.8 per 100k persons",14123,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Colombia","Upper middle income","January 29, 2023","9.5 %","0.28 per 1,000 persons","1.82 %","15.8 per 100k persons",25771,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Comoros","Lower middle income","November 13, 2022","2.8 %","0.15 per 1,000 persons","0.69 %","1 per 100k persons",42,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Costa Rica","Upper middle income","June 01, 2022","16.6 %","2.07 per 1,000 persons","1.27 %","119.1 per 100k persons",9161,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Croatia","High income","January 31, 2023","27.4 %","0.84 per 1,000 persons","5.21 %","417.2 per 100k persons",41727,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cuba","Upper middle income","October 17, 2022","4.6 %","0.52 per 1,000 persons","0.54 %","3.2 per 100k persons",1671,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Curaçao","High income","No tests reported","Insufficient data","Insufficient data","10.14 %","461.9 per 100k persons",2195,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Cyprus","High income","July 11, 2021","Insufficient data","Insufficient data","0.07 %","30.8 per 100k persons",3131,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Czech Republic","High income","January 31, 2023","22.1 %","1.81 per 1,000 persons","1.83 %","252.9 per 100k persons",56678,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Democratic Republic of the Congo","Low income","January 03, 2023","4 %","0.01 per 1,000 persons","1.42 %","0.1 per 100k persons",1345,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Denmark","High income","February 01, 2023","11.7 %","7.1 per 1,000 persons","17.1 %","4686.4 per 100k persons",629460,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Djibouti","Lower middle income","September 20, 2022","0.3 %","0.35 per 1,000 persons","94.5 %","18.4 per 100k persons",885,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Dominica","Upper middle income","December 28, 2021","Insufficient data","Insufficient data","0.14 %","12.4 per 100k persons",40,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Dominican Republic","Upper middle income","November 30, 2022","9.5 %","0.31 per 1,000 persons","1.37 %","12.7 per 100k persons",2590,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"East Timor","Lower middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",357,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Ecuador","Upper middle income","February 01, 2022","60.8 %","0.61 per 1,000 persons","1.38 %","24 per 100k persons",9277,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Egypt","Lower middle income","August 15, 2022","1.4 %","0.32 per 1,000 persons","1.1 %","0.9 per 100k persons",3201,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"El Salvador","Lower middle income","August 30, 2022","6.6 %","0.72 per 1,000 persons","0.22 %","2.4 per 100k persons",611,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Equatorial Guinea","Upper middle income","December 30, 2022","1.2 %","0.26 per 1,000 persons","0 %","0 per 100k persons",214,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Eritrea","Low income","December 21, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Estonia","High income","January 31, 2023","34.6 %","1.72 per 1,000 persons","1.97 %","402.2 per 100k persons",14894,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Eswatini","Lower middle income","January 03, 2023","4.8 %","0.3 per 1,000 persons","4.27 %","20.3 per 100k persons",1054,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ethiopia","Low income","January 03, 2023","3.1 %","0.03 per 1,000 persons","0.02 %","0 per 100k persons",616,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Faroe Islands","High income","February 27, 2022","No cases reported","24.92 per 1,000 persons","0 %","0 per 100k persons",42,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Fiji","Upper middle income","January 26, 2023","3.5 %","0.56 per 1,000 persons","0 %","0 per 100k persons",531,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Finland","High income","January 29, 2023","38.7 %","1.25 per 1,000 persons","1.63 %","284.5 per 100k persons",45455,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"France","High income","May 17, 2022","24.4 %","6.18 per 1,000 persons","1.33 %","390.5 per 100k persons",546663,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"French Polynesia","High income","September 07, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons",110,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Gabon","Upper middle income","January 03, 2023","2.7 %","0.11 per 1,000 persons","0.1 %","0.1 per 100k persons",967,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Georgia","Upper middle income","June 16, 2021","Insufficient data","Insufficient data","0.22 %","35.5 per 100k persons",2824,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Germany","High income","December 15, 2022","57.2 %","1.79 per 1,000 persons","1.63 %","544.1 per 100k persons",877701,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ghana","Lower middle income","January 03, 2023","5 %","0.03 per 1,000 persons","8.56 %","3.6 per 100k persons",5042,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Gibraltar","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",2749,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Greece","High income","December 20, 2022","7.9 %","13.48 per 1,000 persons","0.37 %","127.9 per 100k persons",27480,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Greenland","High income","August 25, 2021","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Grenada","Upper middle income","November 09, 2022","12.8 %","1.8 per 1,000 persons","0 %","0 per 100k persons",59,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guam","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",952,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Guatemala","Upper middle income","February 01, 2023","17 %","0.49 per 1,000 persons","0.47 %","14.1 per 100k persons",4307,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Guinea","Low income","December 30, 2022","1.5 %","0.03 per 1,000 persons","5.59 %","0.8 per 100k persons",840,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guinea-Bissau","Low income","July 11, 2022","3 %","0.09 per 1,000 persons","0 %","0 per 100k persons",49,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guyana","Upper middle income","December 28, 2021","Insufficient data","Insufficient data","0.16 %","2.6 per 100k persons",147,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Haiti","Low income","No tests reported","Insufficient data","Insufficient data","2.15 %","0.8 per 100k persons",544,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Honduras","Lower middle income","January 18, 2023","18.7 %","0.12 per 1,000 persons","0 %","0 per 100k persons",233,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Hong Kong SAR, China","High income","January 11, 2023","No cases reported","16.03 per 1,000 persons","0.34 %","130.3 per 100k persons",15008,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Hungary","High income","May 11, 2022","27.7 %","1.44 per 1,000 persons","0.02 %","1.5 per 100k persons",700,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iceland","High income","August 23, 2022","34.7 %","5.73 per 1,000 persons","2.26 %","847.9 per 100k persons",12974,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"India","Lower middle income","January 31, 2023","1.9 %","0.38 per 1,000 persons","2.12 %","4.6 per 100k persons",233645,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Indonesia","Upper middle income","December 25, 2022","5.6 %","0.47 per 1,000 persons","1.14 %","9.8 per 100k persons",47113,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iran","Upper middle income","September 20, 2022","12.9 %","0.48 per 1,000 persons","0.16 %","2.1 per 100k persons",3460,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iraq","Upper middle income","August 06, 2022","14.6 %","0.23 per 1,000 persons","0.1 %","0.6 per 100k persons",1320,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ireland","High income","January 04, 2023","26.2 %","1.2 per 1,000 persons","7.78 %","802.8 per 100k persons",102610,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Isle of Man","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Israel","High income","January 23, 2022","Insufficient data","Insufficient data","5.39 %","1037.3 per 100k persons",148014,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Italy","High income","January 27, 2023","15.2 %","4.39 per 1,000 persons","0.42 %","101.5 per 100k persons",166859,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ivory Coast","Lower middle income","January 03, 2023","2.4 %","0.03 per 1,000 persons","1.82 %","0.5 per 100k persons",898,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Jamaica","Upper middle income","September 30, 2022","7.1 %","0.55 per 1,000 persons","4.33 %","43.8 per 100k persons",2460,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Japan","High income","February 01, 2023","50.1 %","1.29 per 1,000 persons","1.05 %","251.8 per 100k persons",548252,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Jordan","Upper middle income","July 27, 2022","19.4 %","1.43 per 1,000 persons","0.02 %","0.9 per 100k persons",1506,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kazakhstan","Upper middle income","May 28, 2021","Insufficient data","Insufficient data","0.34 %","2.9 per 100k persons",1767,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kenya","Lower middle income","January 03, 2023","2.9 %","0.04 per 1,000 persons","8.01 %","3.2 per 100k persons",11946,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kiribati","Lower middle income","No tests reported","Insufficient data","Insufficient data","2.44 %","81.5 per 100k persons",137,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Kosovo","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Kuwait","High income","March 10, 2022","10.1 %","5.3 per 1,000 persons","0.55 %","14.3 per 100k persons",1048,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Kyrgyzstan","Lower middle income","June 23, 2021","Insufficient data","Insufficient data","0 %","0 per 100k persons",327,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Laos","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.76 %","8.4 per 100k persons",1047,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Latvia","High income","February 01, 2023","32.3 %","2.68 per 1,000 persons","2.18 %","674.8 per 100k persons",26486,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Lebanon","Upper middle income","June 23, 2021","Insufficient data","Insufficient data","0.05 %","2.8 per 100k persons",2599,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Lesotho","Lower middle income","December 30, 2022","2 %","0.17 per 1,000 persons","2.14 %","2.4 per 100k persons",280,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Liberia","Low income","September 26, 2021","Insufficient data","Insufficient data","0 %","0 per 100k persons",110,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Libya","Upper middle income","January 03, 2023","19.3 %","0.65 per 1,000 persons","0.04 %","0.5 per 100k persons",141,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Liechtenstein","High income","No tests reported","Insufficient data","Insufficient data","10.03 %","3138.1 per 100k persons",1885,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Lithuania","High income","February 01, 2023","39.4 %","1.57 per 1,000 persons","1.37 %","289.1 per 100k persons",40875,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Luxembourg","High income","January 30, 2023","28.3 %","2.49 per 1,000 persons","17.98 %","4310.5 per 100k persons",53056,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Macao SAR, China","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",1,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Madagascar","Low income","December 30, 2022","4.5 %","0.02 per 1,000 persons","0.16 %","0 per 100k persons",880,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Malawi","Low income","December 30, 2022","3.9 %","0.02 per 1,000 persons","1.56 %","0.3 per 100k persons",1367,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Malaysia","Upper middle income","June 16, 2021","Insufficient data","Insufficient data","1.14 %","72.3 per 100k persons",36175,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Maldives","Upper middle income","November 09, 2021","Insufficient data","Insufficient data","0.3 %","25.8 per 100k persons",1294,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mali","Low income","January 03, 2023","1.3 %","0.03 per 1,000 persons","2.27 %","0.3 per 100k persons",217,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Malta","High income","September 06, 2021","Insufficient data","Insufficient data","0.01 %","0.6 per 100k persons",893,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Marshall Islands","Upper middle income","No tests reported","Insufficient data","Insufficient data","0.17 %","62.5 per 100k persons",26,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mauritania","Lower middle income","December 30, 2022","1.8 %","0.2 per 1,000 persons","0.13 %","0.1 per 100k persons",58,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mauritius","High income","December 30, 2022","42.8 %","1.02 per 1,000 persons","2.71 %","390.2 per 100k persons",6258,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Mexico","Upper middle income","January 30, 2023","No cases reported","0.11 per 1,000 persons","1.15 %","21.4 per 100k persons",83364,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Micronesia","Lower middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Moldova","Lower middle income","June 13, 2021","Insufficient data","Insufficient data","0.24 %","11.2 per 100k persons",814,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Monaco","High income","No tests reported","Insufficient data","Insufficient data","0.2 %","43.8 per 100k persons",101,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mongolia","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.37 %","17.8 per 100k persons",1666,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Montenegro","Upper middle income","June 21, 2021","Insufficient data","Insufficient data","0.39 %","40.5 per 100k persons",918,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Morocco","Lower middle income","January 03, 2023","6.3 %","0.18 per 1,000 persons","0.72 %","2.6 per 100k persons",1718,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Mozambique","Low income","January 03, 2023","3.8 %","0.02 per 1,000 persons","5.61 %","1.4 per 100k persons",1591,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Myanmar","Lower middle income","January 31, 2023","2.8 %","0.18 per 1,000 persons","0.04 %","0.1 per 100k persons",106,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Namibia","Upper middle income","September 13, 2022","8.6 %","0.27 per 1,000 persons","1 %","6.2 per 100k persons",795,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Nauru","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Nepal","Lower middle income","February 01, 2023","6.9 %","0.07 per 1,000 persons","1.23 %","1.8 per 100k persons",3337,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Netherlands","High income","January 25, 2022","Insufficient data","Insufficient data","1.41 %","320.1 per 100k persons",157242,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"New Caledonia","High income","September 07, 2021","Insufficient data","Insufficient data","0.1 %","20 per 100k persons",62,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"New Zealand","High income","January 30, 2023","Insufficient data","1 per 1,000 persons","1.08 %","453.2 per 100k persons",30580,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Nicaragua","Lower middle income","No tests reported","Insufficient data","Insufficient data","6.89 %","1.9 per 100k persons",867,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Niger","Low income","November 06, 2022","1 %","0.01 per 1,000 persons","5.51 %","0.2 per 100k persons",343,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
