"country","code","population_size","world_bank_economies","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","sars_cov_2_binary"
"Ghana","GHA",31073000,"Lower middle income",11.06,NaN,"Does not meet sequencing target"
"Gibraltar","GIB",NaN,"High income",0,NaN,"Does not meet sequencing target"
"Greece","GRC",10423000,"High income",0.35,NaN,"Does not meet sequencing target"
"Greenland","GRL",57000,"High income",0,NaN,"Does not meet sequencing target"
"Grenada","GRD",113000,"Upper middle income",0,NaN,"Does not meet sequencing target"
"Guatemala","GTM",17916000,"Upper middle income",0.55,NaN,"Does not meet sequencing target"
"Guinea","GIN",13133000,"Low income",5.94,NaN,"Does not meet sequencing target"
"Guinea-Bissau","GNB",1968000,"Low income",0,NaN,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.02,NaN,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.02,NaN,"Does not meet sequencing target"
"Haiti","HTI",NaN,"Low income",2.43,NaN,"Does not meet sequencing target"
"Honduras","HND",9905000,"Lower middle income",0,NaN,"Does not meet sequencing target"
"Hong Kong SAR, China","HKG",7497000,"High income",0.34,NaN,"Does not meet sequencing target"
"Hungary","HUN",9660000,"High income",0.07,NaN,"Does not meet sequencing target"
"Iceland","ISL",341000,"High income",4.38,NaN,"Does not meet sequencing target"
"India","IND",1380004000,"Lower middle income",2.61,NaN,"Does not meet sequencing target"
"Indonesia","IDN",273524000,"Upper middle income",2.18,NaN,"Does not meet sequencing target"
"Iran","IRN",83993000,"Upper middle income",0.25,NaN,"Does not meet sequencing target"
"Iraq","IRQ",40223000,"Upper middle income",0.05,NaN,"Does not meet sequencing target"
"Ireland","IRL",4938000,"High income",10,NaN,"Does not meet sequencing target"
"Isle of Man","IMN",NaN,"High income",0,NaN,"Does not meet sequencing target"
"Israel","ISR",8656000,"High income",7.73,NaN,"Does not meet sequencing target"
"Italy","ITA",60462000,"High income",0.45,NaN,"Does not meet sequencing target"
"Ivory Coast","CIV",26378000,"Lower middle income",2.01,NaN,"Does not meet sequencing target"
"Jamaica","JAM",2961000,"Upper middle income",4.57,NaN,"Does not meet sequencing target"
"Japan","JPN",126476000,"High income",1.13,NaN,"Does not meet sequencing target"
"Jordan","JOR",10203000,"Upper middle income",0.12,NaN,"Does not meet sequencing target"
"Kazakhstan","KAZ",18777000,"Upper middle income",0.44,NaN,"Does not meet sequencing target"
"Kenya","KEN",53771000,"Lower middle income",8.45,NaN,"Does not meet sequencing target"
"Kiribati","KIR",NaN,"Lower middle income",5.15,NaN,"Does not meet sequencing target"
"Kuwait","KWT",4271000,"High income",1.41,NaN,"Does not meet sequencing target"
"Kyrgyzstan","KGZ",6524000,"Lower middle income",0,NaN,"Does not meet sequencing target"
"Laos","LAO",NaN,"Lower middle income",0.76,NaN,"Does not meet sequencing target"
"Latvia","LVA",1886000,"High income",3.39,NaN,"Does not meet sequencing target"
"Lebanon","LBN",6825000,"Upper middle income",0.05,NaN,"Does not meet sequencing target"
"Lesotho","LSO",2142000,"Lower middle income",2.57,NaN,"Does not meet sequencing target"
"Liberia","LBR",5058000,"Low income",0,NaN,"Does not meet sequencing target"
"Libya","LBY",6871000,"Upper middle income",0.26,NaN,"Does not meet sequencing target"
"Liechtenstein","LIE",NaN,"High income",9.48,NaN,"Does not meet sequencing target"
"Lithuania","LTU",2722000,"High income",1.65,NaN,"Does not meet sequencing target"
"Luxembourg","LUX",626000,"High income",19.63,NaN,"Does not meet sequencing target"
"Macao SAR, China","MAC",NaN,"High income",0,NaN,"Does not meet sequencing target"
"Madagascar","MDG",27691000,"Low income",0,NaN,"Does not meet sequencing target"
"Malawi","MWI",19130000,"Low income",1.98,NaN,"Does not meet sequencing target"
"Malaysia","MYS",32366000,"Upper middle income",1.44,NaN,"Does not meet sequencing target"
"Maldives","MDV",541000,"Upper middle income",0.33,NaN,"Does not meet sequencing target"
"Mali","MLI",20251000,"Low income",2.29,NaN,"Does not meet sequencing target"
"Malta","MLT",442000,"High income",0,NaN,"Does not meet sequencing target"
"Marshall Islands","MHL",NaN,"Upper middle income",0.17,NaN,"Does not meet sequencing target"
"Mauritania","MRT",4650000,"Lower middle income",0.14,NaN,"Does not meet sequencing target"
"Mauritius","MUS",1272000,"High income",3.65,NaN,"Does not meet sequencing target"
"Mexico","MEX",128933000,"Upper middle income",1.37,NaN,"Does not meet sequencing target"
"Micronesia","FSM",NaN,"Lower middle income",0,NaN,"Does not meet sequencing target"
"Moldova","MDA",4034000,"Lower middle income",0.34,NaN,"Does not meet sequencing target"
"Monaco","MCO",NaN,"High income",0.06,NaN,"Does not meet sequencing target"
"Mongolia","MNG",NaN,"Lower middle income",0.55,NaN,"Does not meet sequencing target"
"Montenegro","MNE",628000,"Upper middle income",0.43,NaN,"Does not meet sequencing target"
"Morocco","MAR",36911000,"Lower middle income",0.84,NaN,"Does not meet sequencing target"
"Mozambique","MOZ",31255000,"Low income",5.35,NaN,"Does not meet sequencing target"
"Myanmar","MMR",54410000,"Lower middle income",0.07,NaN,"Does not meet sequencing target"
"Namibia","NAM",2541000,"Upper middle income",1.27,NaN,"Does not meet sequencing target"
"Nauru","NRU",NaN,"High income",0,NaN,"Does not meet sequencing target"
"Nepal","NPL",29137000,"Lower middle income",1.99,NaN,"Does not meet sequencing target"
"Netherlands","NLD",17135000,"High income",2.34,NaN,"Does not meet sequencing target"
"New Caledonia","NCL",285000,"High income",0.21,NaN,"Does not meet sequencing target"
"New Zealand","NZL",4822000,"High income",1.14,NaN,"Does not meet sequencing target"
"Nicaragua","NIC",NaN,"Lower middle income",6.95,NaN,"Does not meet sequencing target"
"Niger","NER",24207000,"Low income",4.12,NaN,"Does not meet sequencing target"
"Nigeria","NGA",206140000,"Lower middle income",7.97,NaN,"Does not meet sequencing target"
"North Korea","PRK",NaN,"Low income",0,NaN,"Does not meet sequencing target"
"North Macedonia","MKD",2083000,"Upper middle income",0.4,NaN,"Does not meet sequencing target"
"Norway","NOR",5421000,"High income",8.26,NaN,"Does not meet sequencing target"
"Oman","OMN",5107000,"High income",0.76,NaN,"Does not meet sequencing target"
"Pakistan","PAK",220892000,"Lower middle income",3.16,NaN,"Does not meet sequencing target"
"Palau","PLW",NaN,"High income",2.36,NaN,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,NaN,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,NaN,"Does not meet sequencing target"
"Panama","PAN",4315000,"High income",0.77,NaN,"Does not meet sequencing target"
"Papua New Guinea","PNG",8947000,"Lower middle income",5.83,NaN,"Does not meet sequencing target"
"Paraguay","PRY",7133000,"Upper middle income",0.71,NaN,"Does not meet sequencing target"
"Peru","PER",32972000,"Upper middle income",2.56,NaN,"Does not meet sequencing target"
"Philippines","PHL",109581000,"Lower middle income",1.65,NaN,"Does not meet sequencing target"
"Poland","POL",37847000,"High income",1.53,NaN,"Does not meet sequencing target"
"Portugal","PRT",10197000,"High income",0.71,NaN,"Does not meet sequencing target"
"Qatar","QAT",2881000,"High income",0.91,NaN,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",7.43,NaN,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",7.43,NaN,"Does not meet sequencing target"
"Romania","ROU",19238000,"High income",0.98,NaN,"Does not meet sequencing target"
"Russia","RUS",145934000,"Upper middle income",0.57,NaN,"Does not meet sequencing target"
"Rwanda","RWA",12952000,"Low income",0,NaN,"Does not meet sequencing target"
"Saint Kitts and Nevis","KNA",53000,"High income",0.19,NaN,"Does not meet sequencing target"
"Saint Lucia","LCA",184000,"Upper middle income",2.04,NaN,"Does not meet sequencing target"
"Saint Vincent and the Grenadines","VCT",111000,"Upper middle income",1.88,NaN,"Does not meet sequencing target"
"Samoa","WSM",NaN,"Upper middle income",0,NaN,"Does not meet sequencing target"
"San Marino","SMR",34000,"High income",0,NaN,"Does not meet sequencing target"
"São Tomé and Príncipe","STP",219000,"Lower middle income",0,NaN,"Does not meet sequencing target"
"Saudi Arabia","SAU",34814000,"High income",0.28,NaN,"Does not meet sequencing target"
"Senegal","SEN",16744000,"Lower middle income",16.31,NaN,"Does not meet sequencing target"
"Serbia","SRB",8737000,"Upper middle income",0.24,NaN,"Does not meet sequencing target"
"Seychelles","SYC",98000,"High income",1.86,NaN,"Does not meet sequencing target"
"Sierra Leone","SLE",7977000,"Low income",0,NaN,"Does not meet sequencing target"
"Singapore","SGP",5850000,"High income",1.14,NaN,"Does not meet sequencing target"
"Slovakia","SVK",5460000,"High income",3.21,NaN,"Does not meet sequencing target"
"Slovenia","SVN",2079000,"High income",4.64,NaN,"Does not meet sequencing target"
"Solomon Islands","SLB",NaN,"Lower middle income",1.84,NaN,"Does not meet sequencing target"
"Somalia","SOM",15893000,"Low income",0,NaN,"Does not meet sequencing target"
"South Africa","ZAF",59309000,"Upper middle income",3.28,NaN,"Does not meet sequencing target"
"South Korea","KOR",51269000,"High income",0.31,NaN,"Does not meet sequencing target"
"South Sudan","SSD",11194000,"Low income",0,NaN,"Does not meet sequencing target"
"Spain","ESP",46755000,"High income",2.63,NaN,"Does not meet sequencing target"
"Sri Lanka","LKA",21413000,"Lower middle income",1.31,NaN,"Does not meet sequencing target"
"Sudan","SDN",43849000,"Low income",0,NaN,"Does not meet sequencing target"
"Suriname","SUR",NaN,"Upper middle income",1.47,NaN,"Does not meet sequencing target"
"Sweden","SWE",10099000,"High income",23.75,NaN,"Does not meet sequencing target"
"Switzerland","CHE",8655000,"High income",1.72,NaN,"Does not meet sequencing target"
"Syria","SYR",NaN,"Low income",0.61,NaN,"Does not meet sequencing target"
"Taiwan","TWN",23817000,"High income",0.02,NaN,"Does not meet sequencing target"
"Tanzania","TZA",NaN,"Lower middle income",0,NaN,"Does not meet sequencing target"
"Thailand","THA",69800000,"Upper middle income",0.75,NaN,"Does not meet sequencing target"
"The Bahamas","BHS",393000,"High income",2.21,NaN,"Does not meet sequencing target"
"The Gambia","GMB",2417000,"Low income",23.65,NaN,"Does not meet sequencing target"
"Togo","TGO",8279000,"Low income",4.43,NaN,"Does not meet sequencing target"
"Tonga","TON",NaN,"Upper middle income",0,NaN,"Does not meet sequencing target"
"Trinidad and Tobago","TTO",1399000,"High income",3.4,NaN,"Does not meet sequencing target"
"Tunisia","TUN",11819000,"Lower middle income",0.13,NaN,"Does not meet sequencing target"
"Turkey","TUR",84339000,"Upper middle income",0.46,NaN,"Does not meet sequencing target"
"Turks and Caicos Islands","TCA",NaN,"High income",2.34,NaN,"Does not meet sequencing target"
"Tuvalu","TUV",NaN,"Upper middle income",0,NaN,"Does not meet sequencing target"
"Uganda","UGA",45741000,"Low income",5.77,NaN,"Does not meet sequencing target"
"Ukraine","UKR",43734000,"Lower middle income",0.15,NaN,"Does not meet sequencing target"
"United Arab Emirates","ARE",9890000,"High income",0.01,NaN,"Does not meet sequencing target"
"United Kingdom","GBR",67886000,"High income",11.26,NaN,"Does not meet sequencing target"
"United States of America","USA",331003000,"High income",5.62,NaN,"Does not meet sequencing target"
"Uruguay","URY",3474000,"High income",0.08,NaN,"Does not meet sequencing target"
"Uzbekistan","UZB",33469000,"Lower middle income",0.29,NaN,"Does not meet sequencing target"
"Vanuatu","VUT",NaN,"Lower middle income",0.81,NaN,"Does not meet sequencing target"
"Venezuela","VEN",28436000,"Upper middle income",1.21,NaN,"Does not meet sequencing target"
"Vietnam","VNM",97339000,"Lower middle income",0.06,NaN,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,NaN,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,NaN,"Does not meet sequencing target"
"Yemen","YEM",NaN,"Low income",0,NaN,"Does not meet sequencing target"
"Zambia","ZMB",18384000,"Lower middle income",0.29,NaN,"Does not meet sequencing target"
"Zimbabwe","ZWE",14863000,"Lower middle income",0.28,NaN,"Does not meet sequencing target"
