"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Botswana","Upper middle income","May 18, 2022","47.7 %","0.44 per 1,000 persons","6.44 %","58.9 per 100k persons",5280,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Brazil","Upper middle income","March 20, 2023","4.3 %","2.19 per 1,000 persons","0.73 %","24.8 per 100k persons",223488,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"British Virgin Islands","High income","No tests reported","Insufficient data","Insufficient data","1.46 %","54.3 per 100k persons",198,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Brunei","High income","December 14, 2021","Insufficient data","Insufficient data","2.53 %","840.3 per 100k persons",5915,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Bulgaria","Upper middle income","April 01, 2023","10.4 %","0.61 per 1,000 persons","0.87 %","20.7 per 100k persons",20452,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Burkina Faso","Low income","March 09, 2022","Insufficient data","Insufficient data","2.09 %","0.1 per 100k persons",768,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Burundi","Low income","January 03, 2023","2.4 %","0.17 per 1,000 persons","0 %","0 per 100k persons",157,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Cambodia","Lower middle income","November 01, 2022","1.3 %","0.05 per 1,000 persons","28.13 %","5.2 per 100k persons",3896,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Cameroon","Lower middle income","August 25, 2022","0.2 %","0.21 per 1,000 persons","1.94 %","0.4 per 100k persons",1613,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Canada","High income","November 28, 2022","14.1 %","0.77 per 1,000 persons","15.6 %","469.2 per 100k persons",487171,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cape Verde","Lower middle income","January 03, 2023","9 %","0.52 per 1,000 persons","5 %","61.5 per 100k persons",818,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cayman Islands","High income","No tests reported","Insufficient data","Insufficient data","2.63 %","416.2 per 100k persons",387,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Central African Republic","Low income","January 03, 2023","2.7 %","0.02 per 1,000 persons","0 %","0 per 100k persons",110,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Chad","Low income","December 30, 2022","2 %","0 per 1,000 persons","0 %","0 per 100k persons",49,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Chile","High income","April 01, 2023","12.7 %","1.95 per 1,000 persons","0.98 %","89.8 per 100k persons",43840,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"China","Upper middle income","June 24, 2020","Insufficient data","Insufficient data","0.02 %","1.3 per 100k persons",21987,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Colombia","Upper middle income","March 08, 2023","7.6 %","0.2 per 1,000 persons","2.69 %","14.4 per 100k persons",26292,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Comoros","Lower middle income","November 13, 2022","2.9 %","0.14 per 1,000 persons","0.8 %","1 per 100k persons",42,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Costa Rica","Upper middle income","June 01, 2022","10.2 %","1.88 per 1,000 persons","1.7 %","127.5 per 100k persons",10401,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Croatia","High income","March 12, 2023","19.7 %","0.59 per 1,000 persons","6.95 %","295.3 per 100k persons",42391,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cuba","Upper middle income","October 17, 2022","3 %","0.33 per 1,000 persons","1.11 %","2.2 per 100k persons",1671,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Curaçao","High income","No tests reported","Insufficient data","Insufficient data","12.69 %","362 per 100k persons",2235,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Cyprus","High income","July 11, 2021","Insufficient data","Insufficient data","0.01 %","2.6 per 100k persons",3131,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Czech Republic","High income","April 01, 2023","23.6 %","0.64 per 1,000 persons","3.38 %","177.3 per 100k persons",57438,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Democratic Republic of the Congo","Low income","January 03, 2023","4.1 %","0.01 per 1,000 persons","1.61 %","0.1 per 100k persons",1382,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Denmark","High income","February 24, 2023","14.3 %","1.28 per 1,000 persons","47.94 %","2851.9 per 100k persons",634145,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Djibouti","Lower middle income","September 20, 2022","0.2 %","0.33 per 1,000 persons","180.95 %","17 per 100k persons",885,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Dominica","Upper middle income","December 28, 2021","Insufficient data","Insufficient data","0.1 %","5.5 per 100k persons",40,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Dominican Republic","Upper middle income","November 30, 2022","10.1 %","0.27 per 1,000 persons","1.77 %","13 per 100k persons",2647,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"East Timor","Lower middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",357,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Ecuador","Upper middle income","February 01, 2022","Insufficient data","Insufficient data","1.9 %","21 per 100k persons",9485,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Egypt","Lower middle income","August 15, 2022","0.2 %","0.45 per 1,000 persons","6.55 %","0.6 per 100k persons",3237,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"El Salvador","Lower middle income","August 30, 2022","4.8 %","0.75 per 1,000 persons","0.54 %","3.4 per 100k persons",682,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Equatorial Guinea","Upper middle income","December 30, 2022","1.3 %","0.25 per 1,000 persons","0 %","0 per 100k persons",214,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Eritrea","Low income","December 21, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Estonia","High income","March 07, 2023","14.4 %","0.89 per 1,000 persons","6.85 %","295.8 per 100k persons",14894,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Eswatini","Lower middle income","January 03, 2023","7.9 %","0.17 per 1,000 persons","7.27 %","27.5 per 100k persons",1196,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ethiopia","Low income","January 03, 2023","3.7 %","0.02 per 1,000 persons","0 %","0 per 100k persons",616,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Faroe Islands","High income","February 27, 2022","Insufficient data","Insufficient data","Insufficient data","0 per 100k persons",42,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Fiji","Upper middle income","March 31, 2023","2.7 %","0.5 per 1,000 persons","0 %","0 per 100k persons",531,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Finland","High income","March 30, 2023","35.5 %","0.83 per 1,000 persons","2.33 %","230.2 per 100k persons",46808,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"France","High income","May 17, 2022","24.5 %","5.03 per 1,000 persons","1.41 %","287.3 per 100k persons",557405,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"French Polynesia","High income","September 07, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons",110,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Gabon","Upper middle income","January 03, 2023","4.1 %","0.05 per 1,000 persons","0.14 %","0.1 per 100k persons",967,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Georgia","Upper middle income","June 16, 2021","Insufficient data","Insufficient data","0.6 %","29.8 per 100k persons",3010,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Germany","High income","December 15, 2022","57.2 %","1.3 per 1,000 persons","1.9 %","383.8 per 100k persons",920660,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ghana","Lower middle income","January 03, 2023","9.2 %","0.01 per 1,000 persons","12.74 %","4 per 100k persons",5214,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Gibraltar","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",2749,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Greece","High income","December 20, 2022","8.8 %","10.37 per 1,000 persons","0.34 %","96.7 per 100k persons",27494,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Greenland","High income","August 25, 2021","Insufficient data","Insufficient data","Insufficient data","0 per 100k persons",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Grenada","Upper middle income","November 09, 2022","14.2 %","1.55 per 1,000 persons","0 %","0 per 100k persons",59,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guam","High income","No tests reported","Insufficient data","Insufficient data","1.95 %","126.9 per 100k persons",962,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Guatemala","Upper middle income","March 31, 2023","14.3 %","0.44 per 1,000 persons","0.63 %","14.6 per 100k persons",4575,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Guinea","Low income","December 30, 2022","2.1 %","0.02 per 1,000 persons","6.92 %","0.9 per 100k persons",855,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guinea-Bissau","Low income","July 11, 2022","1.5 %","0.08 per 1,000 persons","0 %","0 per 100k persons",49,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guyana","Upper middle income","December 28, 2021","Insufficient data","Insufficient data","0.02 %","0.2 per 100k persons",147,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Haiti","Low income","No tests reported","Insufficient data","Insufficient data","6.77 %","2.1 per 100k persons",750,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Honduras","Lower middle income","March 23, 2023","14.5 %","0.1 per 1,000 persons","0 %","0 per 100k persons",233,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Hong Kong SAR, China","High income","March 19, 2023","No cases reported","12.64 per 1,000 persons","Insufficient data","105.3 per 100k persons",15192,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Hungary","High income","May 11, 2022","20.3 %","0.72 per 1,000 persons","0.1 %","3.3 per 100k persons",936,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iceland","High income","August 23, 2022","21.5 %","2.27 per 1,000 persons","12.97 %","984.2 per 100k persons",22204,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"India","Lower middle income","April 01, 2023","1.3 %","0.26 per 1,000 persons","2.65 %","3.2 per 100k persons",235964,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Indonesia","Upper middle income","December 25, 2022","3.2 %","0.3 per 1,000 persons","3.23 %","8.6 per 100k persons",48147,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iran","Upper middle income","September 20, 2022","8.2 %","0.32 per 1,000 persons","0.25 %","1.2 per 100k persons",3538,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iraq","Upper middle income","August 06, 2022","16.6 %","0.15 per 1,000 persons","0.02 %","0.1 per 100k persons",1371,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ireland","High income","March 31, 2023","20.2 %","0.71 per 1,000 persons","15.11 %","719.9 per 100k persons",105288,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Isle of Man","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Israel","High income","January 23, 2022","Insufficient data","Insufficient data","8.9 %","840.8 per 100k persons",150417,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Italy","High income","March 31, 2023","15.9 %","3.17 per 1,000 persons","0.48 %","89.7 per 100k persons",173018,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ivory Coast","Lower middle income","January 03, 2023","3.2 %","0.03 per 1,000 persons","2.58 %","0.6 per 100k persons",940,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Jamaica","Upper middle income","September 30, 2022","9.1 %","0.46 per 1,000 persons","5.24 %","47.9 per 100k persons",2820,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Japan","High income","February 19, 2023","50.2 %","1.28 per 1,000 persons","1.14 %","248.1 per 100k persons",584751,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Jordan","Upper middle income","July 27, 2022","2 %","0.74 per 1,000 persons","0.2 %","1 per 100k persons",1567,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kazakhstan","Upper middle income","May 28, 2021","Insufficient data","Insufficient data","0.47 %","2.6 per 100k persons",2109,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kenya","Lower middle income","January 03, 2023","4.2 %","0.03 per 1,000 persons","8.66 %","3.1 per 100k persons",11986,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kiribati","Lower middle income","No tests reported","Insufficient data","Insufficient data","5.44 %","80.8 per 100k persons",137,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Kosovo","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Kuwait","High income","March 10, 2022","Insufficient data","Insufficient data","1.68 %","14.1 per 100k persons",1071,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Kyrgyzstan","Lower middle income","June 23, 2021","Insufficient data","Insufficient data","0 %","0 per 100k persons",327,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Laos","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.73 %","4 per 100k persons",1047,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Latvia","High income","March 07, 2023","20.7 %","1.35 per 1,000 persons","5.37 %","510.9 per 100k persons",26486,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Lebanon","Upper middle income","June 23, 2021","Insufficient data","Insufficient data","0.07 %","1.7 per 100k persons",2634,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Lesotho","Lower middle income","December 30, 2022","2.4 %","0.11 per 1,000 persons","3.48 %","2.4 per 100k persons",280,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Liberia","Low income","September 26, 2021","Insufficient data","Insufficient data","0 %","0 per 100k persons",110,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Libya","Upper middle income","January 03, 2023","1.1 %","0.13 per 1,000 persons","0.55 %","0.4 per 100k persons",141,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Liechtenstein","High income","No tests reported","Insufficient data","Insufficient data","12.14 %","1552.5 per 100k persons",1885,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Lithuania","High income","March 31, 2023","31 %","0.66 per 1,000 persons","1.63 %","119.2 per 100k persons",41354,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Luxembourg","High income","March 12, 2023","25.1 %","1.92 per 1,000 persons","23.24 %","3736.6 per 100k persons",55282,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Macao SAR, China","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","0 per 100k persons",1,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Madagascar","Low income","December 30, 2022","2.4 %","0.02 per 1,000 persons","0 %","0 per 100k persons",880,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Malawi","Low income","December 30, 2022","4 %","0.01 per 1,000 persons","2.18 %","0.3 per 100k persons",1376,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Malaysia","Upper middle income","June 16, 2021","Insufficient data","Insufficient data","2.13 %","53.1 per 100k persons",37119,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Maldives","Upper middle income","November 09, 2021","Insufficient data","Insufficient data","0.02 %","0.4 per 100k persons",1294,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mali","Low income","January 03, 2023","1.4 %","0.03 per 1,000 persons","2.28 %","0.3 per 100k persons",291,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Malta","High income","September 06, 2021","Insufficient data","Insufficient data","0 %","0 per 100k persons",893,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Marshall Islands","Upper middle income","No tests reported","Insufficient data","Insufficient data","0.22 %","84.1 per 100k persons",35,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mauritania","Lower middle income","December 30, 2022","2.2 %","0.17 per 1,000 persons","0.14 %","0.1 per 100k persons",58,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mauritius","High income","December 30, 2022","35.9 %","0.66 per 1,000 persons","5.41 %","350.8 per 100k persons",6947,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Mexico","Upper middle income","April 01, 2023","No cases reported","0.09 per 1,000 persons","1.45 %","20.4 per 100k persons",87034,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Micronesia","Lower middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Moldova","Lower middle income","June 13, 2021","Insufficient data","Insufficient data","0.27 %","8.6 per 100k persons",878,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Monaco","High income","No tests reported","Insufficient data","Insufficient data","0.07 %","11 per 100k persons",101,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mongolia","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.59 %","15.5 per 100k persons",1666,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Montenegro","Upper middle income","June 21, 2021","Insufficient data","Insufficient data","0.46 %","41.3 per 100k persons",1014,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Morocco","Lower middle income","January 03, 2023","6.8 %","0.16 per 1,000 persons","0.83 %","2.4 per 100k persons",1725,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Mozambique","Low income","January 03, 2023","4.9 %","0.01 per 1,000 persons","6.78 %","1.7 per 100k persons",1867,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Myanmar","Lower middle income","April 01, 2023","0.9 %","0.13 per 1,000 persons","0.13 %","0.1 per 100k persons",123,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Namibia","Upper middle income","September 13, 2022","12.3 %","0.22 per 1,000 persons","1.39 %","7.4 per 100k persons",833,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Nauru","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Nepal","Lower middle income","April 01, 2023","4.7 %","0.05 per 1,000 persons","1.95 %","1.5 per 100k persons",3337,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Netherlands","High income","January 25, 2022","Insufficient data","Insufficient data","6.27 %","268 per 100k persons",162446,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"New Caledonia","High income","September 07, 2021","Insufficient data","Insufficient data","0.29 %","19.3 per 100k persons",65,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"New Zealand","High income","March 27, 2023","Insufficient data","0.52 per 1,000 persons","1.52 %","450 per 100k persons",33216,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Nicaragua","Lower middle income","No tests reported","Insufficient data","Insufficient data","17.55 %","3.6 per 100k persons",1064,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Niger","Low income","November 06, 2022","1.1 %","0.01 per 1,000 persons","2.67 %","0.1 per 100k persons",342,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Nigeria","Lower middle income","December 30, 2022","1.2 %","0.02 per 1,000 persons","8.07 %","0.4 per 100k persons",7786,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"North Korea","Low income","No tests reported","Insufficient data","Insufficient data","Insufficient data","0 per 100k persons",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
