"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Cyprus","High income","July 11, 2021","Insufficient data","Insufficient data","0.14 %","71.9 per 100k persons",1372,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Czech Republic","High income","October 01, 2022","13.3 %","4.65 per 1,000 persons","1.61 %","370.5 per 100k persons",51132,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Democratic Republic of the Congo","Low income","September 29, 2022","4.8 %","0.02 per 1,000 persons","0.74 %","0.3 per 100k persons",1230,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Denmark","High income","September 30, 2022","6.7 %","21.23 per 1,000 persons","13.64 %","6852.1 per 100k persons",575368,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Djibouti","Lower middle income","September 20, 2022","2.4 %","0.38 per 1,000 persons","17.09 %","43.6 per 100k persons",832,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Dominica","Upper middle income","December 28, 2021","6.5 %","7.8 per 1,000 persons","0.16 %","27.6 per 100k persons",39,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Dominican Republic","Upper middle income","September 17, 2022","17.9 %","0.41 per 1,000 persons","0.44 %","11.2 per 100k persons",1803,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"East Timor","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.03 %","0.1 per 100k persons",357,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Ecuador","Upper middle income","February 01, 2022","36.5 %","0.29 per 1,000 persons","0.87 %","24.1 per 100k persons",7806,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Egypt","Lower middle income","August 15, 2022","2.5 %","0.26 per 1,000 persons","0.6 %","1.2 per 100k persons",2570,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"El Salvador","Lower middle income","August 30, 2022","7.1 %","0.61 per 1,000 persons","0.39 %","6 per 100k persons",611,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Equatorial Guinea","Upper middle income","September 26, 2022","3.1 %","0.32 per 1,000 persons","0.15 %","0.4 per 100k persons",214,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Eritrea","Low income","December 21, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Estonia","High income","September 27, 2022","27.8 %","3.34 per 1,000 persons","1.64 %","548.8 per 100k persons",13910,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Eswatini","Lower middle income","September 13, 2022","13.7 %","0.48 per 1,000 persons","2.25 %","51.7 per 100k persons",1054,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ethiopia","Low income","September 29, 2022","8.3 %","0.04 per 1,000 persons","0.06 %","0.1 per 100k persons",616,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Faroe Islands","High income","February 27, 2022","No cases reported","46.86 per 1,000 persons","0 %","0 per 100k persons",42,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Fiji","Upper middle income","September 30, 2022","6.8 %","0.78 per 1,000 persons","0 %","0 per 100k persons",531,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Finland","High income","September 29, 2022","26.3 %","2.16 per 1,000 persons","1.48 %","307.7 per 100k persons",38065,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"France","High income","May 17, 2022","17 %","8.71 per 1,000 persons","1.25 %","528.4 per 100k persons",489049,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"French Polynesia","High income","September 07, 2020","Insufficient data","Insufficient data","0.09 %","11.2 per 100k persons",110,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Gabon","Upper middle income","September 13, 2022","4.5 %","0.54 per 1,000 persons","0.52 %","4 per 100k persons",967,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Georgia","Upper middle income","June 16, 2021","Insufficient data","Insufficient data","0.16 %","50.5 per 100k persons",2307,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Germany","High income","September 22, 2022","43.4 %","2.22 per 1,000 persons","1.93 %","675.9 per 100k persons",788374,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ghana","Lower middle income","September 29, 2022","5.5 %","0.07 per 1,000 persons","3.68 %","4.7 per 100k persons",4132,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Gibraltar","High income","No tests reported","Insufficient data","Insufficient data","7.98 %","3553.7 per 100k persons",2749,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Greece","High income","September 27, 2022","5.7 %","19.61 per 1,000 persons","0.24 %","98.6 per 100k persons",20965,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Greenland","High income","August 31, 2022","No cases reported","5.75 per 1,000 persons","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Grenada","Upper middle income","September 23, 2022","12.8 %","2.79 per 1,000 persons","0.01 %","0.8 per 100k persons",58,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guam","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",880,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Guatemala","Upper middle income","September 30, 2022","16.9 %","0.51 per 1,000 persons","0.21 %","6.8 per 100k persons",2541,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Guinea","Low income","September 20, 2022","4.2 %","0.04 per 1,000 persons","4.85 %","2.6 per 100k persons",796,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guinea-Bissau","Low income","July 11, 2022","4.8 %","0.08 per 1,000 persons","0.04 %","0 per 100k persons",49,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guyana","Upper middle income","December 28, 2021","6.7 %","1.62 per 1,000 persons","0.21 %","10.2 per 100k persons",145,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Haiti","Low income","No tests reported","Insufficient data","Insufficient data","0.79 %","0.8 per 100k persons",342,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Honduras","Lower middle income","September 23, 2022","19 %","0.14 per 1,000 persons","0.09 %","0.8 per 100k persons",231,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Hong Kong SAR, China","High income","September 18, 2022","No cases reported","14.24 per 1,000 persons","0.39 %","91.5 per 100k persons",9973,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Hungary","High income","May 11, 2022","24.2 %","2.07 per 1,000 persons","0.01 %","1.2 per 100k persons",557,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iceland","High income","August 23, 2022","19.1 %","9.02 per 1,000 persons","0.76 %","396.1 per 100k persons",11279,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"India","Lower middle income","October 01, 2022","3.3 %","0.65 per 1,000 persons","1.15 %","8.9 per 100k persons",220863,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Indonesia","Upper middle income","October 01, 2022","3.2 %","0.7 per 1,000 persons","1.14 %","9.2 per 100k persons",36225,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iran","Upper middle income","September 20, 2022","9 %","0.74 per 1,000 persons","0.1 %","2.1 per 100k persons",2568,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iraq","Upper middle income","August 06, 2022","11.3 %","0.32 per 1,000 persons","0.14 %","1.5 per 100k persons",1273,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ireland","High income","August 24, 2022","24.6 %","3.19 per 1,000 persons","4.12 %","1055.6 per 100k persons",91119,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Isle of Man","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Israel","High income","January 23, 2022","5.6 %","18.44 per 1,000 persons","3.27 %","1187.3 per 100k persons",134337,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Italy","High income","October 01, 2022","11.5 %","7 per 1,000 persons","0.44 %","132.6 per 100k persons",148094,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ivory Coast","Lower middle income","September 29, 2022","4.4 %","0.06 per 1,000 persons","0.32 %","0.3 per 100k persons",758,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Jamaica","Upper middle income","September 25, 2022","11.7 %","0.55 per 1,000 persons","2.92 %","70 per 100k persons",2460,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Japan","High income","October 01, 2022","38.5 %","1.09 per 1,000 persons","1.22 %","190.8 per 100k persons",422133,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Jordan","Upper middle income","July 27, 2022","13.6 %","2.11 per 1,000 persons","0.05 %","4.5 per 100k persons",1497,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kazakhstan","Upper middle income","May 28, 2021","Insufficient data","Insufficient data","0.16 %","4.4 per 100k persons",1422,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kenya","Lower middle income","September 29, 2022","6.7 %","0.07 per 1,000 persons","4.98 %","8.3 per 100k persons",10994,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kiribati","Lower middle income","No tests reported","Insufficient data","Insufficient data","3.96 %","105.5 per 100k persons",137,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Kosovo","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Kuwait","High income","March 10, 2022","6 %","5.09 per 1,000 persons","0.17 %","9.9 per 100k persons",749,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kyrgyzstan","Lower middle income","June 23, 2021","Insufficient data","Insufficient data","0.32 %","1.3 per 100k persons",326,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Laos","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.24 %","6.2 per 100k persons",477,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Latvia","High income","September 30, 2022","23.2 %","4.82 per 1,000 persons","1.19 %","489.8 per 100k persons",17769,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Lebanon","Upper middle income","June 23, 2021","Insufficient data","Insufficient data","0.11 %","11.8 per 100k persons",2438,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Lesotho","Lower middle income","September 29, 2022","7 %","0.35 per 1,000 persons","0.96 %","5.6 per 100k persons",252,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Liberia","Low income","September 26, 2021","Insufficient data","Insufficient data","1.53 %","0.6 per 100k persons",110,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Libya","Upper middle income","September 29, 2022","17.3 %","0.64 per 1,000 persons","0.02 %","0.5 per 100k persons",84,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Liechtenstein","High income","No tests reported","Insufficient data","Insufficient data","9.53 %","3944.8 per 100k persons",1644,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Lithuania","High income","September 30, 2022","25 %","3.7 per 1,000 persons","1.99 %","655 per 100k persons",40224,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Luxembourg","High income","September 25, 2022","23 %","4.07 per 1,000 persons","14.16 %","4727.7 per 100k persons",45461,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Macao SAR, China","High income","No tests reported","Insufficient data","Insufficient data","0.14 %","0.1 per 100k persons",1,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Madagascar","Low income","July 11, 2022","10.2 %","0.03 per 1,000 persons","0.36 %","0.3 per 100k persons",879,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Malawi","Low income","September 26, 2022","12.7 %","0.03 per 1,000 persons","0.86 %","1.1 per 100k persons",1250,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Malaysia","Upper middle income","June 16, 2021","Insufficient data","Insufficient data","0.87 %","66.8 per 100k persons",28280,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Maldives","Upper middle income","November 09, 2021","2.8 %","7.01 per 1,000 persons","0.86 %","166.1 per 100k persons",1294,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Mali","Low income","September 29, 2022","4.8 %","0.05 per 1,000 persons","0.01 %","0 per 100k persons",73,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Malta","High income","September 06, 2021","Insufficient data","Insufficient data","0.74 %","108.2 per 100k persons",893,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Marshall Islands","Upper middle income","No tests reported","Insufficient data","Insufficient data","0.15 %","54.7 per 100k persons",23,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mauritania","Lower middle income","September 29, 2022","4.9 %","0.32 per 1,000 persons","0.05 %","0.3 per 100k persons",58,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mauritius","High income","June 20, 2022","25.7 %","2.46 per 1,000 persons","1.63 %","309.4 per 100k persons",4600,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Mexico","Upper middle income","October 01, 2022","44 %","0.17 per 1,000 persons","1.17 %","31.7 per 100k persons",76756,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Micronesia","Lower middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Moldova","Lower middle income","June 13, 2021","Insufficient data","Insufficient data","0.19 %","17.9 per 100k persons",657,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Monaco","High income","No tests reported","Insufficient data","Insufficient data","0.2 %","62.7 per 100k persons",101,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mongolia","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.1 %","18.1 per 100k persons",1450,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Montenegro","Upper middle income","June 21, 2021","Insufficient data","Insufficient data","0.44 %","103.5 per 100k persons",918,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Morocco","Lower middle income","September 29, 2022","8.7 %","0.29 per 1,000 persons","0.19 %","1.7 per 100k persons",1022,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Mozambique","Low income","September 22, 2022","16.2 %","0.04 per 1,000 persons","0.44 %","1.1 per 100k persons",1310,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Myanmar","Lower middle income","September 29, 2022","3.4 %","0.24 per 1,000 persons","0.04 %","0.1 per 100k persons",106,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Namibia","Upper middle income","September 13, 2022","11.1 %","0.42 per 1,000 persons","1.44 %","23.7 per 100k persons",768,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Nauru","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Nepal","Lower middle income","October 01, 2022","11.8 %","0.16 per 1,000 persons","0.77 %","5.2 per 100k persons",3211,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Netherlands","High income","January 25, 2022","21 %","4.94 per 1,000 persons","1.12 %","411.7 per 100k persons",139880,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"New Caledonia","High income","September 07, 2021","Insufficient data","Insufficient data","0.01 %","3.1 per 100k persons",9,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"New Zealand","High income","September 27, 2022","42.4 %","2.38 per 1,000 persons","1.05 %","363.3 per 100k persons",21110,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
