"country","code","population_size","world_bank_economies","date_tests_last_reported","days_since_tests_reported","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","cum_seq","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","dx_testing_binary","sars_cov_2_binary","ngs_capacity","facility_access","ngs_facility","archetype_orig","dx_archetype","sx_archetype","dx_testing_rec","sx_sequencing_rec","prev_dx","prev_sequ","seq_but_no_test_flag","TPR_pct","daily_tests_per_1000","pct_seq","seq_per_100k"
"Austria","AUT",9006000,"High income","December 31, 2022",1,0.0543,24.96,187089,2.83,1360.83,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","5.4 %","24.96 per 1,000 persons","2.83 %","1360.8 per 100k persons"
"Azerbaijan","AZE",10139000,"Upper middle income","January 01, 2023",0,0.1328,0.43,191,0.01,0.193,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Sustain","Strengthen/Leverage","no","13.3 %","0.43 per 1,000 persons","0.01 %","0.2 per 100k persons"
"Bahrain","BHR",1702000,"High income","December 22, 2022",10,0.1572,4.35,10302,1.37,385.807,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","15.7 %","4.35 per 1,000 persons","1.37 %","385.8 per 100k persons"
"Bangladesh","BGD",164689000,"Lower middle income","January 01, 2023",0,0.1221,0.06,7424,0.45,1.185,"Does not meet testing target","Does not meet sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","12.2 %","0.06 per 1,000 persons","0.45 %","1.2 per 100k persons"
"Barbados","BRB",287000,"High income","December 23, 2022",9,0.242,3.08,222,0.14,38.346,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","24.2 %","3.08 per 1,000 persons","0.14 %","38.3 per 100k persons"
"Belarus","BLR",9449000,"Upper middle income","July 06, 2022",179,0.1113,1.48,520,0.05,1.458,"Meets testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Sustain","Strengthen/Leverage","Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Sustain","Strengthen/Leverage","no","11.1 %","1.48 per 1,000 persons","0.05 %","1.5 per 100k persons"
"Belgium","BEL",11590000,"High income","December 23, 2022",9,0.28,2.22,167943,3.21,696.976,"Does not meet testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","28 %","2.22 per 1,000 persons","3.21 %","697 per 100k persons"
"Belize","BLZ",398000,"Upper middle income","June 10, 2022",205,0.1499,2.94,1030,1.2,107.579,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","15 %","2.94 per 1,000 persons","1.2 %","107.6 per 100k persons"
"Benin","BEN",12123000,"Lower middle income","January 25, 2022",341,NaN,NaN,1293,4.6,1.048,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","4.6 %","1 per 100k persons"
"Bermuda","BMU",62000,"High income","December 29, 2022",3,0,14.45,242,0.94,175.993,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","No cases reported","14.45 per 1,000 persons","0.94 %","176 per 100k persons"
"Bhutan","BTN",772000,"Lower middle income","March 01, 2022",306,0.0227,9.58,0,0,0,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","2.3 %","9.58 per 1,000 persons","0 %","0 per 100k persons"
"Bolivia","BOL",11673000,"Lower middle income","January 02, 2022",364,0.8691,0.59,345,0.01,0.237,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","86.9 %","0.59 per 1,000 persons","0.01 %","0.2 per 100k persons"
"Bosnia and Herzegovina","BIH",3281000,"Upper middle income","December 05, 2022",27,0.3672,0.29,1456,0.14,4.639,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","36.7 %","0.29 per 1,000 persons","0.14 %","4.6 per 100k persons"
"Botswana","BWA",2352000,"Upper middle income","May 18, 2022",228,0.3373,0.82,4958,1.82,73.946,"Insufficient testing data","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","33.7 %","0.82 per 1,000 persons","1.82 %","73.9 per 100k persons"
"Brazil","BRA",212559000,"Upper middle income","August 17, 2022",137,0.9439,0.26,191203,0.57,34.341,"Does not meet testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","94.4 %","0.26 per 1,000 persons","0.57 %","34.3 per 100k persons"
"British Indian Ocean Territory","IOT",NaN,"No income data","No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient testing data","Insufficient data",NaN,"Insufficient data",NaN,"Insufficient data","Insufficient data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics","Insufficient data","Insufficient data","no","Insufficient data","Insufficient data","Insufficient data","Insufficient data"
"British Virgin Islands","VGB",NaN,"High income","No tests reported",NaN,NaN,NaN,195,0.45,54.258,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Sustain","no","Insufficient data","Insufficient data","0.45 %","54.3 per 100k persons"
"Brunei","BRN",437000,"High income","December 14, 2021",383,NaN,NaN,4066,1.45,784.629,"Insufficient testing data","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","1.45 %","784.6 per 100k persons"
"Bulgaria","BGR",6948000,"Upper middle income","January 01, 2023",0,0.1559,1.39,20452,1.35,107.034,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","15.6 %","1.39 per 1,000 persons","1.35 %","107 per 100k persons"
"Burkina Faso","BFA",20903000,"Low income","March 09, 2022",298,0.126,0.02,664,0.25,0.044,"Insufficient testing data","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","12.6 %","0.02 per 1,000 persons","0.25 %","0 per 100k persons"
"Burundi","BDI",11891000,"Low income","December 30, 2022",2,0.0269,0.22,157,0,0,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","2.7 %","0.22 per 1,000 persons","0 %","0 per 100k persons"
"Cambodia","KHM",16719000,"Lower middle income","November 01, 2022",61,0.0496,0.07,3670,9.2,9.655,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Sustain","no","5 %","0.07 per 1,000 persons","9.2 %","9.7 per 100k persons"
"Cameroon","CMR",26546000,"Lower middle income","August 25, 2022",129,0.0115,0.17,1373,2.93,1.533,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","1.1 %","0.17 per 1,000 persons","2.93 %","1.5 per 100k persons"
"Canada","CAN",37742000,"High income","November 28, 2022",34,0.1623,1.14,429996,8.76,499.169,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","16.2 %","1.14 per 1,000 persons","8.76 %","499.2 per 100k persons"
"Cape Verde","CPV",556000,"Lower middle income","December 30, 2022",2,0.144,0.78,755,1.97,68.447,"Meets testing target","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","14.4 %","0.78 per 1,000 persons","1.97 %","68.4 per 100k persons"
"Cayman Islands","CYM",NaN,"High income","No tests reported",NaN,NaN,NaN,101,0,0,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0 %","0 per 100k persons"
"Central African Republic","CAF",4830000,"Low income","December 30, 2022",2,0.0873,0.02,110,1.46,0.824,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","8.7 %","0.02 per 1,000 persons","1.46 %","0.8 per 100k persons"
"Chad","TCD",16426000,"Low income","December 30, 2022",2,0.0487,0.01,49,0.21,0.017,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","4.9 %","0.01 per 1,000 persons","0.21 %","0 per 100k persons"
"Chile","CHL",19116000,"High income","January 01, 2023",0,0.158,2.92,38195,0.57,90.937,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","15.8 %","2.92 per 1,000 persons","0.57 %","90.9 per 100k persons"
"China","CHN",1439324000,"Upper middle income","June 24, 2020",921,NaN,NaN,3209,0.05,0.053,"Insufficient testing data","Does not meet sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","Insufficient data","Insufficient data","0.05 %","0.1 per 100k persons"
"Colombia","COL",50883000,"Upper middle income","December 13, 2022",19,0.1562,0.42,23637,0.84,18.566,"Does not meet testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","15.6 %","0.42 per 1,000 persons","0.84 %","18.6 per 100k persons"
"Comoros","COM",870000,"Lower middle income","November 13, 2022",49,0.0647,0.16,46,0.53,1.434,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","6.5 %","0.16 per 1,000 persons","0.53 %","1.4 per 100k persons"
"Cook Islands","COK",NaN,"No income data","No tests reported",NaN,NaN,NaN,0,0,0,"Insufficient testing data","Does not meet sequencing target",NaN,"Insufficient data",NaN,"Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0 %","0 per 100k persons"
"Costa Rica","CRI",5094000,"Upper middle income","June 01, 2022",214,0.1951,2.15,7922,0.93,103.555,"Insufficient testing data","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","19.5 %","2.15 per 1,000 persons","0.93 %","103.6 per 100k persons"
"Croatia","HRV",4105000,"High income","January 01, 2023",0,0.3312,1.12,39879,3.93,519.854,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","33.1 %","1.12 per 1,000 persons","3.93 %","519.9 per 100k persons"
"Cuba","CUB",11327000,"Upper middle income","October 17, 2022",76,0.0575,0.77,1600,0.27,3.55,"Meets testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Sustain","Connect/Build","Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","5.8 %","0.77 per 1,000 persons","0.27 %","3.5 per 100k persons"
"Curaçao","CUW",NaN,"High income","No tests reported",NaN,NaN,NaN,2139,4.37,544.533,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","4.37 %","544.5 per 100k persons"
"Cyprus","CYP",1207000,"High income","July 11, 2021",539,NaN,NaN,1372,0.1,51.227,"Insufficient testing data","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","Insufficient data","Insufficient data","0.1 %","51.2 per 100k persons"
"Czech Republic","CZE",10709000,"High income","January 01, 2023",0,0.2138,2.55,55354,1.47,292.815,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","yes","21.4 %","2.55 per 1,000 persons","1.47 %","292.8 per 100k persons"
"Democratic Republic of the Congo","COD",89561000,"Low income","December 30, 2022",2,0.0686,0.01,1344,0.77,0.15,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","6.9 %","0.01 per 1,000 persons","0.77 %","0.1 per 100k persons"
"Denmark","DNK",5792000,"High income","December 28, 2022",4,0.1159,10.87,605534,12.35,5313.299,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","11.6 %","10.87 per 1,000 persons","12.35 %","5313.3 per 100k persons"
"Djibouti","DJI",988000,"Lower middle income","September 20, 2022",103,0.0217,0.36,884,19.14,34.527,"Does not meet testing target","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","2.2 %","0.36 per 1,000 persons","19.14 %","34.5 per 100k persons"
"Dominica","DMA",72000,"Upper middle income","December 28, 2021",369,NaN,NaN,39,0.12,15.119,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0.12 %","15.1 per 100k persons"
"Dominican Republic","DOM",10848000,"Upper middle income","November 30, 2022",32,0.1961,0.33,2103,0.42,8.523,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","19.6 %","0.33 per 1,000 persons","0.42 %","8.5 per 100k persons"
"East Timor","TLS",NaN,"Lower middle income","No tests reported",NaN,NaN,NaN,357,0.03,0.075,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0.03 %","0.1 per 100k persons"
"Ecuador","ECU",17643000,"Upper middle income","February 01, 2022",334,0.5871,0.55,8208,0.89,22.61,"Insufficient testing data","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","58.7 %","0.55 per 1,000 persons","0.89 %","22.6 per 100k persons"
"Egypt","EGY",102334000,"Lower middle income","August 15, 2022",139,0.0197,0.28,3053,0.91,1.058,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","2 %","0.28 per 1,000 persons","0.91 %","1.1 per 100k persons"
"El Salvador","SLV",6486000,"Lower middle income","August 30, 2022",124,0.0684,0.7,611,0.37,4.624,"Meets testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Sustain","Strengthen/Leverage","Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Sustain","Strengthen/Leverage","no","6.8 %","0.7 per 1,000 persons","0.37 %","4.6 per 100k persons"
"Equatorial Guinea","GNQ",1403000,"Upper middle income","December 30, 2022",2,0.0275,0.26,214,0.06,0.119,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","2.8 %","0.26 per 1,000 persons","0.06 %","0.1 per 100k persons"
"Eritrea","ERI",3546000,"Low income","December 21, 2020",741,NaN,NaN,0,0,0,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0 %","0 per 100k persons"
"Estonia","EST",1327000,"High income","December 27, 2022",5,0.3372,2.29,14894,1.65,457.821,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","33.7 %","2.29 per 1,000 persons","1.65 %","457.8 per 100k persons"
"Eswatini","SWZ",1160000,"Lower middle income","December 30, 2022",2,0.0663,0.31,1054,3.92,24.549,"Does not meet testing target","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","6.6 %","0.31 per 1,000 persons","3.92 %","24.5 per 100k persons"
"Ethiopia","ETH",114964000,"Low income","December 30, 2022",2,0.0643,0.03,616,0.08,0.043,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","6.4 %","0.03 per 1,000 persons","0.08 %","0 per 100k persons"
