"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Austria","High income","December 31, 2022","5.4 %","24.96 per 1,000 persons","2.83 %","1360.8 per 100k persons",187089,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Azerbaijan","Upper middle income","January 01, 2023","13.3 %","0.43 per 1,000 persons","0.01 %","0.2 per 100k persons",191,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Bahrain","High income","December 22, 2022","15.7 %","4.35 per 1,000 persons","1.37 %","385.8 per 100k persons",10302,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Bangladesh","Lower middle income","January 01, 2023","12.2 %","0.06 per 1,000 persons","0.45 %","1.2 per 100k persons",7424,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Barbados","High income","December 23, 2022","24.2 %","3.08 per 1,000 persons","0.14 %","38.3 per 100k persons",222,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Belarus","Upper middle income","July 06, 2022","11.1 %","1.48 per 1,000 persons","0.05 %","1.5 per 100k persons",520,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Belgium","High income","December 23, 2022","28 %","2.22 per 1,000 persons","3.21 %","697 per 100k persons",167943,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Belize","Upper middle income","June 10, 2022","15 %","2.94 per 1,000 persons","1.2 %","107.6 per 100k persons",1030,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Benin","Lower middle income","January 25, 2022","Insufficient data","Insufficient data","4.6 %","1 per 100k persons",1293,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bermuda","High income","December 29, 2022","No cases reported","14.45 per 1,000 persons","0.94 %","176 per 100k persons",242,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Bhutan","Lower middle income","March 01, 2022","2.3 %","9.58 per 1,000 persons","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bolivia","Lower middle income","January 02, 2022","86.9 %","0.59 per 1,000 persons","0.01 %","0.2 per 100k persons",345,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bosnia and Herzegovina","Upper middle income","December 05, 2022","36.7 %","0.29 per 1,000 persons","0.14 %","4.6 per 100k persons",1456,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Botswana","Upper middle income","May 18, 2022","33.7 %","0.82 per 1,000 persons","1.82 %","73.9 per 100k persons",4958,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Brazil","Upper middle income","August 17, 2022","94.4 %","0.26 per 1,000 persons","0.57 %","34.3 per 100k persons",191203,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"British Virgin Islands","High income","No tests reported","Insufficient data","Insufficient data","0.45 %","54.3 per 100k persons",195,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Brunei","High income","December 14, 2021","Insufficient data","Insufficient data","1.45 %","784.6 per 100k persons",4066,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Bulgaria","Upper middle income","January 01, 2023","15.6 %","1.39 per 1,000 persons","1.35 %","107 per 100k persons",20452,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Burkina Faso","Low income","March 09, 2022","12.6 %","0.02 per 1,000 persons","0.25 %","0 per 100k persons",664,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Burundi","Low income","December 30, 2022","2.7 %","0.22 per 1,000 persons","0 %","0 per 100k persons",157,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Cambodia","Lower middle income","November 01, 2022","5 %","0.07 per 1,000 persons","9.2 %","9.7 per 100k persons",3670,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Cameroon","Lower middle income","August 25, 2022","1.1 %","0.17 per 1,000 persons","2.93 %","1.5 per 100k persons",1373,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Canada","High income","November 28, 2022","16.2 %","1.14 per 1,000 persons","8.76 %","499.2 per 100k persons",429996,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cape Verde","Lower middle income","December 30, 2022","14.4 %","0.78 per 1,000 persons","1.97 %","68.4 per 100k persons",755,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cayman Islands","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",101,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Central African Republic","Low income","December 30, 2022","8.7 %","0.02 per 1,000 persons","1.46 %","0.8 per 100k persons",110,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Chad","Low income","December 30, 2022","4.9 %","0.01 per 1,000 persons","0.21 %","0 per 100k persons",49,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Chile","High income","January 01, 2023","15.8 %","2.92 per 1,000 persons","0.57 %","90.9 per 100k persons",38195,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"China","Upper middle income","June 24, 2020","Insufficient data","Insufficient data","0.05 %","0.1 per 100k persons",3209,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Colombia","Upper middle income","December 13, 2022","15.6 %","0.42 per 1,000 persons","0.84 %","18.6 per 100k persons",23637,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Comoros","Lower middle income","November 13, 2022","6.5 %","0.16 per 1,000 persons","0.53 %","1.4 per 100k persons",46,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Costa Rica","Upper middle income","June 01, 2022","19.5 %","2.15 per 1,000 persons","0.93 %","103.6 per 100k persons",7922,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Croatia","High income","January 01, 2023","33.1 %","1.12 per 1,000 persons","3.93 %","519.9 per 100k persons",39879,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cuba","Upper middle income","October 17, 2022","5.8 %","0.77 per 1,000 persons","0.27 %","3.5 per 100k persons",1600,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Curaçao","High income","No tests reported","Insufficient data","Insufficient data","4.37 %","544.5 per 100k persons",2139,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Cyprus","High income","July 11, 2021","Insufficient data","Insufficient data","0.1 %","51.2 per 100k persons",1372,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Czech Republic","High income","January 01, 2023","21.4 %","2.55 per 1,000 persons","1.47 %","292.8 per 100k persons",55354,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Democratic Republic of the Congo","Low income","December 30, 2022","6.9 %","0.01 per 1,000 persons","0.77 %","0.1 per 100k persons",1344,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Denmark","High income","December 28, 2022","11.6 %","10.87 per 1,000 persons","12.35 %","5313.3 per 100k persons",605534,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Djibouti","Lower middle income","September 20, 2022","2.2 %","0.36 per 1,000 persons","19.14 %","34.5 per 100k persons",884,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Dominica","Upper middle income","December 28, 2021","Insufficient data","Insufficient data","0.12 %","15.1 per 100k persons",39,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Dominican Republic","Upper middle income","November 30, 2022","19.6 %","0.33 per 1,000 persons","0.42 %","8.5 per 100k persons",2103,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"East Timor","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.03 %","0.1 per 100k persons",357,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Ecuador","Upper middle income","February 01, 2022","58.7 %","0.55 per 1,000 persons","0.89 %","22.6 per 100k persons",8208,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Egypt","Lower middle income","August 15, 2022","2 %","0.28 per 1,000 persons","0.91 %","1.1 per 100k persons",3053,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"El Salvador","Lower middle income","August 30, 2022","6.8 %","0.7 per 1,000 persons","0.37 %","4.6 per 100k persons",611,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Equatorial Guinea","Upper middle income","December 30, 2022","2.8 %","0.26 per 1,000 persons","0.06 %","0.1 per 100k persons",214,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Eritrea","Low income","December 21, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Estonia","High income","December 27, 2022","33.7 %","2.29 per 1,000 persons","1.65 %","457.8 per 100k persons",14894,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Eswatini","Lower middle income","December 30, 2022","6.6 %","0.31 per 1,000 persons","3.92 %","24.5 per 100k persons",1054,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ethiopia","Low income","December 30, 2022","6.4 %","0.03 per 1,000 persons","0.08 %","0 per 100k persons",616,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Faroe Islands","High income","February 27, 2022","No cases reported","47.26 per 1,000 persons","0 %","0 per 100k persons",42,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Fiji","Upper middle income","December 29, 2022","7.9 %","0.6 per 1,000 persons","0 %","0 per 100k persons",531,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Finland","High income","December 01, 2022","36.4 %","1.68 per 1,000 persons","1.21 %","243.3 per 100k persons",40060,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"France","High income","May 17, 2022","23.6 %","9.23 per 1,000 persons","1.02 %","415.3 per 100k persons",519170,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"French Polynesia","High income","September 07, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons",110,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Gabon","Upper middle income","December 30, 2022","6.1 %","0.18 per 1,000 persons","0.03 %","0.1 per 100k persons",967,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Georgia","Upper middle income","June 16, 2021","Insufficient data","Insufficient data","0.16 %","37.7 per 100k persons",2466,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Germany","High income","December 15, 2022","53.6 %","1.89 per 1,000 persons","1.62 %","569.4 per 100k persons",829906,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ghana","Lower middle income","December 30, 2022","7.2 %","0.04 per 1,000 persons","2.81 %","2.3 per 100k persons",4393,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Gibraltar","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",2749,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Greece","High income","December 20, 2022","7.8 %","15.06 per 1,000 persons","0.22 %","88.4 per 100k persons",22809,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Greenland","High income","August 25, 2021","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Grenada","Upper middle income","November 09, 2022","15.1 %","2.52 per 1,000 persons","0 %","0 per 100k persons",58,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guam","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",933,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Guatemala","Upper middle income","January 01, 2023","17.6 %","0.5 per 1,000 persons","0.25 %","7.4 per 100k persons",2973,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Guinea","Low income","December 30, 2022","4.1 %","0.03 per 1,000 persons","4.98 %","2 per 100k persons",841,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guinea-Bissau","Low income","July 11, 2022","5.6 %","0.09 per 1,000 persons","0 %","0 per 100k persons",49,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guyana","Upper middle income","December 28, 2021","Insufficient data","Insufficient data","0.25 %","10 per 100k persons",145,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Haiti","Low income","No tests reported","Insufficient data","Insufficient data","0.94 %","0.6 per 100k persons",442,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Honduras","Lower middle income","December 08, 2022","18.8 %","0.12 per 1,000 persons","0.03 %","0.2 per 100k persons",233,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Hong Kong SAR, China","High income","December 28, 2022","No cases reported","16.27 per 1,000 persons","0.46 %","130 per 100k persons",13532,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Hungary","High income","May 11, 2022","29.2 %","1.76 per 1,000 persons","0.01 %","0.7 per 100k persons",593,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iceland","High income","August 23, 2022","25.4 %","8.71 per 1,000 persons","1.24 %","601 per 100k persons",12053,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"India","Lower middle income","January 01, 2023","4.2 %","0.47 per 1,000 persons","0.93 %","6.4 per 100k persons",230521,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Indonesia","Upper middle income","December 25, 2022","4.8 %","0.52 per 1,000 persons","1.21 %","10.6 per 100k persons",42170,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Iran","Upper middle income","September 20, 2022","11.1 %","0.55 per 1,000 persons","0.14 %","2.1 per 100k persons",3337,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iraq","Upper middle income","August 06, 2022","15.4 %","0.26 per 1,000 persons","0.14 %","1.2 per 100k persons",1281,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ireland","High income","December 23, 2022","31.8 %","1.64 per 1,000 persons","5.04 %","877 per 100k persons",96983,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Isle of Man","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Israel","High income","January 23, 2022","10.9 %","40.08 per 1,000 persons","3.12 %","1101.4 per 100k persons",143623,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Italy","High income","December 30, 2022","15.4 %","5.64 per 1,000 persons","0.34 %","104.3 per 100k persons",155986,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ivory Coast","Lower middle income","December 30, 2022","4.6 %","0.05 per 1,000 persons","0.77 %","0.4 per 100k persons",887,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Jamaica","Upper middle income","September 30, 2022","12.3 %","0.59 per 1,000 persons","2.69 %","55 per 100k persons",2460,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Japan","High income","January 01, 2023","46.6 %","1.26 per 1,000 persons","1.22 %","227.7 per 100k persons",472394,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Jordan","Upper middle income","July 27, 2022","18.5 %","1.64 per 1,000 persons","0.02 %","1.3 per 100k persons",1497,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kazakhstan","Upper middle income","May 28, 2021","Insufficient data","Insufficient data","0.21 %","4.4 per 100k persons",1689,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kenya","Lower middle income","December 30, 2022","5.5 %","0.05 per 1,000 persons","5.42 %","4.5 per 100k persons",11612,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kiribati","Lower middle income","No tests reported","Insufficient data","Insufficient data","3.96 %","103.6 per 100k persons",137,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Kosovo","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Kuwait","High income","March 10, 2022","11.4 %","6.05 per 1,000 persons","0.2 %","11.3 per 100k persons",874,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kyrgyzstan","Lower middle income","June 23, 2021","Insufficient data","Insufficient data","0.19 %","0.6 per 100k persons",326,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Laos","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.5 %","6.9 per 100k persons",557,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Latvia","High income","December 30, 2022","30.3 %","3.35 per 1,000 persons","0.77 %","287 per 100k persons",17769,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Lebanon","Upper middle income","June 23, 2021","Insufficient data","Insufficient data","0.06 %","5.4 per 100k persons",2438,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Lesotho","Lower middle income","December 30, 2022","3.5 %","0.22 per 1,000 persons","1.69 %","3.6 per 100k persons",271,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Liberia","Low income","September 26, 2021","Insufficient data","Insufficient data","0 %","0 per 100k persons",110,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Libya","Upper middle income","December 30, 2022","19.4 %","0.7 per 1,000 persons","0.03 %","0.5 per 100k persons",84,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Liechtenstein","High income","No tests reported","Insufficient data","Insufficient data","7.97 %","2990.7 per 100k persons",1793,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Lithuania","High income","December 30, 2022","35.9 %","2.15 per 1,000 persons","1.26 %","344.4 per 100k persons",40226,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Luxembourg","High income","November 16, 2022","30.9 %","3.26 per 1,000 persons","14.23 %","4461.7 per 100k persons",50560,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Macao SAR, China","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",1,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Madagascar","Low income","December 30, 2022","7.1 %","0.02 per 1,000 persons","0.31 %","0.2 per 100k persons",879,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Malawi","Low income","December 30, 2022","10.1 %","0.02 per 1,000 persons","0.89 %","0.5 per 100k persons",1250,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Malaysia","Upper middle income","June 16, 2021","Insufficient data","Insufficient data","1.02 %","67.1 per 100k persons",32598,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Maldives","Upper middle income","November 09, 2021","Insufficient data","Insufficient data","0.35 %","59.6 per 100k persons",1294,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mali","Low income","December 30, 2022","4.3 %","0.04 per 1,000 persons","0.8 %","0.4 per 100k persons",217,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Malta","High income","September 06, 2021","Insufficient data","Insufficient data","0.15 %","17.6 per 100k persons",893,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Marshall Islands","Upper middle income","No tests reported","Insufficient data","Insufficient data","0.17 %","62.5 per 100k persons",26,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mauritania","Lower middle income","December 30, 2022","5.2 %","0.25 per 1,000 persons","0.03 %","0.1 per 100k persons",58,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mauritius","High income","December 30, 2022","41 %","1.17 per 1,000 persons","2.12 %","339.6 per 100k persons",5306,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Mexico","Upper middle income","December 29, 2022","48.7 %","0.14 per 1,000 persons","1.01 %","24.9 per 100k persons",80263,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Micronesia","Lower middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Moldova","Lower middle income","June 13, 2021","Insufficient data","Insufficient data","0.2 %","13.4 per 100k persons",657,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Monaco","High income","No tests reported","Insufficient data","Insufficient data","0.15 %","43.8 per 100k persons",101,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mongolia","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.2 %","17.7 per 100k persons",1566,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Montenegro","Upper middle income","June 21, 2021","Insufficient data","Insufficient data","0.33 %","58.7 per 100k persons",918,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Morocco","Lower middle income","December 30, 2022","10.3 %","0.22 per 1,000 persons","0.32 %","2.6 per 100k persons",1565,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Mozambique","Low income","December 30, 2022","15.1 %","0.03 per 1,000 persons","0.7 %","0.8 per 100k persons",1352,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Myanmar","Lower middle income","January 01, 2023","2.7 %","0.19 per 1,000 persons","0.04 %","0.1 per 100k persons",106,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Namibia","Upper middle income","September 13, 2022","10.5 %","0.33 per 1,000 persons","0.93 %","8.1 per 100k persons",783,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Nauru","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Nepal","Lower middle income","January 01, 2023","15.1 %","0.11 per 1,000 persons","0.62 %","3.5 per 100k persons",3337,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Netherlands","High income","January 25, 2022","25.8 %","8.29 per 1,000 persons","1.05 %","322.5 per 100k persons",148649,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"New Caledonia","High income","September 07, 2021","Insufficient data","Insufficient data","0.01 %","2.8 per 100k persons",9,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"New Zealand","High income","December 28, 2022","96.9 %","1.22 per 1,000 persons","1.13 %","420.6 per 100k persons",27581,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Nicaragua","Lower middle income","No tests reported","Insufficient data","Insufficient data","9.72 %","2.4 per 100k persons",867,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
