"geometry","country","code","region","who_testing_capacity","owid_testing_capacity","pop_100k","max_new_tests_cap_avg","cap_cum_tests","cum_tpr","dx_testing_capacity","ngs_capacity","sequencing_capacity","total_sequences","submission_count","total_viable_sequences","all_cases","percent_cases_sequenced","sequences_per_capita_per_100k","sars_cov_2_sequencing","cases_newly_reported_in_last_7_days_per_100000_population","world_bank_economies","archetype_full","archetype","label","dx_testing_capacity_clean","sequencing_capacity_clean","sars_cov_2_sequencing_clean","archetype_clean"
NaN,"Argentina","ARG","Americas","1 - Reliable",1,451.96,260.95,53511.0828391893,0.218101904955532,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",8492,8500,5435,5272551,0.16,18.62,"500+ sequences",11.96,"Upper middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Armenia","ARM","Europe","1 - Reliable",NaN,29.63,230.7,61124.9071886601,0.156938951406607,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",140,143,136,281991,0.05,4.72,"1-499 sequences",269.77,"Upper middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Aruba","ABW","Americas","1 - Reliable",1,NaN,NaN,NaN,NaN,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",2676,2676,2674,0,NaN,2496.39,"500+ sequences",96.47,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Leverage"
NaN,"Arunachal Pradesh","","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Arunachal Pradesh Disputed Boundary","","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Arunachal Pradesh Disputed Boundary","","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Australia","AUS","Western Pacific","1 - Reliable",1,255,863.04,162088.188235294,0.00361454166514244,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",34791,34835,34716,145263,23.95,134.91,"500+ sequences",53.37,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Australian Indian Ocean Territories","","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Australian Indian Ocean Territories","","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Austria","AUT","Europe","1 - Reliable",1,90.06,5074.8,1035269.4092827,0.00836871983090975,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",59514,61004,9614,775782,7.67,658.12,"500+ sequences",143.88,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Azerbaijan","AZE","Europe","0 - Unreliable",1,101.39,161.18,49755.8339086695,0.100214004912836,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",14,14,14,502207,0,0.14,"1-499 sequences",70.21,"Upper middle income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage"
NaN,"Bahrain","BHR","Eastern Mediterranean","1 - Reliable",1,17.02,1044.51,395516.862514689,0.0410389831865576,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",968,968,968,276118,0.35,55.37,"500+ sequences",27.5,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Bangladesh","BGD","South-East Asia","1 - Reliable",1,1646.89,25.41,5784.93402716636,0.164403415502013,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",2940,2963,2870,1565488,0.19,1.77,"500+ sequences",2.23,"Lower middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Barbados","BRB","Americas","0 - Unreliable",1,2.87,738.18,122045.296167247,0.038693008250778,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",78,78,78,12968,0.6,27.11,"1-499 sequences",678.9,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect"
NaN,"Belarus","BLR","Europe","1 - Reliable",1,94.49,336.13,96917.1975870462,0.0628821235361782,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",88,91,84,571987,0.02,0.93,"1-499 sequences",148.12,"Upper middle income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage"
NaN,"Belgium","BEL","Europe","1 - Reliable",1,115.9,1311.73,207805.418464193,0.0536809589245398,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",52007,52032,51915,1279869,4.06,447.09,"500+ sequences",110.9,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Belize","BLZ","Americas","0 - Unreliable",1,3.98,346.45,67425.6281407035,0.0922959970784859,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",178,178,178,23990,0.74,43.96,"1-499 sequences",398.11,"Upper middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Benin","BEN","Africa","0 - Unreliable",1,121.23,28.81,5284.05510187247,0.0383398950336098,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",264,282,264,24560,1.07,2.12,"1-499 sequences",1.86,"Lower middle income","1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Test"
NaN,"Bermuda","BMU","Americas","1 - Reliable",1,0.62,4409.62,929285.483870968,NaN,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",40,40,40,0,NaN,64.42,"1-499 sequences",183.06,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect"
NaN,"Bhutan","BTN","South-East Asia","0 - Unreliable",1,7.72,750.57,103442.098445596,0.00327709551913225,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,2617,0,0,"0 sequences",0.39,"Lower middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","0 sequences","Connect"
NaN,"Bolivia","BOL","Americas","1 - Reliable",1,116.73,103.68,19607.4702304463,0.221573938954377,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",152,152,150,506654,0.03,1.28,"1-499 sequences",21.88,"Lower middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Bosnia and Herzegovina","BIH","Europe","1 - Reliable",1,32.81,102.26,27243.1270953977,0.274981064992107,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",272,273,218,243914,0.11,8.33,"1-499 sequences",122.26,"Upper middle income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage"
NaN,"Botswana","BWA","Africa","1 - Reliable",1,23.52,260.37,76365.9863945578,0.102470982023553,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",1262,1262,1255,181856,0.69,52.64,"500+ sequences",44.82,"Upper middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Brazil","BRA","Americas","1 - Reliable",1,2125.59,160.1,11084.6856637451,0.919503501836068,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",48613,48645,47847,21494358,0.23,22.72,"500+ sequences",42.82,"Upper middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"British Indian Ocean Territory","IOT","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"British Virgin Islands","VGB","Americas","0 - Unreliable",NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",33,33,33,0,NaN,108.47,"1-499 sequences",0,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Test"
NaN,"Brunei","BRN","Western Pacific","1 - Reliable",1,4.37,1098.2,98673.4553775744,0.0260202271320005,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",38,38,38,10860,0.35,8.61,"1-499 sequences",346.3,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Leverage"
NaN,"Bulgaria","BGR","Europe","1 - Reliable",1,69.48,302.99,67048.3592400691,0.118182384104823,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",5426,5426,5421,540619,1,78.68,"500+ sequences",243.42,"Upper middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Burkina Faso","BFA","Africa","1 - Reliable",1,209.03,5.49,1220.88217002344,0.0578328454825804,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",418,424,415,14734,2.84,1.94,"1-499 sequences",0.88,"Low income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage"
NaN,"Burundi","BDI","Africa","1 - Reliable",1,118.91,58.57,6675.15768228072,0.0248758099284025,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",63,63,63,19555,0.32,0.51,"1-499 sequences",4.55,"Low income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Cambodia","KHM","Western Pacific","1 - Reliable",1,167.19,3381.69,143502.524074406,0.00487804634066915,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",1163,1165,1145,116665,1,6.86,"500+ sequences",10.07,"Lower middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Cameroon","CMR","Africa","1 - Reliable",1,265.46,41.15,7897.24628945981,0.0478386073669996,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",211,220,211,98402,0.21,0.78,"1-499 sequences",11.31,"Lower middle income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage"
NaN,"Canada","CAN","Americas","1 - Reliable",1,377.42,696.06,119370.139367283,0.0376401154222175,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",161297,161389,126576,1687883,9.56,423.71,"500+ sequences",64,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Cape Verde","CPV","Africa","0 - Unreliable",1,5.56,255.71,64343.8848920863,0.106364185245645,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",40,40,40,38040,0.11,NaN,"1-499 sequences",32.55,"Lower middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Cayman Islands","CYM","Americas","0 - Unreliable",NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",84,84,84,0,NaN,126.32,"1-499 sequences",115.64,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Test"
NaN,"Central African Republic","CAF","Africa","1 - Reliable",0,48.3,10.12,1402.87784679089,0.169394471583111,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",56,118,56,11469,0.49,1.14,"1-499 sequences",1.41,"Low income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Chad","TCD","Africa","1 - Reliable",1,164.26,3.4,992.006574942165,0.0311082744696128,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,9,0,5067,0,0,"1-499 sequences",0.07,"Low income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Chile","CHL","Americas","1 - Reliable",1,191.16,397.29,119522.284996861,0.0732233362570182,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",11072,11079,11023,1670750,0.66,57.63,"500+ sequences",32.86,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"China","CHN","Western Pacific","1 - Reliable",1,14393.24,49.85,6252.93540578772,0.00121087777777778,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",1274,1337,1106,96079,1.33,0.09,"500+ sequences",0.02,"Upper middle income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Clipperton Island","","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Colombia","COL","Americas","1 - Reliable",1,508.83,279.34,51550.9344967868,0.189988609513553,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",6356,6366,5770,4981532,0.13,12.4,"500+ sequences",19.55,"Upper middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Comoros","COM","Africa","0 - Unreliable",NaN,8.7,8.86,715.747126436782,0.673036775333226,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",6,6,6,4186,0.14,0.68,"1-499 sequences",1.72,"Lower middle income","1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Test"
NaN,"Cook Islands","COK","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,0,NaN,0,"0 sequences",0,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Costa Rica","CRI","Americas","1 - Reliable",1,50.94,194.2,41434.6486062034,0.262313916693238,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",1280,1280,1234,551144,0.23,24.91,"500+ sequences",166.7,"Upper middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Croatia","HRV","Europe","1 - Reliable",1,41.05,237.5,72452.3020706456,0.144569555105682,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",8402,8404,8030,427914,1.96,205.85,"500+ sequences",227.76,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Cuba","CUB","Americas","0 - Unreliable",1,113.27,478.69,89285.3447514788,0.0928057376827918,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",1049,1049,2,934965,0.11,9.27,"500+ sequences",196.1,"Upper middle income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","0 NGS facilities or equivalent","500+ sequences","Leverage"
NaN,"Cura√ßao","CUW","Americas","0 - Unreliable",NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",821,821,821,0,NaN,498.19,"500+ sequences",NaN,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Test"
NaN,"Cyprus","CYP","Europe","1 - Reliable",1,12.07,5361.32,726198.425849213,0.0139788927025749,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",134,168,134,121995,0.11,14.96,"1-499 sequences",110.47,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Leverage"
NaN,"Czech Republic","CZE","Europe","1 - Reliable",1,107.09,2964.16,368177.654309459,0.0434269986579384,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",10082,10090,10078,1708925,0.59,94.01,"500+ sequences",68.79,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Demchok-Jammu & Kashmir Disputed Boundary","","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Demchok-Jammu & Kashmir Disputed Boundary","","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Democratic Republic of the Congo","COD","Africa","1 - Reliable",1,895.61,2.5,441.576132468373,0.144983311419035,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",649,870,628,57269,1.13,0.7,"500+ sequences",0.21,"Low income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Denmark","DNK","Europe","1 - Reliable",1,57.92,9787.53,1457169.50966851,0.00440995583160222,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",175112,175583,175110,370655,47.24,3012.26,"500+ sequences",75.2,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Djibouti","DJI","Eastern Mediterranean","1 - Reliable",1,9.88,85.26,23374.0890688259,0.0581243288183739,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",306,306,306,13396,2.28,30.53,"1-499 sequences",23.38,"Lower middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Dominica","DMA","Americas","1 - Reliable",1,0.72,1639.12,96295.8333333333,0.0629714565935413,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",9,9,9,4153,0.22,12.47,"1-499 sequences",454.22,"Upper middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Dominican Republic","DOM","Americas","0 - Unreliable",1,108.48,59.85,18801.2629056047,0.182429944483151,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",327,327,324,370451,0.09,2.99,"1-499 sequences",41.76,"Upper middle income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage"
NaN,"East Timor","TLS","South-East Asia","1 - Reliable",1,13.18,NaN,0,NaN,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",356,356,354,0,NaN,NaN,"1-499 sequences",4.78,"Lower middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Ecuador","ECU","Americas","1 - Reliable",1,176.43,29.29,10712.2088080258,0.272010180136564,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",2226,2365,2172,513026,0.43,12.44,"500+ sequences",4.27,"Upper middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Egypt","EGY","Eastern Mediterranean","1 - Reliable",1,1023.34,13.94,3834.30042801024,0.0816064965710475,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",1038,1046,936,318456,0.33,1,"500+ sequences",5.71,"Lower middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen"
