"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Dominican Republic","Upper middle income","July 24, 2022","16.3 %","0.45 per 1,000 persons","0.31 %","8 per 100k persons",1425,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"East Timor","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.04 %","0.4 per 100k persons",356,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Ecuador","Upper middle income","February 01, 2022","31.9 %","0.24 per 1,000 persons","0.9 %","23.9 per 100k persons",6453,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Egypt","Lower middle income","July 28, 2022","2.7 %","0.23 per 1,000 persons","0.48 %","1 per 100k persons",2349,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"El Salvador","Lower middle income","July 28, 2022","7.7 %","0.56 per 1,000 persons","0.28 %","4.7 per 100k persons",513,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Equatorial Guinea","Upper middle income","July 31, 2022","4.3 %","0.36 per 1,000 persons","0.25 %","1.2 per 100k persons",213,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Eritrea","Low income","December 21, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Estonia","High income","July 26, 2022","24.9 %","3.86 per 1,000 persons","1.73 %","591.5 per 100k persons",12917,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Eswatini","Lower middle income","July 31, 2022","17.2 %","0.67 per 1,000 persons","1.51 %","59.5 per 100k persons",976,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ethiopia","Low income","July 31, 2022","10 %","0.05 per 1,000 persons","0.18 %","0.3 per 100k persons",616,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Faroe Islands","High income","February 27, 2022","No cases reported","39.53 per 1,000 persons","0 %","0 per 100k persons",42,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Fiji","Upper middle income","July 31, 2022","12.9 %","0.95 per 1,000 persons","0 %","0 per 100k persons",531,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Finland","High income","July 14, 2022","20.1 %","2.71 per 1,000 persons","1.74 %","334.4 per 100k persons",35160,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"France","High income","May 17, 2022","13.8 %","8.87 per 1,000 persons","1.01 %","416.8 per 100k persons",364750,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"French Polynesia","High income","September 07, 2020","Insufficient data","Insufficient data","0.1 %","18.1 per 100k persons",110,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Gabon","Upper middle income","July 29, 2022","3.6 %","0.78 per 1,000 persons","0.84 %","8.3 per 100k persons",967,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Georgia","Upper middle income","June 16, 2021","Insufficient data","Insufficient data","0.14 %","46.6 per 100k persons",2012,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Germany","High income","July 27, 2022","39.2 %","2.27 per 1,000 persons","2.07 %","671.4 per 100k persons",713689,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ghana","Lower middle income","July 15, 2022","6 %","0.1 per 1,000 persons","2.74 %","5.4 per 100k persons",3891,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Gibraltar","High income","No tests reported","Insufficient data","Insufficient data","10.16 %","4646.5 per 100k persons",2749,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Greece","High income","July 27, 2022","5 %","20.07 per 1,000 persons","0.26 %","94.7 per 100k persons",18983,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Greenland","High income","August 25, 2021","No cases reported","16.82 per 1,000 persons","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Grenada","Upper middle income","July 27, 2022","14.9 %","3.05 per 1,000 persons","0.25 %","36.9 per 100k persons",58,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guam","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",830,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Guatemala","Upper middle income","July 31, 2022","19.4 %","0.53 per 1,000 persons","0.21 %","8 per 100k persons",2276,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Guinea","Low income","July 31, 2022","5.3 %","0.05 per 1,000 persons","2.3 %","2 per 100k persons",623,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guinea-Bissau","Low income","July 11, 2022","6.2 %","0.1 per 1,000 persons","0 %","0 per 100k persons",48,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guyana","Upper middle income","December 28, 2021","8.7 %","1.63 per 1,000 persons","0.28 %","16.3 per 100k persons",145,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Haiti","Low income","No tests reported","Insufficient data","Insufficient data","0.79 %","0.8 per 100k persons",285,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Honduras","Lower middle income","July 27, 2022","25.9 %","0.15 per 1,000 persons","0.08 %","1.1 per 100k persons",231,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Hong Kong SAR, China","High income","July 19, 2022","No cases reported","12.17 per 1,000 persons","0.42 %","75.4 per 100k persons",8610,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Hungary","High income","May 11, 2022","21.6 %","1.84 per 1,000 persons","0.01 %","1.2 per 100k persons",549,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iceland","High income","July 29, 2022","16.2 %","9.67 per 1,000 persons","1.61 %","843 per 100k persons",10476,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"India","Lower middle income","July 31, 2022","3 %","0.82 per 1,000 persons","0.98 %","8.6 per 100k persons",195287,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Indonesia","Upper middle income","July 31, 2022","3.7 %","0.78 per 1,000 persons","0.78 %","7.9 per 100k persons",30143,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iran","Upper middle income","June 01, 2022","12.9 %","1.03 per 1,000 persons","0.05 %","1.8 per 100k persons",2230,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iraq","Upper middle income","July 25, 2022","13.8 %","0.41 per 1,000 persons","0.08 %","1.5 per 100k persons",1069,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ireland","High income","July 29, 2022","21.1 %","3.59 per 1,000 persons","4.09 %","1108.2 per 100k persons",82932,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Isle of Man","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Israel","High income","January 23, 2022","5.1 %","18.29 per 1,000 persons","2.74 %","1094.3 per 100k persons",117848,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Italy","High income","July 31, 2022","10.4 %","7.23 per 1,000 persons","0.49 %","138.9 per 100k persons",137270,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ivory Coast","Lower middle income","July 31, 2022","4.4 %","0.08 per 1,000 persons","0.45 %","0.6 per 100k persons",758,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Jamaica","Upper middle income","July 24, 2022","14.3 %","0.61 per 1,000 persons","1.7 %","56.1 per 100k persons",1958,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Japan","High income","July 31, 2022","27.1 %","0.92 per 1,000 persons","1.97 %","187.1 per 100k persons",341636,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Jordan","Upper middle income","July 27, 2022","11.5 %","2.2 per 1,000 persons","0.07 %","5.8 per 100k persons",1483,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kazakhstan","Upper middle income","May 28, 2021","Insufficient data","Insufficient data","0.13 %","5.4 per 100k persons",1421,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kenya","Lower middle income","July 31, 2022","8 %","0.09 per 1,000 persons","4.09 %","10.3 per 100k persons",10770,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Kiribati","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.84 %","22.5 per 100k persons",30,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Kosovo","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Kuwait","High income","March 10, 2022","5.2 %","4.58 per 1,000 persons","0.19 %","11.2 per 100k persons",714,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kyrgyzstan","Lower middle income","June 23, 2021","Insufficient data","Insufficient data","0.27 %","1.6 per 100k persons",327,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Laos","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.2 %","5.5 per 100k persons",423,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Latvia","High income","July 29, 2022","16.8 %","6.25 per 1,000 persons","1.41 %","543.6 per 100k persons",17769,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Lebanon","Upper middle income","June 23, 2021","Insufficient data","Insufficient data","0.12 %","13.4 per 100k persons",2234,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Lesotho","Lower middle income","July 31, 2022","6.2 %","0.44 per 1,000 persons","0.58 %","5.2 per 100k persons",219,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Liberia","Low income","September 26, 2021","5.2 %","0.03 per 1,000 persons","1.46 %","0.6 per 100k persons",110,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Libya","Upper middle income","July 13, 2022","19.2 %","0.7 per 1,000 persons","0.01 %","0.2 per 100k persons",59,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Liechtenstein","High income","No tests reported","Insufficient data","Insufficient data","8.45 %","3353.1 per 100k persons",1390,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Lithuania","High income","July 29, 2022","19.5 %","4.64 per 1,000 persons","2.62 %","847.7 per 100k persons",40224,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Luxembourg","High income","July 24, 2022","18.1 %","5.06 per 1,000 persons","13.4 %","4366.5 per 100k persons",40705,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Macao SAR, China","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Madagascar","Low income","July 11, 2022","9.3 %","0.03 per 1,000 persons","0.36 %","0.3 per 100k persons",880,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Malawi","Low income","July 31, 2022","13.4 %","0.04 per 1,000 persons","0.72 %","1.3 per 100k persons",1192,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Malaysia","Upper middle income","June 16, 2021","Insufficient data","Insufficient data","0.56 %","58.8 per 100k persons",22390,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Maldives","Upper middle income","November 09, 2021","2.5 %","8.54 per 1,000 persons","1.11 %","228.2 per 100k persons",1294,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Mali","Low income","July 31, 2022","4.3 %","0.05 per 1,000 persons","0.04 %","0 per 100k persons",73,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Malta","High income","September 06, 2021","1.9 %","7.45 per 1,000 persons","0.73 %","108.2 per 100k persons",893,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Marshall Islands","Upper middle income","No tests reported","Insufficient data","Insufficient data","5 %","7.1 per 100k persons",3,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mauritania","Lower middle income","July 31, 2022","5.9 %","0.37 per 1,000 persons","0.04 %","0.3 per 100k persons",51,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mauritius","High income","June 20, 2022","24.4 %","2.23 per 1,000 persons","1.13 %","210.1 per 100k persons",3112,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Mexico","Upper middle income","July 29, 2022","41.9 %","0.2 per 1,000 persons","1.13 %","34.3 per 100k persons",69347,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Micronesia","Lower middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Moldova","Lower middle income","June 13, 2021","Insufficient data","Insufficient data","0.2 %","17.6 per 100k persons",605,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Monaco","High income","No tests reported","Insufficient data","Insufficient data","0.28 %","87.2 per 100k persons",97,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mongolia","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.06 %","13.8 per 100k persons",1067,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Montenegro","Upper middle income","June 21, 2021","Insufficient data","Insufficient data","0.39 %","96.5 per 100k persons",750,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Morocco","Lower middle income","July 31, 2022","12.2 %","0.4 per 1,000 persons","0.09 %","1.5 per 100k persons",900,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Mozambique","Low income","July 29, 2022","17.3 %","0.06 per 1,000 persons","0.28 %","0.9 per 100k persons",1193,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Myanmar","Lower middle income","July 31, 2022","6 %","0.27 per 1,000 persons","0.02 %","0.1 per 100k persons",94,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Namibia","Upper middle income","July 05, 2022","11.3 %","0.52 per 1,000 persons","0.95 %","18.8 per 100k persons",638,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Nauru","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Nepal","Lower middle income","July 31, 2022","13.2 %","0.21 per 1,000 persons","0.85 %","8.2 per 100k persons",3104,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Netherlands","High income","January 25, 2022","19.9 %","3.7 per 1,000 persons","1.18 %","436.2 per 100k persons",131000,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"New Caledonia","High income","September 07, 2021","No cases reported","0.38 per 1,000 persons","0.01 %","3.1 per 100k persons",9,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"New Zealand","High income","August 01, 2022","32.7 %","2.79 per 1,000 persons","0.94 %","296.9 per 100k persons",16429,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
