"name","Date tests last reported","Test positivity rate (%) in past year","Average daily tests in past year","% of cases sequenced in past year","Number of sequences in past year","World Bank Economic Status","COVID-19 Diagnostic Testing Capacity","SARS-CoV-2 Sequencing Capacity","NGS Facility Access","Archetype"
"Burundi","February 15, 2022","2.8 %","0.29 per 1000 persons","0.17 %","0.5 per 100k persons","Low income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Connect"
"Cambodia","February 16, 2022","5.1 %","0.39 per 1000 persons","1.91 %","14 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Cameroon","February 11, 2022","5.8 %","0.16 per 1000 persons","0.47 %","1.5 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Canada","February 17, 2022","6.9 %","2.5 per 1000 persons","8.27 %","519.3 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Cape Verde","February 17, 2022","12.3 %","1.65 per 1000 persons","0.48 %","34.9 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Strengthen"
"Cayman Islands","No tests reported","Insufficient Data","Insufficient Data","0.42 %","115.8 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Central African Republic","February 08, 2022","19.7 %","0.03 per 1000 persons","0.48 %","0.9 per 100k persons","Low income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Test"
"Chad","February 09, 2022","3.2 %","0.02 per 1000 persons","0.92 %","0.2 per 100k persons","Low income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Strengthen"
"Chile","February 02, 2022","6.8 %","3.18 per 1000 persons","0.98 %","99.9 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"China","June 24, 2020","Insufficient Data","Insufficient Data","2.89 %","0 per 100k persons","Upper middle income","Insufficient data","Has demonstrated sequencing capacity","1 or more NGS facilities","Insufficient Data"
"Colombia","February 16, 2022","15.3 %","1.34 per 1000 persons","0.34 %","25.4 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Comoros","November 27, 2020","Insufficient Data","Insufficient Data","0.24 %","1.2 per 100k persons","Lower middle income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Costa Rica","February 16, 2022","19 %","1.6 per 1000 persons","0.43 %","48.2 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Croatia","February 16, 2022","24.8 %","2.11 per 1000 persons","2.89 %","562 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Cuba","February 17, 2022","9.5 %","2.61 per 1000 persons","0 %","0 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Connect"
"Curaçao","No tests reported","Insufficient Data","Insufficient Data","3.58 %","736.7 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Cyprus","July 11, 2021","0.7 %","39.71 per 1000 persons","0 %","0.1 per 100k persons","High income","Insufficient data","Has not demonstrated sequencing capacity","1 or more NGS facilities","Insufficient Data"
"Czech Republic","February 17, 2022","5 %","11.99 per 1000 persons","1.15 %","252.4 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Democratic Republic of the Congo","February 17, 2022","7.4 %","0.03 per 1000 persons","0.59 %","0.4 per 100k persons","Low income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Denmark","December 30, 2021","0.6 %","49.44 per 1000 persons","13.13 %","5143.5 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Djibouti","February 17, 2022","5.7 %","0.46 per 1000 persons","4.52 %","43 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Strengthen"
"Dominica","December 28, 2021","5.8 %","4.98 per 1000 persons","0.23 %","33.3 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Strengthen"
"Dominican Republic","September 23, 2021","14.1 %","0.37 per 1000 persons","0.3 %","9.1 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"East Timor","No tests reported","Insufficient Data","Insufficient Data","1.42 %","23.3 per 100k persons","Lower middle income","Insufficient data","Has demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Ecuador","February 01, 2022","31.1 %","0.25 per 1000 persons","0.71 %","21.4 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Test"
"Egypt","February 17, 2022","7.4 %","0.1 per 1000 persons","0.31 %","0.8 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"El Salvador","February 14, 2022","8.8 %","0.41 per 1000 persons","0.41 %","5.6 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Equatorial Guinea","February 13, 2022","5.4 %","0.37 per 1000 persons","0.24 %","1.7 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Connect"
"Eritrea","December 21, 2020","Insufficient Data","Insufficient Data","0 %","0 per 100k persons","Low income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Estonia","February 14, 2022","17.4 %","4.41 per 1000 persons","2.15 %","627.6 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Eswatini","February 17, 2022","15.4 %","0.8 per 1000 persons","0.93 %","41.5 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Test"
"Ethiopia","February 17, 2022","13.4 %","0.06 per 1000 persons","0.16 %","0.4 per 100k persons","Low income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Connect"
"Faroe Islands","February 17, 2022","0 %","30.32 per 1000 persons","0.01 %","6.1 per 100k persons","High income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Fiji","December 29, 2021","12 %","1.56 per 1000 persons","0.81 %","57.3 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Strengthen"
"Finland","September 15, 2021","2.2 %","3.25 per 1000 persons","4.02 %","397.7 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"France","February 17, 2022","9.7 %","8.12 per 1000 persons","0.9 %","253.6 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"French Polynesia","September 07, 2020","Insufficient Data","Insufficient Data","0.09 %","12.4 per 100k persons","High income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Gabon","February 17, 2022","3.2 %","1.33 per 1000 persons","1.02 %","15.4 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Georgia","June 16, 2021","7.7 %","2.43 per 1000 persons","0.11 %","33.2 per 100k persons","Upper middle income","Insufficient data","Has demonstrated sequencing capacity","1 or more NGS facilities","Insufficient Data"
"Germany","February 08, 2022","15 %","2.06 per 1000 persons","3.39 %","442.5 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Ghana","February 16, 2022","5.7 %","0.13 per 1000 persons","2.21 %","5.6 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Gibraltar","No tests reported","Insufficient Data","Insufficient Data","20.76 %","6509.2 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Greece","February 17, 2022","3.5 %","15.13 per 1000 persons","0.56 %","113.2 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Greenland","August 25, 2021","0 %","3.45 per 1000 persons","0 %","0 per 100k persons","High income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Grenada","January 23, 2022","11.2 %","2.58 per 1000 persons","0.39 %","46 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Strengthen"
"Guam","No tests reported","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","High income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Guatemala","February 16, 2022","19.6 %","0.45 per 1000 persons","0.21 %","6.7 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Test"
"Guinea","February 11, 2022","7.6 %","0.06 per 1000 persons","0.83 %","1.3 per 100k persons","Low income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Strengthen"
"Guinea-Bissau","February 17, 2022","6.8 %","0.1 per 1000 persons","0 %","0 per 100k persons","Low income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Connect"
"Guyana","December 28, 2021","8.6 %","1.45 per 1000 persons","0.1 %","6.6 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Connect"
"Haiti","No tests reported","Insufficient Data","Insufficient Data","0.36 %","0.6 per 100k persons","Low income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Honduras","December 22, 2021","30.9 %","0.23 per 1000 persons","0.04 %","1 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Test"
"Hong Kong SAR, China","February 08, 2022","0 %","10.48 per 1000 persons","15.58 %","19.7 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","1 or more NGS facilities","Insufficient Data"
"Hungary","February 17, 2022","18.6 %","2.02 per 1000 persons","0.01 %","1.2 per 100k persons","High income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Iceland","February 08, 2022","6 %","9.96 per 1000 persons","4.67 %","1187.4 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"India","February 17, 2022","5.8 %","1.08 per 1000 persons","0.32 %","7.3 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Indonesia","February 17, 2022","5.1 %","0.71 per 1000 persons","0.46 %","6.2 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Iran","February 14, 2022","14.7 %","1.18 per 1000 persons","0.01 %","0.3 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Iraq","February 15, 2022","14.2 %","0.78 per 1000 persons","0.02 %","0.6 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Ireland","February 17, 2022","13.4 %","4.37 per 1000 persons","4.66 %","980.9 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Isle of Man","No tests reported","Insufficient Data","Insufficient Data","0 %","0 per 100k persons","High income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Israel","January 23, 2022","4.6 %","11.66 per 1000 persons","1.55 %","463.5 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Italy","February 17, 2022","6.5 %","6.57 per 1000 persons","0.89 %","141.4 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Ivory Coast","February 17, 2022","5 %","0.1 per 1000 persons","0.49 %","0.9 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Connect"
"Jamaica","December 26, 2021","14.3 %","0.55 per 1000 persons","0.49 %","17.6 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Connect"
"Japan","February 15, 2022","13.2 %","0.59 per 1000 persons","4.28 %","130.1 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Jordan","December 27, 2021","7.7 %","2.85 per 1000 persons","0.06 %","6.5 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Kazakhstan","May 28, 2021","4.1 %","2.34 per 1000 persons","0.03 %","2.1 per 100k persons","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","1 or more NGS facilities","Insufficient Data"
"Kenya","February 17, 2022","10.7 %","0.11 per 1000 persons","1.66 %","6.6 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Kiribati","No tests reported","Insufficient Data","Insufficient Data","0 %","Insufficient Data","Lower middle income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Kosovo","February 16, 2022","0 %","Insufficient Data","Insufficient Data","Insufficient Data","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Kuwait","February 14, 2022","7.5 %","3.63 per 1000 persons","0.07 %","7.1 per 100k persons","High income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Kyrgyzstan","June 23, 2021","1.3 %","2.85 per 1000 persons","0.09 %","1.5 per 100k persons","Lower middle income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Laos","July 06, 2021","1.2 %","0.19 per 1000 persons","0 %","0 per 100k persons","Lower middle income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Latvia","January 24, 2022","5.8 %","7.07 per 1000 persons","2.43 %","623.7 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Lebanon","June 23, 2021","10.6 %","2.19 per 1000 persons","0.1 %","10.1 per 100k persons","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","1 or more NGS facilities","Insufficient Data"
"Lesotho","February 16, 2022","6.6 %","0.43 per 1000 persons","0.02 %","0.2 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Connect"
"Liberia","September 26, 2021","5.4 %","0.06 per 1000 persons","1.43 %","1.5 per 100k persons","Low income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Strengthen"
"Libya","February 17, 2022","20.7 %","0.67 per 1000 persons","0.01 %","0.6 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Test"
"Liechtenstein","No tests reported","Insufficient Data","Insufficient Data","6.92 %","1508.3 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Lithuania","January 26, 2022","8.2 %","5.74 per 1000 persons","4.53 %","1094.3 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Luxembourg","February 14, 2022","6 %","8.92 per 1000 persons","16.76 %","3258 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Macao SAR, China","No tests reported","Insufficient Data","Insufficient Data","0 %","0 per 100k persons","High income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Madagascar","February 12, 2022","15.8 %","0.03 per 1000 persons","0.74 %","1.1 per 100k persons","Low income","Has not demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Test"
"Malawi","February 17, 2022","15.1 %","0.05 per 1000 persons","1.08 %","3 per 100k persons","Low income","Has not demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Test"
"Malaysia","June 16, 2021","5.4 %","1.92 per 1000 persons","0.29 %","25 per 100k persons","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","1 or more NGS facilities","Insufficient Data"
"Maldives","November 09, 2021","5.9 %","8.33 per 1000 persons","0.78 %","207.5 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Strengthen"
"Mali","February 17, 2022","5.1 %","0.06 per 1000 persons","0.18 %","0.2 per 100k persons","Low income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Malta","September 06, 2021","3 %","6.19 per 1000 persons","1.75 %","170.1 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Strengthen"
"Marshall Islands","No tests reported","Insufficient Data","Insufficient Data","0 %","0 per 100k persons","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Mauritania","February 17, 2022","6.3 %","0.39 per 1000 persons","0 %","0 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Connect"
"Mauritius","September 01, 2021","43.7 %","0.09 per 1000 persons","1.14 %","62.7 per 100k persons","High income","Has not demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Test"
"Mexico","February 17, 2022","34.5 %","0.2 per 1000 persons","1.37 %","35.4 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Test"
"Micronesia","No tests reported","Insufficient Data","Insufficient Data","Insufficient Data","0 per 100k persons","Lower middle income","Insufficient data",NaN,"No NGS facilities","Insufficient Data"
"Moldova","June 13, 2021","16.8 %","1.06 per 1000 persons","0.06 %","4.7 per 100k persons","Lower middle income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Monaco","No tests reported","Insufficient Data","Insufficient Data","1.14 %","210 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Mongolia","No tests reported","Insufficient Data","Insufficient Data","0.05 %","14.6 per 100k persons","Lower middle income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Montenegro","June 21, 2021","21 %","1.87 per 1000 persons","0.32 %","81.4 per 100k persons","Upper middle income","Insufficient data","Has demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Morocco","February 16, 2022","11.7 %","0.43 per 1000 persons","0.05 %","0.9 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Mozambique","February 16, 2022","20.1 %","0.08 per 1000 persons","0.39 %","2.1 per 100k persons","Low income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Test"
"Myanmar","February 16, 2022","9.6 %","0.21 per 1000 persons","0.01 %","0.1 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
"Namibia","February 16, 2022","18.4 %","0.71 per 1000 persons","0.25 %","11.6 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","No NGS facilities","Test"
"Nauru","No tests reported","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","High income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Nepal","February 17, 2022","21.7 %","0.3 per 1000 persons","0.17 %","4.1 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Test"
"Netherlands","January 25, 2022","15 %","3.44 per 1000 persons","1.72 %","493.2 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"New Caledonia","September 07, 2021","0 %","0.36 per 1000 persons","0 %","0 per 100k persons","High income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"New Zealand","February 17, 2022","0.4 %","2.69 per 1000 persons","24.59 %","118 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"Nicaragua","No tests reported","Insufficient Data","Insufficient Data","3.09 %","5.3 per 100k persons","Lower middle income","Insufficient data","Has demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"Niger","February 17, 2022","2.8 %","0.02 per 1000 persons","1.72 %","0.3 per 100k persons","Low income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","No NGS facilities","Strengthen"
"Nigeria","February 17, 2022","3.8 %","0.04 per 1000 persons","3.43 %","1.7 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","1 or more NGS facilities","Strengthen"
"North Korea","No tests reported","Insufficient Data","Insufficient Data","Insufficient Data","Insufficient Data","Low income","Insufficient data","Has not demonstrated sequencing capacity","No NGS facilities","Insufficient Data"
"North Macedonia","January 10, 2022","12 %","1.67 per 1000 persons","0.2 %","18.8 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","1 or more NGS facilities","Leverage"
