"Country","Region","WHO testing Capacity","Max 30-day average of new tests per capita","Sequencing capacity","Cumulative GISAID sequences","New cases per capita in the last 7 days per 100k","Archetype"
"Aruba","Americas","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",2676,96.47,"0 - High Income*"
"Arunachal Pradesh","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Arunachal Pradesh Disputed Boundary","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Arunachal Pradesh Disputed Boundary","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Australia","Western Pacific","1 - Reliable",863.04,"2 - 4+ NGS facilities or equivalent",34835,53.37,"0 - High Income*"
"Australian Indian Ocean Territories","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Australian Indian Ocean Territories","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Austria","Europe","1 - Reliable",5074.8,"2 - 4+ NGS facilities or equivalent",61004,143.88,"0 - High Income*"
"Azerbaijan","Europe","0 - Unreliable",161.18,"1 - 1-3 NGS facilities or equivalent",14,70.21,"3 - Leverage"
"Bahrain","Eastern Mediterranean","1 - Reliable",1044.51,"2 - 4+ NGS facilities or equivalent",968,27.5,"0 - High Income*"
"Bangladesh","South-East Asia","1 - Reliable",25.41,"2 - 4+ NGS facilities or equivalent",2963,2.23,"4 - Strengthen"
"Barbados","Americas","0 - Unreliable",738.18,"0 - 0 NGS facilities or equivalent",78,678.9,"0 - High Income*"
"Belarus","Europe","1 - Reliable",336.13,"1 - 1-3 NGS facilities or equivalent",91,148.12,"3 - Leverage"
"Belgium","Europe","1 - Reliable",1311.73,"2 - 4+ NGS facilities or equivalent",52032,110.9,"0 - High Income*"
"Belize","Americas","0 - Unreliable",346.45,"0 - 0 NGS facilities or equivalent",178,398.11,"2 - Connect"
"Benin","Africa","0 - Unreliable",28.81,"0 - 0 NGS facilities or equivalent",282,1.86,"1 - Test"
"Bermuda","Americas","1 - Reliable",4409.62,"0 - 0 NGS facilities or equivalent",40,183.06,"0 - High Income*"
"Bhutan","South-East Asia","0 - Unreliable",750.57,"0 - 0 NGS facilities or equivalent",0,0.39,"2 - Connect"
"Bolivia","Americas","1 - Reliable",103.68,"0 - 0 NGS facilities or equivalent",152,21.88,"2 - Connect"
"Bosnia and Herzegovina","Europe","1 - Reliable",102.26,"1 - 1-3 NGS facilities or equivalent",273,122.26,"3 - Leverage"
"Botswana","Africa","1 - Reliable",260.37,"1 - 1-3 NGS facilities or equivalent",1262,44.82,"4 - Strengthen"
"Brazil","Americas","1 - Reliable",160.1,"2 - 4+ NGS facilities or equivalent",48645,42.82,"4 - Strengthen"
"British Indian Ocean Territory","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"British Virgin Islands","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",33,0,"0 - High Income*"
"Brunei","Western Pacific","1 - Reliable",1098.2,"1 - 1-3 NGS facilities or equivalent",38,346.3,"0 - High Income*"
"Bulgaria","Europe","1 - Reliable",302.99,"2 - 4+ NGS facilities or equivalent",5426,243.42,"4 - Strengthen"
"Burkina Faso","Africa","1 - Reliable",5.49,"1 - 1-3 NGS facilities or equivalent",424,0.88,"3 - Leverage"
"Burundi","Africa","1 - Reliable",58.57,"0 - 0 NGS facilities or equivalent",63,4.55,"2 - Connect"
"Cambodia","Western Pacific","1 - Reliable",3381.69,"1 - 1-3 NGS facilities or equivalent",1165,10.07,"4 - Strengthen"
"Cameroon","Africa","1 - Reliable",41.15,"1 - 1-3 NGS facilities or equivalent",220,11.31,"3 - Leverage"
"Canada","Americas","1 - Reliable",696.06,"2 - 4+ NGS facilities or equivalent",161389,64,"0 - High Income*"
"Cape Verde","Africa","0 - Unreliable",255.71,"0 - 0 NGS facilities or equivalent",40,32.55,"2 - Connect"
"Cayman Islands","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",84,115.64,"0 - High Income*"
"Central African Republic","Africa","1 - Reliable",10.12,"0 - 0 NGS facilities or equivalent",118,1.41,"2 - Connect"
"Chad","Africa","1 - Reliable",3.4,"0 - 0 NGS facilities or equivalent",9,0.07,"2 - Connect"
"Chile","Americas","1 - Reliable",397.29,"2 - 4+ NGS facilities or equivalent",11079,32.86,"0 - High Income*"
"China","Western Pacific","1 - Reliable",49.85,"2 - 4+ NGS facilities or equivalent",1337,0.02,"0 - High Income*"
"Clipperton Island","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Colombia","Americas","1 - Reliable",279.34,"2 - 4+ NGS facilities or equivalent",6366,19.55,"4 - Strengthen"
"Comoros","Africa","0 - Unreliable",8.86,"0 - 0 NGS facilities or equivalent",6,1.72,"1 - Test"
"Cook Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Costa Rica","Americas","1 - Reliable",194.2,"1 - 1-3 NGS facilities or equivalent",1280,166.7,"4 - Strengthen"
"Croatia","Europe","1 - Reliable",237.5,"1 - 1-3 NGS facilities or equivalent",8404,227.76,"0 - High Income*"
"Cuba","Americas","0 - Unreliable",478.69,"0 - 0 NGS facilities or equivalent",1049,196.1,"3 - Leverage"
"Curaçao","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",821,NaN,"0 - High Income*"
"Cyprus","Europe","1 - Reliable",5361.32,"1 - 1-3 NGS facilities or equivalent",168,110.47,"0 - High Income*"
"Czech Republic","Europe","1 - Reliable",2964.16,"1 - 1-3 NGS facilities or equivalent",10090,68.79,"0 - High Income*"
"Demchok-Jammu & Kashmir Disputed Boundary","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Demchok-Jammu & Kashmir Disputed Boundary","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Democratic Republic of the Congo","Africa","1 - Reliable",2.5,"1 - 1-3 NGS facilities or equivalent",870,0.21,"4 - Strengthen"
"Denmark","Europe","1 - Reliable",9787.53,"2 - 4+ NGS facilities or equivalent",175583,75.2,"0 - High Income*"
"Djibouti","Eastern Mediterranean","1 - Reliable",85.26,"0 - 0 NGS facilities or equivalent",306,23.38,"2 - Connect"
"Dominica","Americas","1 - Reliable",1639.12,"0 - 0 NGS facilities or equivalent",9,454.22,"2 - Connect"
"Dominican Republic","Americas","0 - Unreliable",59.85,"1 - 1-3 NGS facilities or equivalent",327,41.76,"3 - Leverage"
"East Timor","South-East Asia","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",356,4.78,"2 - Connect"
"Ecuador","Americas","1 - Reliable",29.29,"1 - 1-3 NGS facilities or equivalent",2365,4.27,"4 - Strengthen"
"Egypt","Eastern Mediterranean","1 - Reliable",13.94,"1 - 1-3 NGS facilities or equivalent",1046,5.71,"4 - Strengthen"
"El Salvador","Americas","0 - Unreliable",337.26,"1 - 1-3 NGS facilities or equivalent",138,5.07,"3 - Leverage"
"Equatorial Guinea","Africa","0 - Unreliable",61.54,"0 - 0 NGS facilities or equivalent",207,21.95,"2 - Connect"
"Eritrea","Africa","0 - Unreliable",7.13,"0 - 0 NGS facilities or equivalent",0,0.99,"1 - Test"
"Estonia","Europe","1 - Reliable",606.94,"1 - 1-3 NGS facilities or equivalent",6237,534.47,"0 - High Income*"
"Eswatini","Africa","1 - Reliable",148.87,"0 - 0 NGS facilities or equivalent",123,11.81,"2 - Connect"
"Ethiopia","Africa","1 - Reliable",16.85,"0 - 0 NGS facilities or equivalent",219,4.73,"2 - Connect"
"Falkland Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,57.42,"1 - Test"
"Faroe Islands","Europe","1 - Reliable",3988.98,"0 - 0 NGS facilities or equivalent",42,157.58,"0 - High Income*"
"Fiji","Western Pacific","1 - Reliable",349,"0 - 0 NGS facilities or equivalent",531,35.7,"3 - Leverage"
"Finland","Europe","1 - Reliable",419.13,"2 - 4+ NGS facilities or equivalent",18886,60.61,"0 - High Income*"
"France","Europe","1 - Reliable",1057.42,"2 - 4+ NGS facilities or equivalent",112468,43.96,"0 - High Income*"
"French Polynesia","Western Pacific","0 - Unreliable",33.29,"0 - 0 NGS facilities or equivalent",11,28.48,"0 - High Income*"
"French Southern and Antarctic Lands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Gabon","Africa","1 - Reliable",196.15,"1 - 1-3 NGS facilities or equivalent",314,44.57,"3 - Leverage"
"Georgia","Europe","1 - Reliable",298.64,"1 - 1-3 NGS facilities or equivalent",264,585.31,"3 - Leverage"
"Germany","Europe","1 - Reliable",255.85,"2 - 4+ NGS facilities or equivalent",223366,71.26,"0 - High Income*"
"Ghana","Africa","1 - Reliable",18.98,"1 - 1-3 NGS facilities or equivalent",1436,0.67,"4 - Strengthen"
"Gibraltar","Europe","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",1842,326.5,"0 - High Income*"
"Greece","Europe","1 - Reliable",1829.69,"2 - 4+ NGS facilities or equivalent",9495,148.29,"0 - High Income*"
"Greenland","Americas","1 - Reliable",1516.49,"0 - 0 NGS facilities or equivalent",0,66.93,"0 - High Income*"
"Grenada","Americas","0 - Unreliable",88.97,"0 - 0 NGS facilities or equivalent",12,165.3,"2 - Connect"
"Guam","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",196,253,"0 - High Income*"
"Guantanamo Bay Naval Base","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Guatemala","Americas","0 - Unreliable",69.74,"1 - 1-3 NGS facilities or equivalent",772,61.95,"4 - Strengthen"
"Guernsey","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,178.38,"1 - Test"
"Guinea","Africa","0 - Unreliable",32.21,"0 - 0 NGS facilities or equivalent",262,0.63,"1 - Test"
"Guinea-Bissau","Africa","0 - Unreliable",18.02,"0 - 0 NGS facilities or equivalent",48,0.56,"1 - Test"
"Guyana","Americas","1 - Reliable",145.73,"0 - 0 NGS facilities or equivalent",14,142.65,"2 - Connect"
"Haiti","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",95,1.8,"1 - Test"
"Heard Island and McDonald Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Honduras","Americas","0 - Unreliable",33.38,"0 - 0 NGS facilities or equivalent",116,23.36,"1 - Test"
"Hong Kong SAR, China","Western Pacific","1 - Reliable",1183.81,"2 - 4+ NGS facilities or equivalent",5015,NaN,"0 - High Income*"
"Hungary","Europe","1 - Reliable",362.19,"2 - 4+ NGS facilities or equivalent",435,53.53,"0 - High Income*"
"Iceland","Europe","1 - Reliable",1021.41,"1 - 1-3 NGS facilities or equivalent",9678,82.39,"0 - High Income*"
"India","South-East Asia","1 - Reliable",161.31,"2 - 4+ NGS facilities or equivalent",69859,9.16,"4 - Strengthen"
"India-Pakistan Line of Control","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Indonesia","South-East Asia","1 - Reliable",98.2,"2 - 4+ NGS facilities or equivalent",7853,2.78,"4 - Strengthen"
"Iran","Eastern Mediterranean","1 - Reliable",158.11,"2 - 4+ NGS facilities or equivalent",606,94.8,"4 - Strengthen"
"Iraq","Eastern Mediterranean","1 - Reliable",808.92,"1 - 1-3 NGS facilities or equivalent",275,28.57,"3 - Leverage"
"Ireland","Europe","1 - Reliable",461.57,"2 - 4+ NGS facilities or equivalent",36180,229.55,"0 - High Income*"
"Isle of Man","Europe","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,483.35,"0 - High Income*"
"Israel","Europe","1 - Reliable",915.81,"2 - 4+ NGS facilities or equivalent",16080,144.54,"0 - High Income*"
"Italy","Europe","1 - Reliable",525.75,"2 - 4+ NGS facilities or equivalent",67539,29.75,"0 - High Income*"
"Ivory Coast","Africa","1 - Reliable",15.16,"0 - 0 NGS facilities or equivalent",236,1.16,"2 - Connect"
"Jamaica","Americas","1 - Reliable",82.9,"0 - 0 NGS facilities or equivalent",177,42.08,"2 - Connect"
"Japan","Western Pacific","1 - Reliable",94.63,"2 - 4+ NGS facilities or equivalent",130768,3.87,"0 - High Income*"
"Jersey","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,168.84,"1 - Test"
"Jordan","Eastern Mediterranean","1 - Reliable",420.65,"2 - 4+ NGS facilities or equivalent",833,72.2,"4 - Strengthen"
"Kazakhstan","Europe","1 - Reliable",277.26,"1 - 1-3 NGS facilities or equivalent",465,71.48,"3 - Leverage"
"Kenya","Africa","1 - Reliable",14.77,"1 - 1-3 NGS facilities or equivalent",3569,1.81,"4 - Strengthen"
"Kiribati","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"2 - Connect"
"Kosovo","Europe","0 - Unreliable",508.64,"0 - 0 NGS facilities or equivalent",699,10.3,"3 - Leverage"
"Kuwait","Eastern Mediterranean","1 - Reliable",1014.75,"1 - 1-3 NGS facilities or equivalent",298,6.11,"0 - High Income*"
"Kyrgyzstan","Europe","0 - Unreliable",343.93,"0 - 0 NGS facilities or equivalent",0,8.38,"2 - Connect"
"Laos","Western Pacific","1 - Reliable",37.1,"0 - 0 NGS facilities or equivalent",23,48.13,"2 - Connect"
"Latvia","Europe","1 - Reliable",907.58,"1 - 1-3 NGS facilities or equivalent",5624,615.67,"0 - High Income*"
"Lebanon","Eastern Mediterranean","1 - Reliable",283.49,"2 - 4+ NGS facilities or equivalent",1020,57.43,"4 - Strengthen"
"Lesotho","Africa","1 - Reliable",100.82,"0 - 0 NGS facilities or equivalent",18,2.71,"2 - Connect"
"Liberia","Africa","1 - Reliable",21.09,"0 - 0 NGS facilities or equivalent",77,0.08,"2 - Connect"
"Libya","Eastern Mediterranean","1 - Reliable",118.1,"0 - 0 NGS facilities or equivalent",22,60.48,"2 - Connect"
"Liechtenstein","Europe","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",130,36.13,"0 - High Income*"
"Lithuania","Europe","1 - Reliable",742.86,"1 - 1-3 NGS facilities or equivalent",20589,560.76,"0 - High Income*"
"Luxembourg","Europe","1 - Reliable",1694.61,"2 - 4+ NGS facilities or equivalent",12752,108.93,"0 - High Income*"
"Macao SAR, China","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"0 - High Income*"
"Madagascar","Africa","1 - Reliable",4.55,"1 - 1-3 NGS facilities or equivalent",722,0.02,"4 - Strengthen"
"Malawi","Africa","1 - Reliable",13.13,"0 - 0 NGS facilities or equivalent",586,0.31,"3 - Leverage"
"Malaysia","Western Pacific","1 - Reliable",284.15,"1 - 1-3 NGS facilities or equivalent",3807,178.25,"4 - Strengthen"
"Maldives","South-East Asia","0 - Unreliable",2230.04,"0 - 0 NGS facilities or equivalent",362,90.65,"2 - Connect"
"Mali","Africa","1 - Reliable",7.03,"1 - 1-3 NGS facilities or equivalent",71,0.83,"3 - Leverage"
"Malta","Europe","1 - Reliable",866.54,"0 - 0 NGS facilities or equivalent",299,25.07,"0 - High Income*"
"Marshall Islands","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Mauritania","Africa","1 - Reliable",53.81,"0 - 0 NGS facilities or equivalent",0,5.12,"2 - Connect"
"Mauritius","Africa","1 - Reliable",391.38,"0 - 0 NGS facilities or equivalent",271,22.25,"0 - High Income*"
"Mexico","Americas","1 - Reliable",33.81,"2 - 4+ NGS facilities or equivalent",32055,31.42,"4 - Strengthen"
"Micronesia","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Moldova","Europe","0 - Unreliable",479.35,"0 - 0 NGS facilities or equivalent",67,231.66,"2 - Connect"
"Monaco","Europe","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",78,35.67,"0 - High Income*"
"Mongolia","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",28,276.49,"2 - Connect"
"Montenegro","Europe","0 - Unreliable",288.77,"0 - 0 NGS facilities or equivalent",260,405.69,"2 - Connect"
"Montserrat","",NaN,NaN,"0 - 0 NGS facilities or equivalent",5,20,"1 - Test"
"Morocco","Eastern Mediterranean","1 - Reliable",101.76,"2 - 4+ NGS facilities or equivalent",484,9.59,"3 - Leverage"
"Mozambique","Africa","1 - Reliable",15.68,"0 - 0 NGS facilities or equivalent",580,0.55,"3 - Leverage"
"Myanmar","South-East Asia","1 - Reliable",45.82,"1 - 1-3 NGS facilities or equivalent",75,18.19,"3 - Leverage"
"Namibia","Africa","0 - Unreliable",141.67,"0 - 0 NGS facilities or equivalent",282,6.81,"2 - Connect"
"Nauru","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"0 - High Income*"
"Nepal","South-East Asia","0 - Unreliable",65.19,"1 - 1-3 NGS facilities or equivalent",287,13.71,"3 - Leverage"
"Netherlands","Europe","1 - Reliable",474.07,"2 - 4+ NGS facilities or equivalent",66337,112.85,"0 - High Income*"
"New Caledonia","Europe","0 - Unreliable",67.7,"0 - 0 NGS facilities or equivalent",0,353.42,"0 - High Income*"
"New Zealand","Western Pacific","1 - Reliable",426.86,"2 - 4+ NGS facilities or equivalent",2806,7.26,"0 - High Income*"
"Nicaragua","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,6.49,"1 - Test"
"Niger","Africa","1 - Reliable",2.52,"0 - 0 NGS facilities or equivalent",24,0.31,"2 - Connect"
"Nigeria","Africa","1 - Reliable",52.77,"2 - 4+ NGS facilities or equivalent",2769,0.89,"4 - Strengthen"
"Niue","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Norfolk Island","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"North Korea","South-East Asia","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"North Korea-South Korea Disputed Boundary","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"North Macedonia","Europe","1 - Reliable",280.8,"1 - 1-3 NGS facilities or equivalent",699,100.03,"4 - Strengthen"
"Northern Mariana Islands","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",152,15.64,"0 - High Income*"
"Norway","Europe","1 - Reliable",481.11,"2 - 4+ NGS facilities or equivalent",28659,50.38,"0 - High Income*"
"Oman","Eastern Mediterranean","1 - Reliable",77.59,"2 - 4+ NGS facilities or equivalent",877,2.31,"0 - High Income*"
"Pakistan","Eastern Mediterranean","1 - Reliable",26.12,"2 - 4+ NGS facilities or equivalent",1265,3.08,"4 - Strengthen"
"Palau","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,16.58,"0 - High Income*"
"Palestine","Eastern Mediterranean","0 - Unreliable",242.23,"0 - 0 NGS facilities or equivalent",132,105.03,"2 - Connect"
"Panama","Americas","1 - Reliable",302.19,"2 - 4+ NGS facilities or equivalent",1262,30.73,"0 - High Income*"
"Papua New Guinea","Western Pacific","0 - Unreliable",11.79,"0 - 0 NGS facilities or equivalent",1001,23.97,"1 - Test"
"Paraguay","Americas","1 - Reliable",111.74,"0 - 0 NGS facilities or equivalent",398,2.24,"2 - Connect"
"Peru","Americas","1 - Reliable",187.53,"2 - 4+ NGS facilities or equivalent",7619,15.79,"4 - Strengthen"
"Philippines","Western Pacific","1 - Reliable",72.12,"1 - 1-3 NGS facilities or equivalent",7134,61.63,"4 - Strengthen"
"Pitcairn Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Poland","Europe","0 - Unreliable",219.79,"2 - 4+ NGS facilities or equivalent",22610,37.13,"0 - High Income*"
"Portugal","Europe","1 - Reliable",633.68,"2 - 4+ NGS facilities or equivalent",18499,45.15,"0 - High Income*"
"Puerto Rico","Americas","1 - Reliable",NaN,"1 - 1-3 NGS facilities or equivalent",3178,32.4,"0 - High Income*"
"Qatar","Eastern Mediterranean","1 - Reliable",226.34,"2 - 4+ NGS facilities or equivalent",2966,17.88,"0 - High Income*"
"Republic of the Congo","Africa","1 - Reliable",17.51,"0 - 0 NGS facilities or equivalent",269,7.65,"2 - Connect"
"Romania","Europe","1 - Reliable",299.77,"1 - 1-3 NGS facilities or equivalent",3803,498.12,"0 - High Income*"
"Russia","Europe","1 - Reliable",366.36,"2 - 4+ NGS facilities or equivalent",8384,139.01,"0 - High Income*"
"Rwanda","Africa","1 - Reliable",118.94,"0 - 0 NGS facilities or equivalent",650,5.52,"3 - Leverage"
"São Tomé and Príncipe","Africa","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,29.66,"1 - Test"
"Saint-Barthélemy","",NaN,NaN,"0 - 0 NGS facilities or equivalent",9,NaN,"1 - Test"
"Saint Helena","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Saint Kitts and Nevis","Americas","0 - Unreliable",482.26,"0 - 0 NGS facilities or equivalent",13,738.83,"0 - High Income*"
"Saint Lucia","Americas","0 - Unreliable",143.13,"0 - 0 NGS facilities or equivalent",43,178.08,"2 - Connect"
"Saint Martin","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",10,152.62,"0 - High Income*"
"Saint Pierre and Miquelon","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Saint Vincent and the Grenadines","Americas","0 - Unreliable",224.98,"0 - 0 NGS facilities or equivalent",15,89.24,"2 - Connect"
"Samoa","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"San Marino","Europe","1 - Reliable",1637.06,"0 - 0 NGS facilities or equivalent",0,17.68,"0 - High Income*"
"Saudi Arabia","Eastern Mediterranean","1 - Reliable",291.72,"2 - 4+ NGS facilities or equivalent",1096,1.03,"0 - High Income*"
"Senegal","Africa","1 - Reliable",19.31,"1 - 1-3 NGS facilities or equivalent",621,0.19,"4 - Strengthen"
"Serbia","Europe","1 - Reliable",212.91,"1 - 1-3 NGS facilities or equivalent",330,623.21,"3 - Leverage"
"Seychelles","Africa","1 - Reliable",338.74,"0 - 0 NGS facilities or equivalent",259,151.5,"0 - High Income*"
"Sierra Leone","Africa","0 - Unreliable",10.27,"1 - 1-3 NGS facilities or equivalent",51,0,"1 - Test"
"Singapore","Western Pacific","1 - Reliable",1278.43,"2 - 4+ NGS facilities or equivalent",8361,376.29,"0 - High Income*"
"Sint Maarten (Dutch part)","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",1637,151.58,"0 - High Income*"
"Slovakia","Europe","1 - Reliable",17251.35,"1 - 1-3 NGS facilities or equivalent",8212,198.48,"0 - High Income*"
"Slovenia","Europe","1 - Reliable",3345.26,"2 - 4+ NGS facilities or equivalent",29077,272.58,"0 - High Income*"
"Solomon Islands","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",6,0,"2 - Connect"
"Somalia","Eastern Mediterranean","0 - Unreliable",7.47,"0 - 0 NGS facilities or equivalent",37,2.32,"1 - Test"
"South Africa","Africa","1 - Reliable",101.95,"2 - 4+ NGS facilities or equivalent",21057,8.62,"4 - Strengthen"
"South Georgia and the South Sandwich Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"South Korea","Western Pacific","1 - Reliable",95.55,"2 - 4+ NGS facilities or equivalent",16018,23.17,"0 - High Income*"
"South Sudan","Africa","1 - Reliable",14.4,"0 - 0 NGS facilities or equivalent",89,0.64,"2 - Connect"
"Spain","Europe","1 - Reliable",555.57,"2 - 4+ NGS facilities or equivalent",70396,18.02,"0 - High Income*"
"Sri Lanka","South-East Asia","1 - Reliable",71.64,"1 - 1-3 NGS facilities or equivalent",1525,25.83,"4 - Strengthen"
"Sudan","Eastern Mediterranean","0 - Unreliable",5.39,"0 - 0 NGS facilities or equivalent",116,1.57,"1 - Test"
"Suriname","Americas","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",750,373.66,"3 - Leverage"
"Sweden","Europe","1 - Reliable",476.54,"2 - 4+ NGS facilities or equivalent",109680,41.06,"0 - High Income*"
"Switzerland","Europe","1 - Reliable",424.07,"2 - 4+ NGS facilities or equivalent",73146,55.07,"0 - High Income*"
"Syria","Eastern Mediterranean","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,10.83,"1 - Test"
"Taiwan","Western Pacific","1 - Reliable",215.97,"2 - 4+ NGS facilities or equivalent",256,NaN,"0 - High Income*"
"Tajikistan","Europe","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Tanzania","Africa","1 - Reliable",3.74,"0 - 0 NGS facilities or equivalent",0,0.13,"2 - Connect"
"Thailand","South-East Asia","1 - Reliable",69.69,"1 - 1-3 NGS facilities or equivalent",4795,105.17,"4 - Strengthen"
"The Bahamas","Americas","1 - Reliable",126.96,"0 - 0 NGS facilities or equivalent",133,31.02,"0 - High Income*"
"The Gambia","Africa","1 - Reliable",28.47,"1 - 1-3 NGS facilities or equivalent",687,0.17,"4 - Strengthen"
"Togo","Africa","0 - Unreliable",23.7,"0 - 0 NGS facilities or equivalent",347,2.21,"1 - Test"
"Tonga","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"2 - Connect"
"Trinidad and Tobago","Americas","1 - Reliable",140.75,"0 - 0 NGS facilities or equivalent",617,99.61,"0 - High Income*"
