"country","code","population_size","world_bank_economies","date_tests_last_reported","days_since_tests_reported","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","cum_seq","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","dx_testing_binary","sars_cov_2_binary","ngs_capacity","facility_access","ngs_facility","archetype_orig","dx_archetype","sx_archetype","dx_testing_rec","sx_sequencing_rec","prev_dx","prev_sequ","seq_but_no_test_flag","TPR_pct","daily_tests_per_1000","pct_seq","seq_per_100k"
"Australia","AUS",25500000,"High income","June 30, 2022",1,0.1528,5.73,122793,1.24,393.618,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","15.3 %","5.73 per 1,000 persons","1.24 %","393.6 per 100k persons"
"Austria","AUT",9006000,"High income","June 29, 2022",2,0.0279,41.37,121250,2.32,977.267,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","2.8 %","41.37 per 1,000 persons","2.32 %","977.3 per 100k persons"
"Azerbaijan","AZE",10139000,"Upper middle income","June 27, 2022",4,0.142,0.87,151,0,0.137,"Meets testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Sustain","Strengthen/Leverage","Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Sustain","Strengthen/Leverage","no","14.2 %","0.87 per 1,000 persons","0 %","0.1 per 100k persons"
"Bahrain","BHR",1702000,"High income","July 01, 2022",0,0.0714,8.05,2269,0.5,103.358,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","7.1 %","8.05 per 1,000 persons","0.5 %","103.4 per 100k persons"
"Bangladesh","BGD",164689000,"Lower middle income","June 29, 2022",2,0.1375,0.13,6803,0.39,2.468,"Does not meet testing target","Does not meet sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","13.8 %","0.13 per 1,000 persons","0.39 %","2.5 per 100k persons"
"Barbados","BRB",287000,"High income","July 01, 2022",0,0.1542,4.95,140,0.13,35.105,"Meets testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Sustain","Connect/Build","Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","15.4 %","4.95 per 1,000 persons","0.13 %","35.1 per 100k persons"
"Belarus","BLR",9449000,"Upper middle income","May 13, 2022",49,0.0878,2.14,520,0.07,4.448,"Meets testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Sustain","Strengthen/Leverage","Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Sustain","Strengthen/Leverage","no","8.8 %","2.14 per 1,000 persons","0.07 %","4.4 per 100k persons"
"Belgium","BEL",11590000,"High income","July 01, 2022",0,0.1628,4.57,131922,3.1,841.671,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","16.3 %","4.57 per 1,000 persons","3.1 %","841.7 per 100k persons"
"Belize","BLZ",398000,"Upper middle income","June 10, 2022",21,0.113,3.05,685,0.99,124.471,"Meets testing target","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","11.3 %","3.05 per 1,000 persons","0.99 %","124.5 per 100k persons"
"Benin","BEN",12123000,"Lower middle income","January 25, 2022",157,NaN,NaN,861,1.65,2.522,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","1.65 %","2.5 per 100k persons"
"Bermuda","BMU",62000,"High income","June 30, 2022",1,0,27.93,134,0.69,151.388,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","No cases reported","27.93 per 1,000 persons","0.69 %","151.4 per 100k persons"
"Bhutan","BTN",772000,"Lower middle income","March 01, 2022",122,0.0128,4.52,0,0,0,"Meets testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Sustain","Connect/Build","Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","1.3 %","4.52 per 1,000 persons","0 %","0 per 100k persons"
"Bolivia","BOL",11673000,"Lower middle income","January 02, 2022",180,0.141,0.57,274,0.02,0.676,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","14.1 %","0.57 per 1,000 persons","0.02 %","0.7 per 100k persons"
"Bosnia and Herzegovina","BIH",3281000,"Upper middle income","July 01, 2022",0,0.307,0.47,1433,0.72,38.579,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","30.7 %","0.47 per 1,000 persons","0.72 %","38.6 per 100k persons"
"Botswana","BWA",2352000,"Upper middle income","May 18, 2022",44,0.2405,1.3,3848,1.25,130.859,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","24 %","1.3 per 1,000 persons","1.25 %","130.9 per 100k persons"
"Brazil","BRA",212559000,"Upper middle income","March 11, 2022",112,0.4111,0.48,155590,0.79,50.172,"Does not meet testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","41.1 %","0.48 per 1,000 persons","0.79 %","50.2 per 100k persons"
"British Indian Ocean Territory","IOT",NaN,"No income data","No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient testing data","Insufficient data",NaN,"Insufficient data",NaN,"Insufficient data","Insufficient data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics","Insufficient data","Insufficient data","no","Insufficient data","Insufficient data","Insufficient data","Insufficient data"
"British Virgin Islands","VGB",NaN,"High income","No tests reported",NaN,NaN,NaN,195,2.55,555.501,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","2.55 %","555.5 per 100k persons"
"Brunei","BRN",437000,"High income","December 14, 2021",199,0.0286,7.17,2404,1.46,542.203,"Insufficient testing data","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","2.9 %","7.17 per 1,000 persons","1.46 %","542.2 per 100k persons"
"Bulgaria","BGR",6948000,"Upper middle income","July 01, 2022",0,0.108,2.74,18271,1.98,214.901,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","10.8 %","2.74 per 1,000 persons","1.98 %","214.9 per 100k persons"
"Burkina Faso","BFA",20903000,"Low income","March 09, 2022",114,0.0591,0.02,648,0.52,0.181,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","5.9 %","0.02 per 1,000 persons","0.52 %","0.2 per 100k persons"
"Burundi","BDI",11891000,"Low income","June 30, 2022",1,0.0288,0.3,157,0.4,1.208,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","2.9 %","0.3 per 1,000 persons","0.4 %","1.2 per 100k persons"
"Cambodia","KHM",16719000,"Lower middle income","June 29, 2022",2,0.004,3.63,3114,3.07,15.366,"Meets testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","no","0.4 %","3.63 per 1,000 persons","3.07 %","15.4 per 100k persons"
"Cameroon","CMR",26546000,"Lower middle income","June 23, 2022",8,0.0396,0.1,1170,2.15,3.093,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","4 %","0.1 per 1,000 persons","2.15 %","3.1 per 100k persons"
"Canada","CAN",37742000,"High income","June 27, 2022",4,0.0981,1.89,342230,9.13,609.994,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","9.8 %","1.89 per 1,000 persons","9.13 %","610 per 100k persons"
"Cape Verde","CPV",556000,"Lower middle income","June 30, 2022",1,0.1074,1.26,480,1.36,67.45,"Meets testing target","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","10.7 %","1.26 per 1,000 persons","1.36 %","67.4 per 100k persons"
"Cayman Islands","CYM",NaN,"High income","No tests reported",NaN,NaN,NaN,101,0.15,58.648,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0.15 %","58.6 per 100k persons"
"Central African Republic","CAF",4830000,"Low income","June 26, 2022",5,0.1961,0.02,110,0.63,0.955,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","19.6 %","0.02 per 1,000 persons","0.63 %","1 per 100k persons"
"Chad","TCD",16426000,"Low income","June 21, 2022",10,0.0286,0.01,49,1.98,0.29,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","2.9 %","0.01 per 1,000 persons","1.98 %","0.3 per 100k persons"
"Chile","CHL",19116000,"High income","June 30, 2022",1,0.1032,3.37,27734,0.9,113.656,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","10.3 %","3.37 per 1,000 persons","0.9 %","113.7 per 100k persons"
"China","CHN",1439324000,"Upper middle income","June 24, 2020",737,NaN,NaN,2281,0.11,0.062,"Insufficient testing data","Does not meet sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","Insufficient data","Insufficient data","0.11 %","0.1 per 100k persons"
"Colombia","COL",50883000,"Upper middle income","June 23, 2022",8,0.1248,0.86,18930,0.8,29.642,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","12.5 %","0.86 per 1,000 persons","0.8 %","29.6 per 100k persons"
"Comoros","COM",870000,"Lower middle income","May 18, 2022",44,0.0739,0.2,34,0.67,3.152,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","7.4 %","0.2 per 1,000 persons","0.67 %","3.2 per 100k persons"
"Cook Islands","COK",NaN,"No income data","No tests reported",NaN,NaN,NaN,0,0,0,"Insufficient testing data","Does not meet sequencing target",NaN,"Insufficient data",NaN,"Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0 %","0 per 100k persons"
"Costa Rica","CRI",5094000,"Upper middle income","June 01, 2022",30,0.1673,1.86,4886,0.74,77.524,"Meets testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","16.7 %","1.86 per 1,000 persons","0.74 %","77.5 per 100k persons"
"Croatia","HRV",4105000,"High income","June 29, 2022",2,0.2814,1.87,32908,3.48,672.006,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","28.1 %","1.87 per 1,000 persons","3.48 %","672 per 100k persons"
"Cuba","CUB",11327000,"Upper middle income","June 29, 2022",2,0.1033,2.16,1521,0.07,5.708,"Meets testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Sustain","Connect/Build","Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","10.3 %","2.16 per 1,000 persons","0.07 %","5.7 per 100k persons"
"Curaçao","CUW",NaN,"High income","No tests reported",NaN,NaN,NaN,1808,4.21,822.836,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","4.21 %","822.8 per 100k persons"
"Cyprus","CYP",1207000,"High income","July 11, 2021",355,0.014,40.04,728,0,0.112,"Insufficient testing data","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","1.4 %","40.04 per 1,000 persons","0 %","0.1 per 100k persons"
"Czech Republic","CZE",10709000,"High income","July 01, 2022",0,0.0856,6.77,43907,1.66,349.945,"Meets testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","8.6 %","6.77 per 1,000 persons","1.66 %","349.9 per 100k persons"
"Democratic Republic of the Congo","COD",89561000,"Low income","June 30, 2022",1,0.0588,0.03,1147,0.76,0.411,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","5.9 %","0.03 per 1,000 persons","0.76 %","0.4 per 100k persons"
"Denmark","DNK",5792000,"High income","June 30, 2022",1,0.0489,28.22,529606,14.24,7049.126,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","4.9 %","28.22 per 1,000 persons","14.24 %","7049.1 per 100k persons"
"Djibouti","DJI",988000,"Lower middle income","May 27, 2022",35,0.0296,0.42,687,9.1,37.118,"Does not meet testing target","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","3 %","0.42 per 1,000 persons","9.1 %","37.1 per 100k persons"
"Dominica","DMA",72000,"Upper middle income","December 28, 2021",185,0.0615,7.99,39,0.2,41.567,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","6.2 %","7.99 per 1,000 persons","0.2 %","41.6 per 100k persons"
"Dominican Republic","DOM",10848000,"Upper middle income","June 25, 2022",6,0.1577,0.45,1162,0.24,6.044,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","15.8 %","0.45 per 1,000 persons","0.24 %","6 per 100k persons"
"East Timor","TLS",NaN,"Lower middle income","No tests reported",NaN,NaN,NaN,356,0.19,1.935,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0.19 %","1.9 per 100k persons"
"Ecuador","ECU",17643000,"Upper middle income","February 01, 2022",150,0.305,0.24,5996,1.08,27.219,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","30.5 %","0.24 per 1,000 persons","1.08 %","27.2 per 100k persons"
"Egypt","EGY",102334000,"Lower middle income","March 31, 2022",92,0.0721,0.11,2349,0.48,1.072,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","7.2 %","0.11 per 1,000 persons","0.48 %","1.1 per 100k persons"
"El Salvador","SLV",6486000,"Lower middle income","June 21, 2022",10,0.0727,0.53,461,0.39,5.385,"Meets testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Sustain","Strengthen/Leverage","Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","7.3 %","0.53 per 1,000 persons","0.39 %","5.4 per 100k persons"
"Equatorial Guinea","GNQ",1403000,"Upper middle income","June 30, 2022",1,0.041,0.35,213,0.3,1.517,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","4.1 %","0.35 per 1,000 persons","0.3 %","1.5 per 100k persons"
"Eritrea","ERI",3546000,"Low income","December 21, 2020",557,NaN,NaN,0,0,0,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0 %","0 per 100k persons"
"Estonia","EST",1327000,"High income","June 28, 2022",3,0.2375,3.9,12522,1.79,605.424,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","23.8 %","3.9 per 1,000 persons","1.79 %","605.4 per 100k persons"
"Eswatini","SWZ",1160000,"Lower middle income","June 30, 2022",1,0.1725,0.74,976,1.5,69.347,"Meets testing target","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","17.2 %","0.74 per 1,000 persons","1.5 %","69.3 per 100k persons"
"Ethiopia","ETH",114964000,"Low income","June 30, 2022",1,0.0967,0.05,616,0.25,0.45,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","9.7 %","0.05 per 1,000 persons","0.25 %","0.4 per 100k persons"
