"name","code","population_size","sequencing_capacity","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","dx_testing_capacity","Date tests last reported","Days since tests were reported","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","sars_cov_2_sequencing","ngs_capacity","facility_access","cases_per_100k_last_7_days","old_archetype","archetype_orig","archetype_orig_w_HICs","archetype_new","Archetype","archetype_full_new","Archetype*","Test positivity rate (%) in past year","Average daily tests in past year","% of cases sequenced in past year","Number of sequences in past year","Cases in the last 7 days"
"Cambodia","KHM",16946446,"1-3 NGS facilities or equivalent",0.0496389459104778,0.39658529750829,"Reliable testing capacity","December 27, 2021",8,1.66,11.772,"Sufficient sequencing capacity",1,"1 or more NGS facilities",0.3,"Strengthen","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","5 %","0.4 per 1000 persons","1.66 %","11.8 per 100k persons","0.3 per 100k persons"
"Cameroon","CMR",27224262,"1-3 NGS facilities or equivalent",0.0535485920061995,0.159549667725912,"Reliable testing capacity","December 29, 2021",6,0.58,1.763,"Sufficient sequencing capacity",1,"1 or more NGS facilities",0,"Leverage","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","5.4 %","0.16 per 1000 persons","0.58 %","1.8 per 100k persons","0 per 100k persons"
"Canada","CAN",38067913,"4+ NGS facilities or equivalent",0.0420860649567626,2.81009652412958,"Reliable testing capacity","January 04, 2022",0,9.78,446.058,"Sufficient sequencing capacity",2,"1 or more NGS facilities",835.1,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","4.2 %","2.81 per 1000 persons","9.78 %","446.1 per 100k persons","835.1 per 100k persons"
"Cape Verde","CPV",561901,"0 NGS facilities or equivalent",0.105920848593402,1.4140583423672,"Reliable testing capacity","January 03, 2022",1,0.7,40.399,"Sufficient sequencing capacity",0,"No NGS facilities",933.8,"Connect","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","10.6 %","1.41 per 1000 persons","0.7 %","40.4 per 100k persons","933.8 per 100k persons"
"Cayman Islands","CYM",66498,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,0.91,124.816,"Sufficient sequencing capacity",0,"No NGS facilities",1688.8,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","0.91 %","124.8 per 100k persons","1688.8 per 100k persons"
"Central African Republic","CAF",4919987,"0 NGS facilities or equivalent",0.173135262676362,0.0235593749113701,"Unreliable testing capacity","December 29, 2021",6,0.74,1.077,"Sufficient sequencing capacity",0,"No NGS facilities",0,"Connect","Test","Test","Test","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","17.3 %","0.02 per 1000 persons","0.74 %","1.1 per 100k persons","0 per 100k persons"
"Chad","TCD",16914985,"0 NGS facilities or equivalent",0.0317341888631898,0.020119623250143,"Reliable testing capacity","January 03, 2022",1,0,0,"Insufficient sequencing capacity",0,"No NGS facilities",2.8,"Connect","Connect","Connect","Sequence","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","Sequence - Improve sequencing levels","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","3.2 %","0.02 per 1000 persons","0 %","0 per 100k persons","2.8 per 100k persons"
"Chile","CHL",19212362,"4+ NGS facilities or equivalent",0.0572059701241162,2.99540139938716,"Reliable testing capacity","January 04, 2022",0,1.4,87.001,"Sufficient sequencing capacity",2,"1 or more NGS facilities",54.9,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","5.7 %","3 per 1000 persons","1.4 %","87 per 100k persons","54.9 per 100k persons"
"China","CHN",1444216102,"4+ NGS facilities or equivalent",NaN,NaN,"Insufficient data","June 24, 2020",559,1.24,0.014,"Sufficient sequencing capacity",2,"1 or more NGS facilities",0.1,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","1.24 %","0 per 100k persons","0.1 per 100k persons"
"Colombia","COL",51265841,"4+ NGS facilities or equivalent",0.149504812457813,1.2667492089696,"Reliable testing capacity","January 04, 2022",0,0.3,20.749,"Insufficient sequencing capacity",2,"1 or more NGS facilities",138.7,"Strengthen","Leverage","Leverage","Sequence","Leverage - Leverage existing NGS capacity","Sequence - Improve sequencing levels","Leverage - Leverage existing NGS capacity","15 %","1.27 per 1000 persons","0.3 %","20.7 per 100k persons","138.7 per 100k persons"
"Comoros","COM",888456,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","November 27, 2020",403,0.27,1.913,"Insufficient sequencing capacity",0,"No NGS facilities",135.2,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","0.27 %","1.9 per 100k persons","135.2 per 100k persons"
"Costa Rica","CRI",5139053,"1-3 NGS facilities or equivalent",0.160960427212371,1.3435387321103,"Reliable testing capacity","January 04, 2022",0,0.5,39.579,"Sufficient sequencing capacity",1,"1 or more NGS facilities",103.4,"Strengthen","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","16.1 %","1.34 per 1000 persons","0.5 %","39.6 per 100k persons","103.4 per 100k persons"
"Croatia","HRV",4081657,"1-3 NGS facilities or equivalent",0.183909210990937,1.83716349924082,"Reliable testing capacity","December 30, 2021",5,2.62,330.038,"Sufficient sequencing capacity",1,"1 or more NGS facilities",733.7,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","18.4 %","1.84 per 1000 persons","2.62 %","330 per 100k persons","733.7 per 100k persons"
"Cuba","CUB",11317498,"0 NGS facilities or equivalent",0.093508685201916,2.46891280502037,"Reliable testing capacity","January 04, 2022",0,0,0,"Insufficient sequencing capacity",0,"No NGS facilities",28,"Leverage","Connect","Connect","Sequence","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","Sequence - Improve sequencing levels","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","9.4 %","2.47 per 1000 persons","0 %","0 per 100k persons","28 per 100k persons"
"Curaçao","CUW",164796,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,5.05,593.461,"Sufficient sequencing capacity",0,"No NGS facilities",2455.8,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","5.05 %","593.5 per 100k persons","2455.8 per 100k persons"
"Cyprus","CYP",896005,"1-3 NGS facilities or equivalent",0.00783256312751458,34.4454512724639,"Reliable testing capacity","July 11, 2021",177,0.08,13.839,"Insufficient sequencing capacity",1,"1 or more NGS facilities",3153.1,"High Income*","High Income*","Leverage","High Income*","High Income*","High Income*","Leverage - Leverage existing NGS capacity","0.8 %","34.45 per 1000 persons","0.08 %","13.8 per 100k persons","3153.1 per 100k persons"
"Czech Republic","CZE",10724553,"1-3 NGS facilities or equivalent",0.041021096183055,11.0402631508256,"Reliable testing capacity","January 04, 2022",0,1.22,198.143,"Sufficient sequencing capacity",1,"1 or more NGS facilities",359,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","4.1 %","11.04 per 1000 persons","1.22 %","198.1 per 100k persons","359 per 100k persons"
"Democratic Republic of the Congo","COD",92377986,"1-3 NGS facilities or equivalent",0.0744280276146848,0.0237061967254888,"Reliable testing capacity","January 03, 2022",1,0.18,0.117,"Insufficient sequencing capacity",1,"1 or more NGS facilities",7.5,"Strengthen","Leverage","Leverage","Sequence","Leverage - Leverage existing NGS capacity","Sequence - Improve sequencing levels","Leverage - Leverage existing NGS capacity","7.4 %","0.02 per 1000 persons","0.18 %","0.1 per 100k persons","7.5 per 100k persons"
"Denmark","DNK",5813302,"4+ NGS facilities or equivalent",0.00652837650754711,45.628458746176,"Reliable testing capacity","December 30, 2021",5,36.2,4323.636,"Sufficient sequencing capacity",2,"1 or more NGS facilities",2168.1,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","0.7 %","45.63 per 1000 persons","36.2 %","4323.6 per 100k persons","2168.1 per 100k persons"
"Djibouti","DJI",1002197,"0 NGS facilities or equivalent",0.0495992205836765,0.438320115356885,"Reliable testing capacity","January 03, 2022",1,3.99,31.531,"Sufficient sequencing capacity",0,"No NGS facilities",16.6,"Connect","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","5 %","0.44 per 1000 persons","3.99 %","31.5 per 100k persons","16.6 per 100k persons"
"Dominica","DMA",72172,"0 NGS facilities or equivalent",0.056463226470084,4.48830409356725,"Reliable testing capacity","December 28, 2021",7,0.36,34.639,"Sufficient sequencing capacity",0,"No NGS facilities",712.2,"Connect","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","5.6 %","4.49 per 1000 persons","0.36 %","34.6 per 100k persons","712.2 per 100k persons"
"Dominican Republic","DOM",10953714,"1-3 NGS facilities or equivalent",0.158578137554407,0.404799423943897,"Unreliable testing capacity","September 23, 2021",103,0.28,6.391,"Insufficient sequencing capacity",1,"1 or more NGS facilities",120.1,"Leverage","Test","Test","Test","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","15.9 %","0.4 per 1000 persons","0.28 %","6.4 per 100k persons","120.1 per 100k persons"
"East Timor","TLS",1343875,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,1.68,24.705,"Sufficient sequencing capacity",0,"No NGS facilities",0.7,"Connect","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","1.68 %","24.7 per 100k persons","0.7 per 100k persons"
"Ecuador","ECU",17888474,"1-3 NGS facilities or equivalent",0.240156698332133,0.21734445497807,"Unreliable testing capacity","January 04, 2022",0,1.01,19.113,"Sufficient sequencing capacity",1,"1 or more NGS facilities",57.2,"Strengthen","Test","Test","Test","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","24 %","0.22 per 1000 persons","1.01 %","19.1 per 100k persons","57.2 per 100k persons"
"Egypt","EGY",104258327,"1-3 NGS facilities or equivalent",0.0583174702979967,0.113344592016847,"Reliable testing capacity","December 29, 2021",6,0.23,0.541,"Insufficient sequencing capacity",1,"1 or more NGS facilities",5.4,"Strengthen","Leverage","Leverage","Sequence","Leverage - Leverage existing NGS capacity","Sequence - Improve sequencing levels","Leverage - Leverage existing NGS capacity","5.8 %","0.11 per 1000 persons","0.23 %","0.5 per 100k persons","5.4 per 100k persons"
"El Salvador","SLV",6518500,"1-3 NGS facilities or equivalent",0.0752306664050306,0.424069967348008,"Reliable testing capacity","December 27, 2021",8,0.4,4.587,"Insufficient sequencing capacity",1,"1 or more NGS facilities",4.9,"Leverage","Leverage","Leverage","Sequence","Leverage - Leverage existing NGS capacity","Sequence - Improve sequencing levels","Leverage - Leverage existing NGS capacity","7.5 %","0.42 per 1000 persons","0.4 %","4.6 per 100k persons","4.9 per 100k persons"
"Equatorial Guinea","GNQ",1449891,"0 NGS facilities or equivalent",0.0442057902768237,0.37238988859489,"Reliable testing capacity","January 03, 2022",1,0.77,4.483,"Sufficient sequencing capacity",0,"No NGS facilities",5,"Connect","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","4.4 %","0.37 per 1000 persons","0.77 %","4.5 per 100k persons","5 per 100k persons"
"Eritrea","ERI",3601462,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","December 21, 2020",379,0,0,"Insufficient sequencing capacity",0,"No NGS facilities",5.5,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","0 %","0 per 100k persons","5.5 per 100k persons"
"Estonia","EST",1325188,"1-3 NGS facilities or equivalent",0.113055714999907,3.90260243003582,"Reliable testing capacity","January 04, 2022",0,3.74,607.612,"Sufficient sequencing capacity",1,"1 or more NGS facilities",502.1,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","11.3 %","3.9 per 1000 persons","3.74 %","607.6 per 100k persons","502.1 per 100k persons"
"Eswatini","SWZ",1172369,"0 NGS facilities or equivalent",0.160989743720979,0.830625885687293,"Unreliable testing capacity","January 03, 2022",1,0.19,9.042,"Insufficient sequencing capacity",0,"No NGS facilities",153.6,"Connect","Test","Test","Test","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","16.1 %","0.83 per 1000 persons","0.19 %","9 per 100k persons","153.6 per 100k persons"
