"name","code","region","ngs_capacity","facility_access","who_testing_capacity","sequencing_capacity","cum_tests_per_100k","cum_tpr","total_tests","date_tests_last_reported","rept_tests_within_last_6_months","days_since_tests_reported","tests_in_last_year_raw","cases_in_last_year_raw","tests_in_last_year_sum_avg","cases_in_last_year_sum_avg","tests_in_last_year_smoothed","cases_in_last_year_smoothed","cases_in_last_year_smoothed_truncated","avg_tpr_find","tpr_year_raw","tpr_year_smoothed","tpr_year_smoothed_truncated","avg_daily_test_per_1000_last_year_raw","avg_daily_tests_per_1000_last_year_smoothed","dx_testing_capacity","cases_in_last_90_days","sequences_in_last_90_days","population_size","cases_per_100k_last_90_days","percent_of_cases_sequenced_last_90_days","per_capita_seq_rate_in_last_90_days","max_prevalence_variant_pct","cases_in_last_7_days","cases_per_100k_last_7_days","cases_in_last_year","sequences_in_last_year","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","country","old_test_archetype","old_sequencing_archetype","old_archetype","world_bank_economies","sars_cov_2_sequencing","archetype_orig","archetype_orig_w_HICs","archetype_new"
"Australia","AUS","Western Pacific",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",218835.239215686,0.0109098642140763,55802986,2022-01-04,TRUE,0,44212314,580286,43670843.51,440565.95,43757910,440634,440634,0.00568485152300795,0.0131249859484849,0.0100698136634039,0.0100698136634039,4.75018146655923,4.70136019339242,"Reliable testing capacity",488761,14493,25788217,1895.28806896576,2.9652529559437,56.2000854886555,0.0206680651551716,268850,1042.5,580286,34014,5.86,131.897,"Australia","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Austria","AUT","Europe",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",1383924.97224073,0.0103848170760997,124636283,2022-01-04,TRUE,0,120843193,926915,120015234.36,914177.56,120034443,920259,920259,0.0110590766572916,0.00767039480659866,0.00766662448710659,0.00766662448710659,36.7618522202854,36.5158214158597,"Reliable testing capacity",540493,1350,9043072,5976.87378802248,0.249771967444537,14.9285552520206,0.221660064782314,25806,285.4,926915,9542,1.03,105.517,"Austria","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Azerbaijan","AZE","Europe",1,"1 or more NGS facilities",0,"1-3 NGS facilities or equivalent",58089.12121511,0.104991700703742,5889656,2022-01-04,TRUE,0,3675462,397766,3664480.33,396370.72,3674963,398303,398303,0.093780417910465,0.108222041201895,0.108382859909066,0.108382859909066,0.993170816067619,0.993035977988156,"Reliable testing capacity",130152,0,10223344,1273.08637956426,0,0,100,3053,29.9,397766,10,0,0.098,"Azerbaijan","Reliable testing capacity","1-499 sequences","Leverage","Upper middle income","Insufficient sequencing capacity","Leverage","Leverage","Sequence"
"Bahrain","BHR","Eastern Mediterranean",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",475531.96239718,0.0352685606347965,8093554,2022-01-04,TRUE,0,5687832,191682,5641070.01,189112,5652480,189922,189922,0.0333795793069068,0.0337003624579629,0.0335997650588768,0.0335997650588768,9.15575873669977,9.09885227693447,"Reliable testing capacity",10054,1209,1748295,575.074572655073,12.0250646508852,69.1530891525744,0.247479225407377,4966,284,191682,2119,1.11,121.204,"Bahrain","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Bangladesh","BGD","South-East Asia",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",7061.83533812216,0.136535338664458,11429234,2021-12-28,TRUE,7,8423722,1070986,8298715.75,1069022.78,8310707,1071804,1071804,0.102618554969638,0.127139285935599,0.128966645076045,0.128966645076045,0.14013498418813,0.138254894218634,"Reliable testing capacity",27760,635,166303494,16.6923732823076,2.28746397694524,0.381832025730019,0.470657780613348,3892,2.3,1070986,2881,0.27,1.732,"Bangladesh","Reliable testing capacity","500+ sequences","Strengthen","Lower middle income","Insufficient sequencing capacity","Leverage","Leverage","Sequence"
"Barbados","BRB","Americas",0,"No NGS facilities",0,"0 NGS facilities or equivalent",166629.616724739,0.0621002160062063,478227,2022-01-04,TRUE,0,423793,29092,409568.89,28212.18,401199,28361,28361,0.0537116190370691,0.0686467213946431,0.0706906049117769,0.0706906049117769,4.04556345759152,3.82987924204095,"Reliable testing capacity",19875,13,287708,6908.04565740264,0.0654088050314465,4.51847011553381,20.5816665186551,1862,647.2,29092,95,0.33,33.02,"Barbados","High Income*","1-499 sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Belarus","BLR","Europe",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",117332.299714255,0.0633526804885372,11086729,2022-01-04,TRUE,0,7461109,500543,7234515.39,498231,7079160,503636,503636,0.0727841872447063,0.0670869437773929,0.0711434689991468,0.0711434689991468,2.16333945608508,2.05259380930359,"Reliable testing capacity",152557,1,9442867,1615.57925151334,0.000655492701088773,0.0105900040739746,95,7647,81,500543,13,0,0.138,"Belarus","Reliable testing capacity","1-499 sequences","Leverage","Upper middle income","Insufficient sequencing capacity","Leverage","Leverage","Sequence"
"Belgium","BEL","Europe",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",264053.848144953,0.0703151607669116,30603841,2022-01-04,TRUE,0,24219024,1501027,23723609.38,1457312.42,23497790,1462311,1462311,0.0617051222897979,0.0619771878503444,0.0622318524422935,0.0622318524422935,5.72506388360301,5.55457349864668,"Reliable testing capacity",895723,18041,11632334,7700.28611626867,2.01412713528624,155.093552162447,0.0166037556933452,89078,765.8,1501027,73666,4.91,633.286,"Belgium","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Belize","BLZ","Americas",0,"No NGS facilities",0,"0 NGS facilities or equivalent",95186.6834170854,0.0899765866071169,363915,2021-12-14,TRUE,21,315051,23149,313480.68,21988.44,323621,22143,22143,0.0597315852124177,0.0734769926138943,0.0684226301754212,0.0684226301754212,2.168727197632,2.22772079575962,"Reliable testing capacity",12194,0,404915,3011.49623995159,0,0,100,2353,581.1,23149,276,1.19,68.162,"Belize","Reliable testing capacity","1-499 sequences","Connect","Upper middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Benin","BEN","Africa",0,"No NGS facilities",0,"0 NGS facilities or equivalent",5284.05510187247,0.0398416449938025,640586,2021-05-18,FALSE,231,260826,22271,256126.56,21745.34,249519,21764,4766,0.0229661017880768,0.085386426199842,0.0872238186270384,0.0191007498426973,0.0589451275115003,0.150235632215051,"Insufficient data",1187,0,12451031,9.5333470778444,0,0,100,587,4.7,22271,727,3.26,5.839,"Benin","Unreliable testing capacity","1-499 sequences","Test","Lower middle income","Sufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Bermuda","BMU","Americas",0,"No NGS facilities",1,"0 NGS facilities or equivalent",1139764.51612903,-Inf,699028,2021-12-31,TRUE,4,555093,0,552082.74,0,558241,0,0,NaN,0,0,0,24.529076447194,24.6681838267786,"Insufficient data",1481,26,62092,2385.17039232107,1.75557056043214,41.8733492237325,10.8830355760785,872,1404.4,6312,47,0.74,75.694,"Bermuda","High Income*","1-499 sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Bhutan","BTN","South-East Asia",0,"No NGS facilities",0,"0 NGS facilities or equivalent",167231.21761658,0.00206502585155206,1239480,2022-01-01,TRUE,3,989949,1932,1020670.01,1932.18,1001245,1957,1957,0.00182678024169401,0.00195161568929308,0.00195456656462704,0.00195456656462704,3.51319823976152,3.55328625168571,"Reliable testing capacity",53,0,779900,6.79574304398,0,0,100,6,0.8,1932,0,0,0,"Bhutan","Reliable testing capacity","0 sequences","Connect","Lower middle income","Insufficient sequencing capacity","Connect","Connect","Sequence"
"Bolivia","BOL","Americas",0,"No NGS facilities",1,"0 NGS facilities or equivalent",26162.4946457637,0.203772952257209,3053948,2022-01-02,TRUE,2,2676993,458641,2644408.94,440292.34,2629539,443975,443975,0.169418604924016,0.171326932868334,0.168841382462858,0.168841382462858,0.628306981689392,0.617169231419187,"Unreliable testing capacity",119762,0,11832936,1012.10722343128,0,0,100,41622,351.7,458641,60,0.01,0.507,"Bolivia","Reliable testing capacity","1-499 sequences","Connect","Lower middle income","Insufficient sequencing capacity","Test","Test","Test"
"Bosnia and Herzegovina","BIH","Europe",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",32232.7644010972,0.277700398181847,1057557,2022-01-04,TRUE,0,708598,181039,703318.07,178475.7,706853,179596,179596,0.223032797351764,0.255489007871882,0.254078287847685,0.254078287847685,0.591698989198916,0.590241865785991,"Unreliable testing capacity",55226,817,3263459,1692.25352608996,1.47937565639373,25.0347867094393,0.366003266125026,4808,147.3,181039,1081,0.6,33.124,"Bosnia and Herzegovina","Reliable testing capacity","1-499 sequences","Leverage","Upper middle income","Sufficient sequencing capacity","Test","Test","Test"
"Botswana","BWA","Africa",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",86206.5901360544,0.109516324641358,2026898,2022-01-03,TRUE,1,1482731,206685,1479367.34,203987.29,1482415,204451,204451,0.150936852542955,0.139394805935804,0.137917519722885,0.137917519722885,1.72715846612618,1.72679037368372,"Reliable testing capacity",41856,740,2397240,1746.00790909546,1.76796636085627,30.8688324906976,0.404010358938067,9571,399.3,206685,2083,1.01,86.892,"Botswana","Reliable testing capacity","500+ sequences","Strengthen","Upper middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Brazil","BRA","Americas",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",31099.7478347188,0.337767888641568,66100617,2021-12-31,TRUE,4,47933429,14566699,47017113.7,14497092.46,46493814,14610426,14610426,0.343406347967022,0.303894365662845,0.314244514334746,0.314244514334746,0.617825935451798,0.599270378242122,"Unreliable testing capacity",804080,14182,213993441,375.749834313847,1.76375485026366,6.62730592756813,0.0211212515466186,68982,32.2,14441821,86731,0.6,40.53,"Brazil","Reliable testing capacity","500+ sequences","Strengthen","Upper middle income","Sufficient sequencing capacity","Test","Test","Test"
"British Virgin Islands","VGB","Americas",0,"No NGS facilities",0,"0 NGS facilities or equivalent",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",1035,23,30423,3402.03135785426,2.22222222222222,75.6006968412057,12.2123388906523,689,2264.7,3674,80,2.18,262.959,"British Virgin Islands","High Income*","1-499 sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Brunei","BRN","Western Pacific",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",153292.448512586,0.0231471529569122,669888,2021-12-14,TRUE,21,587980,15352,587049.18,15329.74,586301,15356,15239,0.0120280185328911,0.0261097316235246,0.0261913249337797,0.0259917687331251,3.68627942697721,3.86642618323782,"Reliable testing capacity",7356,348,441532,1666.0174121015,4.73083197389886,78.8164844224201,0.857147966651384,45,10.2,15334,379,2.47,85.837,"Brunei","High Income*","1-499 sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Bulgaria","BGR","Europe",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",107337.017846862,0.10159999442193,7457776,2022-01-02,TRUE,2,6284072,553630,6260969.25,543912.53,6282074,546208,546208,0.0853178042904277,0.0881005182626806,0.0869470814893298,0.0869470814893298,2.47792683023005,2.47713898155377,"Reliable testing capacity",243502,2364,6896655,3530.72612737624,0.970833915121847,34.2774866946367,0.126642763698759,20477,296.9,553630,10058,1.82,145.839,"Bulgaria","Reliable testing capacity","500+ sequences","Strengthen","Upper middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Burkina Faso","BFA","Africa",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",1444.78304549586,0.0617113075035678,299452,2021-12-29,TRUE,6,200860,11511,200754.52,10552.36,202874,10944,10944,0.0449372674090823,0.0573085731355173,0.0539448130366632,0.0539448130366632,0.0263264301709331,0.0265904022428451,"Reliable testing capacity",4249,8,21497097,19.765459494368,0.18827959519887,0.0372143271251928,31.2343978066368,1005,4.7,11511,242,2.1,1.126,"Burkina Faso","Reliable testing capacity","1-499 sequences","Leverage","Low income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Burundi","BDI","Africa",0,"No NGS facilities",1,"0 NGS facilities or equivalent",9622.67260953662,0.0280327765697865,1122167,2022-01-03,TRUE,1,1045205,31234,1014594.73,27191.78,1015908,27210,27210,0.0290941552948525,0.0298831329739142,0.0267839213787075,0.0267839213787075,0.240818715201897,0.234068588768068,"Reliable testing capacity",13251,0,12255429,108.12350999708,0,0,100,5077,41.4,31234,63,0.2,0.514,"Burundi","Reliable testing capacity","1-499 sequences","Connect","Low income","Insufficient sequencing capacity","Connect","Connect","Sequence"
"Cambodia","KHM","Western Pacific",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",16569.3342903284,0.0435076259093569,2761485,2021-12-27,TRUE,8,2755717,120144,2755717.05,120119.14,2420136,120133,120133,0.0415764442830144,0.0435980908054056,0.0496389459104778,0.0496389459104778,0.45157662474078,0.39658529750829,"Reliable testing capacity",6602,804,16946446,38.9580210505495,12.1781278400485,4.74435760748891,0.371910211069149,57,0.3,120144,1995,1.66,11.772,"Cambodia","Reliable testing capacity","500+ sequences","Strengthen","Lower middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Cameroon","CMR","Africa",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",8741.06456716643,0.0471327609902245,2310313,2021-12-29,TRUE,6,1650999,82519,1598843.88,82518.75,1545923,82782,82782,0.0546845213271766,0.04998125377423,0.0535485920061995,0.0535485920061995,0.170394218771448,0.159549667725912,"Reliable testing capacity",13968,0,27224262,51.3071759300583,0,0,100,0,0,82519,480,0.58,1.763,"Cameroon","Reliable testing capacity","1-499 sequences","Leverage","Lower middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Canada","CAN","Americas",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",139786.691219331,0.0443676409318247,52758293,2022-01-04,TRUE,0,38716845,1726657,38311132.47,1606136.86,38711412,1629211,1629211,0.0417970593555429,0.0445970481324085,0.0420860649567626,0.0420860649567626,2.81049091052953,2.81009652412958,"Reliable testing capacity",700131,36023,38067913,1839.16307678858,5.14517997346211,94.6282503062356,0.00831581964850781,317919,835.1,1736736,169805,9.78,446.058,"Canada","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Cape Verde","CPV","Africa",0,"No NGS facilities",0,"0 NGS facilities or equivalent",72116.0071942446,0.111211701769481,397193,2022-01-03,TRUE,1,289376,32643,286766.86,30292.21,286969,30396,30396,0.121672959665717,0.112804793763132,0.105920848593402,0.105920848593402,1.42591899083473,1.4140583423672,"Reliable testing capacity",6822,0,561901,1214.09287401161,0,0,100,5247,933.8,32643,227,0.7,40.399,"Cape Verde","Reliable testing capacity","1-499 sequences","Connect","Lower middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Cayman Islands","CYM","Americas",0,"No NGS facilities",0,"0 NGS facilities or equivalent",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",8589,1,66498,12916.1779301633,0.0116427989288625,1.50380462570303,95,1123,1688.8,9162,83,0.91,124.816,"Cayman Islands","High Income*","1-499 sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Central African Republic","CAF","Africa",0,"No NGS facilities",1,"0 NGS facilities or equivalent",1601.05590062112,0.157284918079425,76245,2021-12-29,TRUE,6,40942,7200,41120.27,7199.08,41534,7191,7191,0.186014718131978,0.175858531581261,0.173135262676362,0.173135262676362,0.023223574122919,0.0235593749113701,"Unreliable testing capacity",772,0,4919987,15.6910983707884,0,0,100,0,0,7200,53,0.74,1.077,"Central African Republic","Reliable testing capacity","1-499 sequences","Connect","Low income","Sufficient sequencing capacity","Test","Test","Test"
"Chad","TCD","Africa",0,"No NGS facilities",1,"0 NGS facilities or equivalent",1151.19931815415,0.0327082540085459,188872,2022-01-03,TRUE,1,120655,3956,114804.01,3730.8,120627,3828,3828,0.0275891471563539,0.0327877004682773,0.0317341888631898,0.0317341888631898,0.0201242934272261,0.020119623250143,"Reliable testing capacity",1134,0,16914985,6.70411472431102,0,0,100,482,2.8,3956,0,0,0,"Chad","Reliable testing capacity","1-499 sequences","Connect","Low income","Insufficient sequencing capacity","Connect","Connect","Sequence"
"Chile","CHL","Americas",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",144168.100020925,0.0657620580355565,27537076,2022-01-04,TRUE,0,20933552,1191707,20860746.26,1187336.23,20899934,1195601,1195601,0.0563983497234062,0.0569280836811641,0.0572059701241162,0.0572059701241162,3.00021956791557,2.99540139938716,"Reliable testing capacity",153904,4962,19212362,801.067562645343,3.22408774300863,25.8271211004665,0.0603552628283599,10553,54.9,1191707,16715,1.4,87.001,"Chile","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"China","CHN","Western Pacific",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",6252.93540578772,0.00128556666666667,90000000,2020-06-24,FALSE,559,0,19456,0,18954.31,0,19235,0,NaN,Inf,Inf,NaN,0,NaN,"Insufficient data",6597,44,1444216102,0.456787595074189,0.666969834773382,0.00304663546813162,6.58187711449339,1249,0.1,15749,195,1.24,0.014,"China","High Income*","500+ sequences","High Income*","Upper middle income","Sufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Colombia","COL","Americas",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",58614.4547294774,0.174464714641942,29824793,2022-01-04,TRUE,0,23656946,3517243,23546142.5,3477883.14,23526440,3517316,3517316,0.152679593262069,0.148676967855445,0.149504812457813,0.149504812457813,1.27377612729068,1.2667492089696,"Reliable testing capacity",237527,2638,51265841,463.324106981879,1.11061058321791,5.14572656674061,0.113496282388703,71097,138.7,3517243,10637,0.3,20.749,"Colombia","Reliable testing capacity","500+ sequences","Strengthen","Upper middle income","Insufficient sequencing capacity","Leverage","Leverage","Sequence"
"Comoros","COM","Africa",0,"No NGS facilities",0,"0 NGS facilities or equivalent",715.747126436782,1.13505700979605,6227,2020-11-27,FALSE,403,0,6204,0,5697.85,0,5793,0,NaN,Inf,Inf,NaN,0,NaN,"Insufficient data",2910,9,888456,327.534509306032,0.309278350515464,1.01299332775061,28.3128835563113,1201,135.2,6204,17,0.27,1.913,"Comoros","Unreliable testing capacity","1-499 sequences","Test","Lower middle income","Insufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Costa Rica","CRI","Americas",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",59307.7934825285,0.190613871126089,3018168,2022-01-04,TRUE,0,2514454,403435,2489538.91,399110.33,2498055,402088,402088,0.156876326511627,0.160446363305911,0.160960427212371,0.160960427212371,1.35235867068966,1.3435387321103,"Reliable testing capacity",34835,711,5139053,677.848623082891,2.04105066743218,13.8352338456132,0.420454290935113,5315,103.4,403435,2034,0.5,39.579,"Costa Rica","Reliable testing capacity","500+ sequences","Strengthen","Upper middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Croatia","HRV","Europe",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",93144.7746650426,0.190370418608884,3743534,2021-12-30,TRUE,5,2708458,514580,2707470.8,503145.02,2752668,506241,506241,0.155068152599657,0.189990023843826,0.183909210990937,0.183909210990937,1.8076572172259,1.83716349924082,"Reliable testing capacity",315982,3645,4081657,7741.51282187602,1.15354672101575,89.301967313765,0.0821536777194876,29947,733.7,514580,13471,2.62,330.038,"Croatia","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Cuba","CUB","Americas",0,"No NGS facilities",0,"0 NGS facilities or equivalent",103748.238721639,0.0823865727478124,11751563,2022-01-04,TRUE,0,10487750,955431,10286522.55,953835.57,10207362,954477,954477,0.0707106267285691,0.0910997115682582,0.093508685201916,0.093508685201916,2.53673184813592,2.46891280502037,"Reliable testing capacity",64063,0,11317498,566.052673479598,0,0,100,3169,28,955431,0,0,0,"Cuba","Reliable testing capacity","500+ sequences","Leverage","Upper middle income","Insufficient sequencing capacity","Connect","Connect","Sequence"
"Curaçao","CUW","Americas",0,"No NGS facilities",0,"0 NGS facilities or equivalent",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",7008,181,164796,4252.53040122333,2.58276255707763,109.832762931139,1.64147916551924,4047,2455.8,19369,978,5.05,593.461,"Curaçao","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
