"","geometry","country","code","region","ngs_capacity","who_testing_capacity","sequencing_capacity","max_new_tests_cap_avg","cap_cum_tests","cum_tpr","tests_in_last_90_days","tests_in_last_7_days","tests_in_last_year","avg_test_per_1000_last_year","dx_testing_capacity","cases_in_last_90_days","sequences_in_last_90_days","population_size","percent_of_recent_cases_sequenced","per_capita_seq_rate","max_prevalence_variant_pct","max_new_seq_cap_avg","total_sequences","cases_in_last_7_days","cases_in_last_year","sequences_in_last_year","tpr_90_days","tpr_7_days","cases_in_the_last_7_days_per_100k","test_in_the_last_7_days_per_100k","tpr_year","reporting_lag_diff","world_bank_economies","sars_cov_2_sequencing","archetype_full","archetype","label","dx_testing_capacity_clean","sequencing_capacity_clean","sars_cov_2_sequencing_clean","archetype_clean","old_archetype","old_max_new_tests_cap_avg","old_dx_testing_capacity"
"35",NA,"Cameroon","CMR","Africa",1,"1 - Reliable","1-3 NGS facilities or equivalent",41.15,84.4579220974911,0.0479696880491699,308858,0,1536333,0.15855991512278,"Reliable testing capacity",23339,66,27224262,0.28278846565834,0.242430814102509,4.43751726181842,NA,555,401,82406,511,0.0755654702160864,Inf,1.4729508553804,0,0.0536381110084858,0,"Lower middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen","3 - Leverage",41.15,"Reliable testing capacity"
"36",NA,"Canada","CAN","Americas",2,"1 - Reliable","4+ NGS facilities or equivalent",696.06,1314.21005776058,0.0371297981674371,8288808,628307,37228500,2.70245059644319,"Reliable testing capacity",278529,38297,38067913,13.7497352160816,100.60178502562,0.00782206206232372,NA,211057,20979,1375656,185583,0.0336030222922283,0.0333897282697789,55.1094040800188,1650.48974447325,0.0369516902373182,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",696.06,"Reliable testing capacity"
"37",NA,"Cape Verde","CPV","Africa",0,"0 - Unreliable","0 NGS facilities or equivalent",255.71,685.095323741007,0.101080824230205,49661,4089,272988,1.34516605893367,"Reliable testing capacity",1809,0,561901,0,0,100,NA,47,50,27146,39,0.0364269748897525,0.012227928588897,8.89836465854305,727.708261775651,0.0994402684367078,0,"Lower middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",255.71,"Reliable testing capacity"
"38",NA,"Cayman Islands","CYM","Americas",0,"0 - Unreliable","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Unreliable testing capacity",0,17,66498,NA,25.5646786369515,16.156611126074,NA,97,0,0,96,NA,NA,0,NA,NA,0,"High income","1-499 sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Test","0 - High Income*",NA,"Unreliable testing capacity"
"39",NA,"Central African Republic","CAF","Africa",0,"1 - Reliable","0 NGS facilities or equivalent",10.12,15.2753623188406,0.161452968284088,9041,924,38893,0.022061317677756,"Reliable testing capacity",603,0,4919987,0,0,100,NA,127,170,6976,121,0.0666961619289902,0.183982683982684,3.45529368268656,18.7805374282493,0.179363895816728,0,"Low income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",10.12,"Reliable testing capacity"
"40",NA,"Chad","TCD","Africa",0,"1 - Reliable","0 NGS facilities or equivalent",3.4,10.9793619870936,0.0316223724264889,26606,572,122915,0.0205012434346484,"Reliable testing capacity",684,0,16914985,0,0,100,NA,9,0,3933,9,0.025708486807487,0,0,3.38161695088704,0.0319977220030102,0,"Low income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",3.4,"Reliable testing capacity"
"41",NA,"Chile","CHL","Americas",2,"1 - Reliable","4+ NGS facilities or equivalent",397.29,1382.08218246495,0.0673118045223743,5381023,423562,20558240,2.94642944159235,"Reliable testing capacity",133538,5920,19212362,4.433195045605,30.8134939368725,0.0505907842469178,NA,16443,4322,1206451,15279,0.02481647077145,0.010203937085952,22.4959325667505,2204.63262143405,0.058684546926196,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",397.29,"Reliable testing capacity"
"42",NA,"China","CHN","Western Pacific",2,"1 - Reliable","4+ NGS facilities or equivalent",49.85,62.5293540578772,0.00124827777777778,0,0,0,0,"Reliable testing capacity",4381,1,1444216102,0.0228258388495777,6.92417151848096e-05,95,NA,1256,483,13070,160,NA,Inf,0.0334437484342631,0,NA,0,"Upper middle income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",49.85,"Reliable testing capacity"
"43",NA,"Colombia","COL","Americas",2,"1 - Reliable","4+ NGS facilities or equivalent",279.34,562.448754986931,0.177976860192571,3870464,311943,23108448,1.24424299743247,"Reliable testing capacity",160536,1344,51265841,0.837195395425325,2.6216286981423,0.222648516212798,NA,8789,10772,3667760,8311,0.0414771975659766,0.0345319497472295,21.012041916956,608.481191208782,0.158719443209687,0,"Upper middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",279.34,"Reliable testing capacity"
"44",NA,"Comoros","COM","Africa",0,"0 - Unreliable","0 NGS facilities or equivalent",8.86,7.15747126436782,0.73341898185322,0,0,0,0,"Unreliable testing capacity",467,11,888456,2.35546038543897,1.23810295613964,23.8404190380853,NA,17,24,3939,17,NA,Inf,2.70131554066831,0,NA,0,"Lower middle income","1-499 sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Test","1 - Test",8.86,"Unreliable testing capacity"
"45",NA,"Cook Islands","COK","",NA,"NaN","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Unreliable testing capacity",0,0,17572,NA,0,100,NA,0,0,0,0,NA,NA,0,NA,NA,0,"NaN","0 sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test","1 - Test",NA,"Unreliable testing capacity"
"46",NA,"Costa Rica","CRI","Americas",1,"1 - Reliable","1-3 NGS facilities or equivalent",194.2,414.346486062034,0.269105089779081,0,0,1683400,0.905389633788879,"Reliable testing capacity",71259,588,5139053,0.825158927293395,11.4417967668362,0.508182638504961,NA,1892,381,417048,1683,NA,Inf,7.41381729279694,0,0.247741475585125,0,"Upper middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",194.2,"Reliable testing capacity"
"47",NA,"Croatia","HRV","Europe",1,"1 - Reliable","1-3 NGS facilities or equivalent",287.09,872.3071863581,0.182696091203665,908510,69715,2715677,1.81247526404485,"Reliable testing capacity",269146,2803,4081657,1.04144219122707,68.673090365016,0.106818836438538,NA,12094,22437,478316,11980,0.296249903688457,0.321838915584881,549.703221020287,1708.00731173639,0.176131402961398,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",237.5,"Reliable testing capacity"
"48",NA,"Cuba","CUB","Americas",0,"0 - Unreliable","0 NGS facilities or equivalent",478.69,914.848768429416,0.0929919173882112,1739073,0,9140499,2.2108645725875,"Reliable testing capacity",202568,0,11317498,0,0,100,NA,1049,434,954205,1025,0.116480446766754,Inf,3.83476984047181,0,0.104393097138351,0,"Upper middle income","500+ sequences","3 - Leverage","Leverage","? Leverage existing NGS capacity","Reliable testing capacity","0 NGS facilities or equivalent","500+ sequences","Leverage","3 - Leverage",478.69,"Reliable testing capacity"
"49",NA,"Curaçao","CUW","Americas",0,"0 - Unreliable","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Unreliable testing capacity",0,206,164796,NA,125.003034054225,1.44371598439991,NA,949,0,0,921,NA,NA,0,NA,NA,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Test","0 - High Income*",NA,"Unreliable testing capacity"
"50",NA,"Cyprus","CYP","Europe",1,"1 - Reliable","1-3 NGS facilities or equivalent",5361.32,7261.98425849213,0.0160693148998627,0,0,8104747,18.3966746490223,"Reliable testing capacity",22761,0,896005,0,0,100,NA,728,3313,126051,163,NA,Inf,369.752400935263,0,0.0155527371798281,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",5361.32,"Reliable testing capacity"
"51",NA,"Czech Republic","CZE","Europe",1,"1 - Reliable","1-3 NGS facilities or equivalent",2964.16,4249.87533850033,0.0512896238270791,8456774,1217462,41992607,10.7431355267685,"Reliable testing capacity",650487,7034,10724553,1.08134367020402,65.5878151751406,0.0425802449987356,NA,17055,87222,1755210,16469,0.0769190473814246,0.0716424824758391,813.292637930924,11352.1001761099,0.041798071741533,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",2964.16,"Reliable testing capacity"
