"name","World Bank economic status","Date tests last reported","Test positivity rate (%) in past year","Average daily tests in past year","% of cases sequenced in past year","Number of sequences in past year","Cumulative number of sequences entire pandemic","NGS facility access","COVID-19 diagnostic testing targets","SARS-CoV-2 sequencing targets","Test Archetype","Sequence Archetype"
"Belarus","Upper middle income","April 01, 2022","8.6 %","2.17 per 1,000 persons","0.05 %","3.7 per 100k persons",430,"Has access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Belgium","High income","April 01, 2022","13.5 %","5.14 per 1,000 persons","2.82 %","719.4 per 100k persons",100831,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Belize","Upper middle income","March 29, 2022","10.6 %","2.9 per 1,000 persons","1.28 %","141.8 per 100k persons",685,"Does not have access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Benin","Lower middle income","January 25, 2022","2.8 %","0.08 per 1,000 persons","1.87 %","3 per 100k persons",779,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bermuda","High income","April 01, 2022","No cases reported","28.37 per 1,000 persons","0.79 %","143.3 per 100k persons",129,"Does not have access to sequencing facilities","Insufficient testing data","Meets sequencing target","Insufficient testing data","Sustain - Sustain current sequencing levels"
"Bhutan","Lower middle income","March 01, 2022","1.1 %","4.39 per 1,000 persons","0 %","0 per 100k persons",0,"Does not have access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bolivia","Lower middle income","January 02, 2022","15.8 %","0.66 per 1,000 persons","0.02 %","1 per 100k persons",260,"Does not have access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bosnia and Herzegovina","Upper middle income","April 01, 2022","30 %","0.58 per 1,000 persons","0.65 %","40.7 per 100k persons",1433,"Has access to sequencing facilities","Does not meet testing target","Meets sequencing target","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Botswana","Upper middle income","March 17, 2022","17.3 %","1.56 per 1,000 persons","1.17 %","128.9 per 100k persons",3364,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Brazil","Upper middle income","March 11, 2022","40.5 %","0.56 per 1,000 persons","0.65 %","51.5 per 100k persons",127686,"Has access to sequencing facilities","Does not meet testing target","Meets sequencing target","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"British Virgin Islands","High income","No tests reported","Insufficient data","Insufficient data","2.77 %","545.6 per 100k persons",178,"Does not have access to sequencing facilities","Insufficient testing data","Meets sequencing target","Insufficient testing data","Sustain - Sustain current sequencing levels"
"Brunei","High income","December 14, 2021","2.7 %","4.89 per 1,000 persons","1.2 %","363.7 per 100k persons",1616,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Bulgaria","Upper middle income","April 01, 2022","10.7 %","2.96 per 1,000 persons","1.5 %","171.9 per 100k persons",14133,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Burkina Faso","Low income","March 09, 2022","5.2 %","0.02 per 1,000 persons","0.95 %","0.4 per 100k persons",616,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Burundi","Low income","March 31, 2022","2.8 %","0.29 per 1,000 persons","0.18 %","0.5 per 100k persons",63,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Cambodia","Lower middle income","March 31, 2022","6 %","0.37 per 1,000 persons","2.1 %","16.5 per 100k persons",2884,"Has access to sequencing facilities","Does not meet testing target","Meets sequencing target","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cameroon","Lower middle income","March 24, 2022","4.9 %","0.15 per 1,000 persons","0.72 %","1.6 per 100k persons",670,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Canada","High income","April 01, 2022","7.8 %","2.32 per 1,000 persons","8.49 %","556.1 per 100k persons",271540,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cape Verde","Lower middle income","March 31, 2022","11.9 %","1.6 per 1,000 persons","0.95 %","64.6 per 100k persons",410,"Does not have access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cayman Islands","High income","No tests reported","Insufficient data","Insufficient data","0.31 %","94.7 per 100k persons",101,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Central African Republic","Low income","March 24, 2022","19.7 %","0.03 per 1,000 persons","0.53 %","1 per 100k persons",110,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Chad","Low income","March 31, 2022","2.8 %","0.02 per 1,000 persons","1.78 %","0.3 per 100k persons",49,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Chile","High income","April 01, 2022","10.2 %","3.48 per 1,000 persons","0.86 %","110.4 per 100k persons",23167,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"China","Upper middle income","June 24, 2020","Insufficient data","Insufficient data","0.54 %","0 per 100k persons",1865,"Has access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Colombia","Upper middle income","March 31, 2022","17.4 %","1.14 per 1,000 persons","0.39 %","28 per 100k persons",15420,"Has access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Comoros","Lower middle income","November 27, 2020","Insufficient data","Insufficient data","0.64 %","3.2 per 100k persons",34,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Costa Rica","Upper middle income","March 30, 2022","19.2 %","1.74 per 1,000 persons","0.48 %","58.5 per 100k persons",3574,"Has access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Croatia","High income","March 31, 2022","26.4 %","2.1 per 1,000 persons","3.21 %","649.6 per 100k persons",29097,"Has access to sequencing facilities","Does not meet testing target","Meets sequencing target","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cuba","Upper middle income","April 01, 2022","9.7 %","2.53 per 1,000 persons","0.07 %","6.4 per 100k persons",1170,"Does not have access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Curaçao","High income","No tests reported","Insufficient data","Insufficient data","3.88 %","742.7 per 100k persons",1493,"Does not have access to sequencing facilities","Insufficient testing data","Meets sequencing target","Insufficient testing data","Sustain - Sustain current sequencing levels"
"Cyprus","High income","July 11, 2021","0.7 %","43.69 per 1,000 persons","0 %","0.1 per 100k persons",728,"Has access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Czech Republic","High income","April 01, 2022","5.4 %","10.87 per 1,000 persons","1.42 %","301.9 per 100k persons",35722,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Democratic Republic of the Congo","Low income","April 01, 2022","7 %","0.03 per 1,000 persons","0.78 %","0.5 per 100k persons",1018,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Denmark","High income","March 30, 2022","2.8 %","48.22 per 1,000 persons","13.13 %","6385.5 per 100k persons",447688,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Djibouti","Lower middle income","April 01, 2022","4.7 %","0.47 per 1,000 persons","6.06 %","44.8 per 100k persons",687,"Does not have access to sequencing facilities","Does not meet testing target","Meets sequencing target","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Dominica","Upper middle income","December 28, 2021","5.9 %","5.62 per 1,000 persons","0.18 %","29.1 per 100k persons",30,"Does not have access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Dominican Republic","Upper middle income","September 23, 2021","14.2 %","0.38 per 1,000 persons","0.28 %","8.4 per 100k persons",1162,"Has access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"East Timor","Lower middle income","No tests reported","Insufficient data","Insufficient data","1.23 %","20.2 per 100k persons",356,"Does not have access to sequencing facilities","Insufficient testing data","Meets sequencing target","Insufficient testing data","Sustain - Sustain current sequencing levels"
"Ecuador","Upper middle income","February 01, 2022","31.2 %","0.24 per 1,000 persons","0.88 %","26.1 per 100k persons",4953,"Has access to sequencing facilities","Does not meet testing target","Meets sequencing target","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Egypt","Lower middle income","March 31, 2022","8.5 %","0.1 per 1,000 persons","0.27 %","0.8 per 100k persons",1829,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"El Salvador","Lower middle income","March 18, 2022","9.5 %","0.44 per 1,000 persons","0.48 %","7.1 per 100k persons",461,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Equatorial Guinea","Upper middle income","March 31, 2022","4.8 %","0.37 per 1,000 persons","0.23 %","1.4 per 100k persons",212,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Eritrea","Low income","December 21, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Estonia","High income","April 01, 2022","21.4 %","4.34 per 1,000 persons","1.6 %","542.1 per 100k persons",10199,"Has access to sequencing facilities","Does not meet testing target","Meets sequencing target","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Eswatini","Lower middle income","April 01, 2022","15.3 %","0.81 per 1,000 persons","0.93 %","41.6 per 100k persons",548,"Does not have access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ethiopia","Low income","April 01, 2022","11.6 %","0.06 per 1,000 persons","0.22 %","0.5 per 100k persons",617,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Faroe Islands","High income","February 27, 2022","No cases reported","32.7 per 1,000 persons","0 %","2 per 100k persons",42,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Fiji","Upper middle income","April 01, 2022","13.8 %","1.43 per 1,000 persons","0.8 %","57 per 100k persons",531,"Does not have access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Finland","High income","April 01, 2022","12.2 %","3.2 per 1,000 persons","2.39 %","347.3 per 100k persons",28980,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"France","High income","April 01, 2022","11 %","8.11 per 1,000 persons","1.04 %","326.7 per 100k persons",256938,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"French Polynesia","High income","September 07, 2020","Insufficient data","Insufficient data","0.15 %","29.4 per 100k persons",110,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Gabon","Upper middle income","March 31, 2022","3 %","1.18 per 1,000 persons","1.4 %","17.2 per 100k persons",952,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Georgia","Upper middle income","June 16, 2021","8.7 %","2.75 per 1,000 persons","0.12 %","42.1 per 100k persons",1762,"Has access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Germany","High income","March 29, 2022","25.5 %","2.3 per 1,000 persons","2.45 %","539.9 per 100k persons",522840,"Has access to sequencing facilities","Does not meet testing target","Meets sequencing target","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ghana","Lower middle income","March 31, 2022","4.9 %","0.13 per 1,000 persons","2.87 %","6.4 per 100k persons",3107,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Gibraltar","High income","No tests reported","Insufficient data","Insufficient data","16.14 %","6066.9 per 100k persons",2749,"Does not have access to sequencing facilities","Insufficient testing data","Meets sequencing target","Insufficient testing data","Sustain - Sustain current sequencing levels"
"Greece","High income","April 01, 2022","4.1 %","17.62 per 1,000 persons","0.45 %","119.1 per 100k persons",16439,"Has access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Greenland","High income","August 25, 2021","No cases reported","4.19 per 1,000 persons","0 %","0 per 100k persons",0,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Grenada","Upper middle income","January 23, 2022","11.6 %","2.85 per 1,000 persons","0.37 %","46 per 100k persons",58,"Does not have access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guam","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","325.5 per 100k persons",629,"Does not have access to sequencing facilities","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Guatemala","Upper middle income","April 01, 2022","20 %","0.48 per 1,000 persons","0.22 %","7.7 per 100k persons",1814,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Guinea","Low income","March 24, 2022","6.3 %","0.06 per 1,000 persons","1.67 %","2 per 100k persons",530,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guinea-Bissau","Low income","March 31, 2022","6.4 %","0.1 per 1,000 persons","0 %","0 per 100k persons",48,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guyana","Upper middle income","December 28, 2021","8.9 %","1.52 per 1,000 persons","0.1 %","6.6 per 100k persons",66,"Does not have access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Haiti","Low income","No tests reported","Insufficient data","Insufficient data","0.87 %","1.3 per 100k persons",186,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Honduras","Lower middle income","December 22, 2021","31.6 %","0.23 per 1,000 persons","0.09 %","2 per 100k persons",231,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Hong Kong SAR, China","High income","March 29, 2022","No cases reported","12.17 per 1,000 persons","0.18 %","26.7 per 100k persons",4611,"Has access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Hungary","High income","April 01, 2022","18.4 %","1.86 per 1,000 persons","0.01 %","1.2 per 100k persons",548,"Has access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iceland","High income","April 01, 2022","12.4 %","11.31 per 1,000 persons","2.41 %","1146.4 per 100k persons",9812,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"India","Lower middle income","April 01, 2022","5.7 %","1.08 per 1,000 persons","0.43 %","9.5 per 100k persons",158831,"Has access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Indonesia","Upper middle income","April 01, 2022","5.4 %","0.83 per 1,000 persons","0.44 %","7.1 per 100k persons",22455,"Has access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iran","Upper middle income","April 01, 2022","14.5 %","1.19 per 1,000 persons","0.01 %","0.7 per 100k persons",1150,"Has access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iraq","Upper middle income","April 01, 2022","14.3 %","0.71 per 1,000 persons","0.01 %","0.5 per 100k persons",422,"Has access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ireland","High income","April 01, 2022","15.7 %","4.34 per 1,000 persons","4.25 %","1051.3 per 100k persons",62808,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Isle of Man","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Israel","High income","January 23, 2022","4.6 %","12.57 per 1,000 persons","1.55 %","513.8 per 100k persons",58095,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Italy","High income","April 01, 2022","7.3 %","6.82 per 1,000 persons","0.75 %","137.2 per 100k persons",108402,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ivory Coast","Lower middle income","April 01, 2022","4 %","0.1 per 1,000 persons","0.39 %","0.6 per 100k persons",670,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Jamaica","Upper middle income","December 26, 2021","12.9 %","0.52 per 1,000 persons","0.89 %","26.8 per 100k persons",954,"Does not have access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Japan","High income","April 01, 2022","19.3 %","0.67 per 1,000 persons","3.21 %","154.6 per 100k persons",235253,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Jordan","Upper middle income","December 27, 2021","10.7 %","2.75 per 1,000 persons","0.07 %","6.9 per 100k persons",1404,"Has access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kazakhstan","Upper middle income","May 28, 2021","4.8 %","2.65 per 1,000 persons","0.03 %","1.8 per 100k persons",584,"Has access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kenya","Lower middle income","April 01, 2022","9.4 %","0.1 per 1,000 persons","2.78 %","9.5 per 100k persons",8199,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kiribati","Lower middle income","No tests reported","Insufficient data","Insufficient data","0 %","Insufficient data",0,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Kosovo","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Does not have access to sequencing facilities","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Kuwait","High income","March 10, 2022","6.9 %","3.87 per 1,000 persons","0.09 %","8.6 per 100k persons",451,"Has access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
