"name","code","population_size","date_tests_last_reported","rept_tests_within_last_6_months","days_since_tests_reported","cases_in_last_year_smoothed_truncated","tests_in_last_year_smoothed","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","cases_in_last_year","sequences_in_last_year","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","dx_testing_capacity","ngs_capacity","sequencing_capacity","sars_cov_2_sequencing","world_bank_economies","archetype"
"Belarus","BLR",9442867,"February 17, 2022",TRUE,0,569369,7469313,0.076227760170179,2.1657181958807,587611,105,0.02,1.112,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Leverage"
"Belgium","BEL",11632334,"February 17, 2022",TRUE,0,2708576,22265731,0.121647746485395,5.26333069367783,2740636,79798,2.91,686.002,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Belize","BLZ",404915,"February 15, 2022",TRUE,2,43335,406543,0.106593890437174,2.79853376471398,43780,449,1.03,110.887,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Upper middle income","Strengthen"
"Benin","BEN",12451031,"January 25, 2022",TRUE,23,3226,199153,0.016198601075555,0.176641929186413,21424,618,2.88,4.963,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Lower middle income","Strengthen"
"Bermuda","BMU",62092,"February 15, 2022",TRUE,2,0,607069,0,26.8258506407424,10619,89,0.84,143.336,"Insufficient data",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Insufficient Data"
"Bhutan","BTN",779900,"February 14, 2022",TRUE,3,6857,1102720,0.00621826030179919,3.91340762296827,7817,0,0,0,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Connect"
"Bolivia","BOL",11832936,"January 02, 2022",TRUE,46,374779,2418544,0.154960587857819,0.643451230290424,648594,127,0.02,1.073,"Has not demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Test"
"Bosnia and Herzegovina","BIH",3263459,"February 17, 2022",TRUE,0,238670,761608,0.31337643512148,0.635963809897584,240244,1295,0.54,39.682,"Has not demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","Upper middle income","Test"
"Botswana","BWA",2397240,"January 27, 2022",TRUE,21,223348,1404887,0.158979334280978,1.72137147366151,236111,2823,1.2,117.76,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","Upper middle income","Strengthen"
"Brazil","BRA",213993441,"February 17, 2022",TRUE,0,17750849,45910694,0.386638655473167,0.591754398955919,17828916,101676,0.57,47.514,"Has not demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","Upper middle income","Test"
"British Virgin Islands","VGB",30423,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,5883,166,2.82,545.64,"Insufficient data",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Insufficient Data"
"Brunei","BRN",441532,"December 14, 2021",TRUE,65,15220,573907,0.0265199762330831,4.33428491590578,27414,730,2.66,165.333,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Bulgaria","BGR",6896655,"January 02, 2022",TRUE,46,521477,5943948,0.0877324296915114,2.65680279771291,825850,11702,1.42,169.676,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","Upper middle income","Strengthen"
"Burkina Faso","BFA",21497097,"February 17, 2022",TRUE,0,9139,167427,0.0545849833061573,0.021944415136059,9071,86,0.95,0.4,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","Low income","Strengthen"
"Burundi","BDI",12255429,"February 15, 2022",TRUE,2,36065,1275648,0.0282719057294802,0.293913550365592,36052,63,0.17,0.514,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Low income","Connect"
"Cambodia","KHM",16946446,"February 16, 2022",TRUE,1,123307,2394662,0.0514924444451868,0.392410898272575,124304,2378,1.91,14.032,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","Lower middle income","Strengthen"
"Cameroon","CMR",27224262,"February 11, 2022",TRUE,6,86265,1491151,0.0578512840081253,0.15517221643406,87009,409,0.47,1.502,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Leverage"
"Canada","CAN",38067913,"February 17, 2022",TRUE,0,2375396,34414909,0.0690222949594317,2.49820947267787,2390183,197668,8.27,519.251,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Cape Verde","CPV",561901,"February 17, 2022",TRUE,0,41110,334254,0.12299030078922,1.64705824381591,41008,196,0.48,34.882,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Lower middle income","Strengthen"
"Cayman Islands","CYM",66498,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,18309,77,0.42,115.793,"Insufficient data",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Insufficient Data"
"Central African Republic","CAF",4919987,"February 08, 2022",TRUE,9,9070,46036,0.1970197236945,0.0265494789413888,9190,44,0.48,0.894,"Has not demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Low income","Test"
"Chad","TCD",16914985,"February 09, 2022",TRUE,8,3556,109992,0.0323296239726526,0.0186005925565161,3492,32,0.92,0.189,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Low income","Strengthen"
"Chile","CHL",19212362,"February 02, 2022",TRUE,15,1454003,21440779,0.0678148401231131,3.17737762650216,1963238,19185,0.98,99.858,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"China","CHN",1444216102,"June 24, 2020",FALSE,603,0,0,NaN,NaN,17569,508,2.89,0.035,"Insufficient data",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","Upper middle income","Insufficient Data"
"Colombia","COL",51265841,"February 16, 2022",TRUE,1,3828622,24973037,0.153310228147261,1.34463925971454,3827442,13036,0.34,25.428,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Leverage"
"Comoros","COM",888456,"November 27, 2020",FALSE,447,0,0,NaN,NaN,4599,11,0.24,1.238,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Insufficient Data"
"Costa Rica","CRI",5139053,"February 16, 2022",TRUE,1,566542,2974104,0.190491657319314,1.59957403552931,578435,2478,0.43,48.219,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","Upper middle income","Strengthen"
"Croatia","HRV",4081657,"February 16, 2022",TRUE,1,782815,3158074,0.247877345496021,2.10773630554119,793532,22937,2.89,561.953,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Cuba","CUB",11317498,"February 17, 2022",TRUE,0,1023086,10779169,0.0949132535170383,2.60721902207237,1022716,0,0,0,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Connect"
"Curaçao","CUW",164796,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,33950,1214,3.58,736.668,"Insufficient data",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Insufficient Data"
"Cyprus","CYP",896005,"July 11, 2021",FALSE,221,51973,7045990,0.00737625230805039,39.7116029510396,267217,1,0,0.112,"Insufficient data",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Insufficient Data"
"Czech Republic","CZE",10724553,"February 17, 2022",TRUE,0,2344172,46866188,0.0500184055933886,11.9899631215327,2356042,27073,1.15,252.439,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Democratic Republic of the Congo","COD",92377986,"February 17, 2022",TRUE,0,61491,828627,0.0742082987882364,0.0253482091413016,61232,364,0.59,0.394,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","Low income","Strengthen"
"Denmark","DNK",5813302,"December 30, 2021",TRUE,49,586950,91344485,0.00642567528844243,49.438250684113,2277802,299010,13.13,5143.548,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Djibouti","DJI",1002197,"February 17, 2022",TRUE,0,9546,167582,0.0569631583344273,0.46470522988187,9529,431,4.52,43.006,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Lower middle income","Strengthen"
"Dominica","DMA",72172,"December 28, 2021",TRUE,51,6543,113615,0.0575892267746336,4.97787416754294,10618,24,0.23,33.254,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Upper middle income","Strengthen"
"Dominican Republic","DOM",10953714,"September 23, 2021",TRUE,147,126817,897608,0.141283277332644,0.374407693642467,339152,1002,0.3,9.148,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Leverage"
"East Timor","TLS",1343875,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,22036,313,1.42,23.291,"Insufficient data",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Lower middle income","Insufficient Data"
"Ecuador","ECU",17888474,"February 01, 2022",TRUE,16,475756,1531374,0.310672637774966,0.246584725850582,540706,3823,0.71,21.371,"Has not demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","Upper middle income","Test"
"Egypt","EGY",104258327,"February 17, 2022",TRUE,0,282929,3823019,0.0740066947090768,0.102351365699907,287693,886,0.31,0.85,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Leverage"
"El Salvador","SLV",6518500,"February 14, 2022",TRUE,3,84555,961213,0.0879669750617189,0.406022243905736,89412,368,0.41,5.645,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Leverage"
"Equatorial Guinea","GNQ",1449891,"February 13, 2022",TRUE,4,10182,189006,0.0538713056728358,0.370097828045084,10176,24,0.24,1.655,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Connect"
"Eritrea","ERI",3601462,"December 21, 2020",FALSE,423,0,0,NaN,NaN,7054,0,0,0,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Low income","Insufficient Data"
"Estonia","EST",1325188,"February 14, 2022",TRUE,3,372668,2137087,0.174381295660869,4.41223276315925,387641,8317,2.15,627.609,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Eswatini","SWZ",1172369,"February 17, 2022",TRUE,0,52302,340517,0.153595855713518,0.804244213509684,52252,486,0.93,41.455,"Has not demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Lower middle income","Test"
"Ethiopia","ETH",117876226,"February 17, 2022",TRUE,0,320643,2389339,0.134197365882363,0.0569407314165769,318667,497,0.16,0.422,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Low income","Connect"
"Faroe Islands","FRO",49053,"February 17, 2022",TRUE,0,0,542238,0,30.3180318702824,29913,3,0.01,6.116,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Insufficient Data"
"Fiji","FJI",902899,"December 29, 2021",TRUE,50,53221,443548,0.119989268354271,1.55670204402516,63487,517,0.81,57.26,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Upper middle income","Strengthen"
"Finland","FIN",5548361,"September 15, 2021",TRUE,155,84480,3834985,0.022028769343296,3.24934568004792,548604,22065,4.02,397.685,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"France","FRA",67422000,"February 17, 2022",TRUE,0,18753923,193378743,0.0969802715079185,8.11662798882351,18914965,170998,0.9,253.623,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"French Polynesia","PYF",282534,"September 07, 2020",FALSE,528,0,0,NaN,NaN,39939,35,0.09,12.388,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Insufficient Data"
"Gabon","GAB",2278829,"February 17, 2022",TRUE,0,34763,1079810,0.0321936266565414,1.32901328016345,34360,352,1.02,15.447,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","Upper middle income","Strengthen"
"Georgia","GEO",3979773,"June 16, 2021",FALSE,246,90565,1182052,0.0766167647446982,2.42891722729309,1244852,1323,0.11,33.243,"Insufficient data",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","Upper middle income","Insufficient Data"
"Germany","DEU",83900471,"February 08, 2022",TRUE,9,9319669,62010595,0.150291559047289,2.06162826309968,10946676,371219,3.39,442.452,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Ghana","GHA",31732128,"February 16, 2022",TRUE,1,82021,1446589,0.0566995877889297,0.127546665408766,79949,1769,2.21,5.575,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","Lower middle income","Strengthen"
"Gibraltar","GIB",33691,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,10566,2193,20.76,6509.157,"Insufficient data",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Insufficient Data"
"Greece","GRC",10370747,"February 17, 2022",TRUE,0,2026040,57556945,0.0352006174059447,15.1290665138609,2080762,11737,0.56,113.174,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Greenland","GRL",56868,"August 25, 2021",TRUE,176,0,37777,0,3.45184576023392,11517,0,0,0,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Insufficient Data"
"Grenada","GRD",113015,"January 23, 2022",TRUE,25,11194,99943,0.112003842190048,2.57857529864032,13304,52,0.39,46.012,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Upper middle income","Strengthen"
"Guam","GUM",NaN,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Insufficient Data"
"Guatemala","GTM",18249868,"February 16, 2022",TRUE,1,571208,2913401,0.196062265373012,0.445519119666511,580377,1229,0.21,6.734,"Has not demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Test"
"Guinea","GIN",13497237,"February 11, 2022",TRUE,6,21371,282910,0.0755399243575696,0.059508058860624,21266,176,0.83,1.304,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Low income","Strengthen"
"Guinea-Bissau","GNB",2015490,"February 17, 2022",TRUE,0,4939,73127,0.067540033093112,0.101802817685711,4892,0,0,0,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Low income","Connect"
"Guyana","GUY",790329,"December 28, 2021",TRUE,51,31024,361704,0.0857717912989627,1.44983746126929,54224,52,0.1,6.58,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Connect"
"Haiti","HTI",11541683,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,17956,64,0.36,0.555,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Low income","Insufficient Data"
"Honduras","HND",10062994,"December 22, 2021",TRUE,57,218361,705929,0.309324308818592,0.229163873518685,242180,98,0.04,0.974,"Has not demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Test"
"Hong Kong SAR, China","HKG",7552800,"February 08, 2022",TRUE,9,0,28200871,0,10.4780523165627,9530,1485,15.58,19.662,"Insufficient data",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Insufficient Data"
"Hungary","HUN",9634162,"February 17, 2022",TRUE,0,1326767,7135721,0.185933138361211,2.02380129895913,1347774,116,0.01,1.204,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Leverage"
"Iceland","ISL",368792,"February 08, 2022",TRUE,9,73488,1219470,0.0602622450736795,9.96144389351326,93720,4379,4.67,1187.39,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"India","IND",1393409033,"February 17, 2022",TRUE,0,31775209,545718781,0.0582263431391781,1.08341711179475,31830034,102075,0.32,7.326,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Leverage"
"Indonesia","IDN",276361788,"February 17, 2022",TRUE,0,3633314,71179519,0.0510443741548745,0.712962594952976,3722400,17002,0.46,6.152,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Leverage"
"Iran","IRN",85028760,"February 14, 2022",TRUE,3,5311886,36140527,0.146978653631697,1.17884993351533,5352034,273,0.01,0.321,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Leverage"
"Iraq","IRQ",41179351,"February 15, 2022",TRUE,2,1634192,11504935,0.14204269732945,0.783640451060679,1632894,254,0.02,0.617,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Leverage"
"Ireland","IRL",4982904,"February 17, 2022",TRUE,0,1051543,7870233,0.133610148517839,4.3666023069625,1048578,48878,4.66,980.914,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Isle of Man","IMN",85410,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,21820,0,0,0,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Insufficient Data"
"Israel","ISR",9291000,"January 23, 2022",TRUE,25,1593816,34604347,0.0460582596747166,11.6551881975394,2773239,43066,1.55,463.524,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Italy","ITA",60367471,"February 17, 2022",TRUE,0,9434989,145036405,0.0650525569769879,6.57206201744286,9571741,85332,0.89,141.354,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Ivory Coast","CIV",27053629,"February 17, 2022",TRUE,0,50136,1001432,0.0500643079110713,0.10401278774238,49785,243,0.49,0.898,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Connect"
"Jamaica","JAM",2973462,"December 26, 2021",TRUE,53,73528,513809,0.143103760346744,0.550874597277839,107361,523,0.49,17.589,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Connect"
"Japan","JPN",126050796,"February 15, 2022",TRUE,2,3581415,27096232,0.132173912594194,0.586959202179026,3829692,164010,4.28,130.114,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Jordan","JOR",10269022,"December 27, 2021",TRUE,52,707619,9197972,0.0769320671991609,2.8528380210834,1186273,671,0.06,6.534,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Leverage"
"Kazakhstan","KAZ",18994958,"May 28, 2021",FALSE,265,186988,4518371,0.0413839412478524,2.33624538593228,1130566,393,0.03,2.069,"Insufficient data",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Insufficient Data"
"Kenya","KEN",54985702,"February 17, 2022",TRUE,0,219617,2060880,0.106564671402508,0.105005422538961,219282,3630,1.66,6.602,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","Lower middle income","Strengthen"
"Kiribati","KIR",121388,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,2757,0,0,NaN,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Insufficient Data"
"Kosovo","XKX",NaN,"February 16, 2022",TRUE,1,0,1465678,0,NaN,NaN,NaN,NaN,NaN,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Insufficient Data"
"Kuwait","KWT",4328553,"February 14, 2022",TRUE,3,425750,5665377,0.0751494560732675,3.63417954154011,428948,306,0.07,7.069,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Leverage"
"Kyrgyzstan","KGZ",6628347,"June 23, 2021",FALSE,239,31856,2395230,0.0132997666194896,2.8460567778364,114525,100,0.09,1.509,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Insufficient Data"
"Laos","LAO",7379358,"July 06, 2021",FALSE,226,2311,197067,0.0117269761045736,0.190736087774586,140308,0,0,0,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Insufficient Data"
"Latvia","LVA",1866934,"January 24, 2022",TRUE,24,265491,4584970,0.0579046318732729,7.06702076500037,478248,11644,2.43,623.696,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Lebanon","LBN",6769151,"June 23, 2021",FALSE,239,205021,1928012,0.106338031091093,2.18986512195815,689129,683,0.1,10.09,"Insufficient data",2,"4+ NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Insufficient Data"
"Lesotho","LSO",2159067,"February 16, 2022",TRUE,1,22338,339662,0.0657653785233556,0.434444828159574,22059,5,0.02,0.232,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Connect"
"Liberia","LBR",5180208,"September 26, 2021",TRUE,144,3945,72426,0.0544693894457791,0.0639245466870022,5375,77,1.43,1.486,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Low income","Strengthen"
"Libya","LBY",6958538,"February 17, 2022",TRUE,0,345749,1669869,0.207051571111267,0.665839551978436,352597,45,0.01,0.647,"Has not demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Test"
