"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Bangladesh","Lower middle income","October 30, 2022","9.9 %","0.08 per 1,000 persons","0.54 %","1.5 per 100k persons",7291,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Barbados","High income","October 14, 2022","22.3 %","3.82 per 1,000 persons","0.15 %","45.4 per 100k persons",222,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Belarus","Upper middle income","July 06, 2022","9.6 %","1.73 per 1,000 persons","0.06 %","2.6 per 100k persons",520,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Belgium","High income","October 28, 2022","22.7 %","3.4 per 1,000 persons","3.04 %","847.6 per 100k persons",165601,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Belize","Upper middle income","June 10, 2022","12.7 %","3 per 1,000 persons","1.59 %","164.3 per 100k persons",1030,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Benin","Lower middle income","January 25, 2022","Insufficient data","Insufficient data","15.53 %","3.5 per 100k persons",1250,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bermuda","High income","October 20, 2022","No cases reported","19.11 per 1,000 persons","1.28 %","252.3 per 100k persons",233,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Bhutan","Lower middle income","March 01, 2022","1.9 %","5.75 per 1,000 persons","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bolivia","Lower middle income","January 02, 2022","21.8 %","0.6 per 1,000 persons","0.02 %","0.7 per 100k persons",345,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bosnia and Herzegovina","Upper middle income","October 31, 2022","34.6 %","0.36 per 1,000 persons","0.6 %","27.2 per 100k persons",1456,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Botswana","Upper middle income","May 18, 2022","25.6 %","0.99 per 1,000 persons","2.1 %","110.9 per 100k persons",4575,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Brazil","Upper middle income","August 17, 2022","80 %","0.25 per 1,000 persons","0.67 %","40.7 per 100k persons",187199,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"British Virgin Islands","High income","No tests reported","Insufficient data","Insufficient data","2.18 %","319.2 per 100k persons",195,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Brunei","High income","December 14, 2021","1.5 %","8.5 per 1,000 persons","1.75 %","876.2 per 100k persons",3988,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Bulgaria","Upper middle income","November 01, 2022","13 %","2.06 per 1,000 persons","1.57 %","154.9 per 100k persons",20208,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Burkina Faso","Low income","March 09, 2022","8.9 %","0.02 per 1,000 persons","0.32 %","0.1 per 100k persons",664,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Burundi","Low income","October 18, 2022","2.9 %","0.25 per 1,000 persons","0.31 %","0.7 per 100k persons",157,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Cambodia","Lower middle income","October 24, 2022","4 %","0.08 per 1,000 persons","11.2 %","12.9 per 100k persons",3654,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cameroon","Lower middle income","August 25, 2022","1.6 %","0.15 per 1,000 persons","2.93 %","2.2 per 100k persons",1305,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Canada","High income","October 28, 2022","13.5 %","1.45 per 1,000 persons","8.59 %","594.6 per 100k persons",413566,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cape Verde","Lower middle income","October 18, 2022","13.2 %","0.93 per 1,000 persons","1.84 %","74.9 per 100k persons",694,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cayman Islands","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",101,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Central African Republic","Low income","October 31, 2022","9.2 %","0.02 per 1,000 persons","1.28 %","0.8 per 100k persons",110,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Chad","Low income","October 31, 2022","4.7 %","0.01 per 1,000 persons","1.35 %","0.2 per 100k persons",49,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Chile","High income","October 31, 2022","13.5 %","3.25 per 1,000 persons","0.68 %","106.3 per 100k persons",37023,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"China","Upper middle income","June 24, 2020","Insufficient data","Insufficient data","0.08 %","0.1 per 100k persons",2493,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Colombia","Upper middle income","October 27, 2022","13.1 %","0.54 per 1,000 persons","0.94 %","23.5 per 100k persons",23247,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Comoros","Lower middle income","July 06, 2022","9.1 %","0.2 per 1,000 persons","0.62 %","3.3 per 100k persons",46,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Costa Rica","Upper middle income","June 01, 2022","16.2 %","1.92 per 1,000 persons","0.99 %","108.9 per 100k persons",7517,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Croatia","High income","October 30, 2022","35.4 %","1.48 per 1,000 persons","3.54 %","681.1 per 100k persons",38648,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cuba","Upper middle income","October 17, 2022","4.4 %","0.92 per 1,000 persons","0.34 %","4.8 per 100k persons",1600,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Curaçao","High income","No tests reported","Insufficient data","Insufficient data","4.09 %","607.3 per 100k persons",2086,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Cyprus","High income","July 11, 2021","Insufficient data","Insufficient data","0.14 %","71.7 per 100k persons",1372,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Czech Republic","High income","November 01, 2022","15 %","4.12 per 1,000 persons","1.54 %","351.5 per 100k persons",53504,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Democratic Republic of the Congo","Low income","October 31, 2022","4.8 %","0.02 per 1,000 persons","0.73 %","0.3 per 100k persons",1303,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Denmark","High income","October 28, 2022","7.5 %","18.86 per 1,000 persons","13.32 %","6667.1 per 100k persons",591504,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Djibouti","Lower middle income","September 20, 2022","1.9 %","0.37 per 1,000 persons","20.7 %","40.8 per 100k persons",832,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Dominica","Upper middle income","December 28, 2021","6 %","7.4 per 1,000 persons","0.18 %","27.5 per 100k persons",39,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Dominican Republic","Upper middle income","October 14, 2022","18.3 %","0.38 per 1,000 persons","0.39 %","9.3 per 100k persons",1889,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"East Timor","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.03 %","0.1 per 100k persons",357,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Ecuador","Upper middle income","February 01, 2022","41.1 %","0.33 per 1,000 persons","0.87 %","23.8 per 100k persons",7925,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Egypt","Lower middle income","August 15, 2022","2.4 %","0.26 per 1,000 persons","0.8 %","1.3 per 100k persons",2884,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"El Salvador","Lower middle income","August 30, 2022","6.7 %","0.63 per 1,000 persons","0.42 %","5.9 per 100k persons",611,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Equatorial Guinea","Upper middle income","October 31, 2022","2.6 %","0.29 per 1,000 persons","0.15 %","0.4 per 100k persons",214,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Eritrea","Low income","December 21, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Estonia","High income","October 25, 2022","29.2 %","2.98 per 1,000 persons","1.75 %","543.3 per 100k persons",14550,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Eswatini","Lower middle income","October 31, 2022","15.1 %","0.43 per 1,000 persons","2.01 %","45.4 per 100k persons",1054,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ethiopia","Low income","October 31, 2022","7.9 %","0.04 per 1,000 persons","0.07 %","0.1 per 100k persons",616,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Faroe Islands","High income","February 27, 2022","No cases reported","50.69 per 1,000 persons","0 %","0 per 100k persons",42,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Fiji","Upper middle income","October 27, 2022","7 %","0.71 per 1,000 persons","0 %","0 per 100k persons",531,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Finland","High income","October 27, 2022","28.5 %","2.06 per 1,000 persons","1.36 %","291.1 per 100k persons",38832,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"France","High income","May 17, 2022","18.7 %","9.08 per 1,000 persons","1.19 %","523.2 per 100k persons",505360,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"French Polynesia","High income","September 07, 2020","Insufficient data","Insufficient data","0.07 %","6.9 per 100k persons",110,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Gabon","Upper middle income","October 31, 2022","4.5 %","0.37 per 1,000 persons","0.55 %","3.1 per 100k persons",967,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Georgia","Upper middle income","June 16, 2021","Insufficient data","Insufficient data","0.17 %","49 per 100k persons",2389,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Germany","High income","October 20, 2022","46.7 %","2.21 per 1,000 persons","1.8 %","669.9 per 100k persons",813496,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ghana","Lower middle income","October 31, 2022","6.2 %","0.06 per 1,000 persons","3.57 %","4.3 per 100k persons",4221,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Gibraltar","High income","No tests reported","Insufficient data","Insufficient data","7.44 %","3219.4 per 100k persons",2749,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Greece","High income","October 25, 2022","6.1 %","18.94 per 1,000 persons","0.26 %","108 per 100k persons",22139,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Greenland","High income","August 31, 2022","No cases reported","5.75 per 1,000 persons","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Grenada","Upper middle income","September 23, 2022","13.2 %","2.8 per 1,000 persons","0.01 %","0.8 per 100k persons",58,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guam","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",923,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Guatemala","Upper middle income","November 01, 2022","16.8 %","0.49 per 1,000 persons","0.22 %","6.8 per 100k persons",2634,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Guinea","Low income","October 31, 2022","4.6 %","0.03 per 1,000 persons","5.16 %","2.7 per 100k persons",826,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guinea-Bissau","Low income","July 11, 2022","5.3 %","0.09 per 1,000 persons","0.04 %","0 per 100k persons",49,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guyana","Upper middle income","December 28, 2021","5 %","1.61 per 1,000 persons","0.23 %","10 per 100k persons",145,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Haiti","Low income","No tests reported","Insufficient data","Insufficient data","0.87 %","0.7 per 100k persons",442,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Honduras","Lower middle income","October 18, 2022","17.6 %","0.13 per 1,000 persons","0.08 %","0.6 per 100k persons",233,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Hong Kong SAR, China","High income","October 16, 2022","No cases reported","15.24 per 1,000 persons","0.37 %","94 per 100k persons",10220,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Hungary","High income","May 11, 2022","26 %","2.15 per 1,000 persons","0.01 %","1.2 per 100k persons",557,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iceland","High income","August 23, 2022","20.6 %","9.13 per 1,000 persons","0.95 %","490.5 per 100k persons",11641,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"India","Lower middle income","October 31, 2022","3.5 %","0.59 per 1,000 persons","1.15 %","8.4 per 100k persons",227020,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Indonesia","Upper middle income","October 31, 2022","3.5 %","0.64 per 1,000 persons","1.2 %","9.8 per 100k persons",38270,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iran","Upper middle income","September 20, 2022","8.8 %","0.68 per 1,000 persons","0.12 %","2.2 per 100k persons",2649,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iraq","Upper middle income","August 06, 2022","11.9 %","0.29 per 1,000 persons","0.15 %","1.4 per 100k persons",1273,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ireland","High income","October 28, 2022","26.4 %","2.62 per 1,000 persons","3.95 %","966.2 per 100k persons",93487,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Isle of Man","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Israel","High income","January 23, 2022","6.5 %","20.59 per 1,000 persons","3.31 %","1176.3 per 100k persons",138012,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Italy","High income","October 29, 2022","12.6 %","6.77 per 1,000 persons","0.41 %","130.8 per 100k persons",152160,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ivory Coast","Lower middle income","October 31, 2022","4.8 %","0.06 per 1,000 persons","0.32 %","0.3 per 100k persons",775,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Jamaica","Upper middle income","September 30, 2022","11.4 %","0.55 per 1,000 persons","3.07 %","68.3 per 100k persons",2460,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Japan","High income","October 31, 2022","39.3 %","1.13 per 1,000 persons","1.28 %","212.1 per 100k persons",449213,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Jordan","Upper middle income","July 27, 2022","15 %","2.05 per 1,000 persons","0.04 %","2.9 per 100k persons",1497,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kazakhstan","Upper middle income","May 28, 2021","Insufficient data","Insufficient data","0.17 %","4.1 per 100k persons",1422,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kenya","Lower middle income","October 31, 2022","7 %","0.06 per 1,000 persons","5.35 %","8.5 per 100k persons",11479,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kiribati","Lower middle income","No tests reported","Insufficient data","Insufficient data","3.96 %","103.6 per 100k persons",137,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Kosovo","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Kuwait","High income","March 10, 2022","7.1 %","5.27 per 1,000 persons","0.17 %","10.2 per 100k persons",810,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kyrgyzstan","Lower middle income","June 23, 2021","Insufficient data","Insufficient data","0.34 %","1.3 per 100k persons",326,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Laos","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.26 %","6.1 per 100k persons",477,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Latvia","High income","October 31, 2022","25.8 %","4.15 per 1,000 persons","1.1 %","435.5 per 100k persons",17769,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Lebanon","Upper middle income","June 23, 2021","Insufficient data","Insufficient data","0.1 %","10.2 per 100k persons",2438,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Lesotho","Lower middle income","October 31, 2022","5.1 %","0.32 per 1,000 persons","0.93 %","5.2 per 100k persons",252,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Liberia","Low income","September 26, 2021","Insufficient data","Insufficient data","1.51 %","0.6 per 100k persons",110,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Libya","Upper middle income","October 31, 2022","17.6 %","0.65 per 1,000 persons","0.02 %","0.5 per 100k persons",84,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Liechtenstein","High income","No tests reported","Insufficient data","Insufficient data","9.36 %","4032.5 per 100k persons",1706,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Lithuania","High income","October 31, 2022","27.8 %","3.13 per 1,000 persons","1.89 %","586.9 per 100k persons",40226,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Luxembourg","High income","October 20, 2022","25.5 %","3.83 per 1,000 persons","14.32 %","4875.1 per 100k persons",48406,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Macao SAR, China","High income","No tests reported","Insufficient data","Insufficient data","0.14 %","0.1 per 100k persons",1,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Madagascar","Low income","October 07, 2022","9.1 %","0.03 per 1,000 persons","0.35 %","0.3 per 100k persons",879,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Malawi","Low income","October 31, 2022","13.5 %","0.03 per 1,000 persons","0.86 %","1.1 per 100k persons",1250,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Malaysia","Upper middle income","June 16, 2021","Insufficient data","Insufficient data","0.96 %","68.3 per 100k persons",30106,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Maldives","Upper middle income","November 09, 2021","3.4 %","7.88 per 1,000 persons","0.72 %","134.8 per 100k persons",1294,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Mali","Low income","October 31, 2022","4.9 %","0.05 per 1,000 persons","0.63 %","0.5 per 100k persons",202,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Malta","High income","September 06, 2021","Insufficient data","Insufficient data","0.64 %","92.6 per 100k persons",893,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Marshall Islands","Upper middle income","No tests reported","Insufficient data","Insufficient data","0.15 %","55.3 per 100k persons",23,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mauritania","Lower middle income","October 31, 2022","5 %","0.31 per 1,000 persons","0.03 %","0.2 per 100k persons",58,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mauritius","High income","June 20, 2022","28.8 %","2.43 per 1,000 persons","1.62 %","301.9 per 100k persons",4615,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Mexico","Upper middle income","October 30, 2022","45.4 %","0.16 per 1,000 persons","1.14 %","29.6 per 100k persons",78478,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Micronesia","Lower middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Moldova","Lower middle income","June 13, 2021","Insufficient data","Insufficient data","0.21 %","16.6 per 100k persons",657,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Monaco","High income","No tests reported","Insufficient data","Insufficient data","0.17 %","54.8 per 100k persons",101,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mongolia","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.16 %","18 per 100k persons",1490,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Montenegro","Upper middle income","June 21, 2021","Insufficient data","Insufficient data","0.43 %","95.4 per 100k persons",918,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Morocco","Lower middle income","October 31, 2022","9 %","0.26 per 1,000 persons","0.3 %","2.6 per 100k persons",1415,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Mozambique","Low income","October 31, 2022","17.2 %","0.04 per 1,000 persons","0.47 %","1.1 per 100k persons",1332,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Myanmar","Lower middle income","October 30, 2022","2.9 %","0.23 per 1,000 persons","0.05 %","0.1 per 100k persons",106,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Namibia","Upper middle income","September 13, 2022","12.2 %","0.41 per 1,000 persons","1.42 %","23.4 per 100k persons",768,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Nauru","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Nepal","Lower middle income","October 31, 2022","12.2 %","0.15 per 1,000 persons","0.77 %","4.7 per 100k persons",3307,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Netherlands","High income","January 25, 2022","22 %","6.02 per 1,000 persons","1.1 %","398 per 100k persons",144424,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"New Caledonia","High income","September 07, 2021","Insufficient data","Insufficient data","0.01 %","3.1 per 100k persons",9,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"New Zealand","High income","October 31, 2022","51.7 %","2.02 per 1,000 persons","1.1 %","392.4 per 100k persons",24116,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
