"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Lebanon","Upper middle income","June 23, 2021","2.6 %","2 per 1,000 persons","0.07 %","5.8 per 100k persons",1431,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Lesotho","Lower middle income","May 01, 2022","6.1 %","0.47 per 1,000 persons","0.02 %","0.2 per 100k persons",23,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Liberia","Low income","September 26, 2021","8.6 %","0.06 per 1,000 persons","1.76 %","1.9 per 100k persons",111,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Libya","Upper middle income","May 01, 2022","19.9 %","0.65 per 1,000 persons","0 %","0.1 per 100k persons",46,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Liechtenstein","High income","No tests reported","Insufficient data","Insufficient data","8.32 %","3079.4 per 100k persons",1242,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Lithuania","High income","April 30, 2022","14 %","5.84 per 1,000 persons","3.58 %","1076.2 per 100k persons",38954,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Luxembourg","High income","April 28, 2022","10.8 %","6.9 per 1,000 persons","9.46 %","2543.3 per 100k persons",25502,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Macao SAR, China","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Madagascar","Low income","March 12, 2022","11.1 %","0.02 per 1,000 persons","0.25 %","0.2 per 100k persons",794,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Malawi","Low income","May 01, 2022","15.1 %","0.05 per 1,000 persons","1.17 %","3.1 per 100k persons",1191,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Malaysia","Upper middle income","June 16, 2021","6.4 %","2.66 per 1,000 persons","0.36 %","43.8 per 100k persons",15957,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Maldives","Upper middle income","November 09, 2021","6.4 %","8.86 per 1,000 persons","0.81 %","220.9 per 100k persons",1244,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Mali","Low income","May 01, 2022","4.2 %","0.06 per 1,000 persons","0.07 %","0.1 per 100k persons",73,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Malta","High income","September 06, 2021","1.8 %","6.01 per 1,000 persons","1.24 %","148 per 100k persons",893,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Marshall Islands","Upper middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mauritania","Lower middle income","April 18, 2022","6.3 %","0.39 per 1,000 persons","0.1 %","0.9 per 100k persons",51,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mauritius","High income","September 01, 2021","Insufficient data","0 per 1,000 persons","0.64 %","110.7 per 100k persons",1564,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Mexico","Upper middle income","May 01, 2022","36.9 %","0.2 per 1,000 persons","1.39 %","36.2 per 100k persons",59014,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Micronesia","Lower middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Moldova","Lower middle income","June 13, 2021","3 %","1.03 per 1,000 persons","0.19 %","12.4 per 100k persons",541,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Monaco","High income","No tests reported","Insufficient data","Insufficient data","0.94 %","222.7 per 100k persons",97,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Mongolia","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.1 %","25.7 per 100k persons",1067,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Montenegro","Upper middle income","June 21, 2021","5 %","1.75 per 1,000 persons","0.52 %","113.8 per 100k persons",746,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Morocco","Lower middle income","April 30, 2022","11.5 %","0.42 per 1,000 persons","0.06 %","1 per 100k persons",651,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Mozambique","Low income","May 01, 2022","19.6 %","0.07 per 1,000 persons","0.4 %","1.9 per 100k persons",1146,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Myanmar","Lower middle income","May 01, 2022","8.8 %","0.27 per 1,000 persons","0.02 %","0.1 per 100k persons",94,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Namibia","Upper middle income","May 01, 2022","17.8 %","0.67 per 1,000 persons","0.24 %","10 per 100k persons",298,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Nauru","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Nepal","Lower middle income","May 01, 2022","20.9 %","0.3 per 1,000 persons","0.28 %","6 per 100k persons",1824,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Netherlands","High income","January 25, 2022","17.7 %","3.2 per 1,000 persons","1.25 %","480.9 per 100k persons",115748,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"New Caledonia","High income","September 07, 2021","No cases reported","0.33 per 1,000 persons","0.01 %","3.1 per 100k persons",9,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
