"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Cambodia","Lower middle income","November 01, 2022","4.4 %","0.07 per 1,000 persons","10.42 %","11.1 per 100k persons",3670,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cameroon","Lower middle income","August 25, 2022","1.3 %","0.16 per 1,000 persons","3.78 %","2.3 per 100k persons",1373,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Canada","High income","November 21, 2022","15 %","1.32 per 1,000 persons","8.59 %","591.1 per 100k persons",429996,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cape Verde","Lower middle income","November 18, 2022","14 %","0.89 per 1,000 persons","1.99 %","82.6 per 100k persons",755,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cayman Islands","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",101,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Central African Republic","Low income","November 18, 2022","9.3 %","0.02 per 1,000 persons","1.3 %","0.8 per 100k persons",110,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Chad","Low income","November 17, 2022","5.6 %","0.01 per 1,000 persons","0.55 %","0.1 per 100k persons",49,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Chile","High income","November 21, 2022","14.6 %","3.13 per 1,000 persons","0.65 %","104 per 100k persons",38195,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"China","Upper middle income","June 24, 2020","Insufficient data","Insufficient data","0.06 %","0.1 per 100k persons",3209,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Colombia","Upper middle income","November 17, 2022","14.1 %","0.49 per 1,000 persons","0.89 %","21.3 per 100k persons",23637,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Comoros","Lower middle income","November 13, 2022","9.1 %","0.16 per 1,000 persons","0.45 %","2.4 per 100k persons",46,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Costa Rica","Upper middle income","June 01, 2022","17.5 %","2.01 per 1,000 persons","0.99 %","111 per 100k persons",7922,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Croatia","High income","November 20, 2022","34.2 %","1.3 per 1,000 persons","4.19 %","664.4 per 100k persons",39879,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cuba","Upper middle income","October 17, 2022","4.8 %","0.85 per 1,000 persons","0.35 %","4.7 per 100k persons",1600,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Curaçao","High income","No tests reported","Insufficient data","Insufficient data","4.07 %","607.3 per 100k persons",2139,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Cyprus","High income","July 11, 2021","Insufficient data","Insufficient data","0.12 %","63.5 per 100k persons",1372,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Czech Republic","High income","November 21, 2022","15.7 %","3.45 per 1,000 persons","1.44 %","329.9 per 100k persons",55354,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Democratic Republic of the Congo","Low income","November 18, 2022","5.1 %","0.02 per 1,000 persons","0.59 %","0.2 per 100k persons",1344,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Denmark","High income","November 18, 2022","9.2 %","15.34 per 1,000 persons","12.42 %","6040 per 100k persons",605534,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Djibouti","Lower middle income","September 20, 2022","2 %","0.37 per 1,000 persons","23.24 %","45.3 per 100k persons",884,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Dominica","Upper middle income","December 28, 2021","4.8 %","7.37 per 1,000 persons","0.12 %","16.5 per 100k persons",39,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Dominican Republic","Upper middle income","October 14, 2022","18.4 %","0.38 per 1,000 persons","0.47 %","10.2 per 100k persons",2103,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"East Timor","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.03 %","0.1 per 100k persons",357,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Ecuador","Upper middle income","February 01, 2022","46.6 %","0.4 per 1,000 persons","0.89 %","24 per 100k persons",8208,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Egypt","Lower middle income","August 15, 2022","2.3 %","0.26 per 1,000 persons","1 %","1.4 per 100k persons",3053,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"El Salvador","Lower middle income","August 30, 2022","6.6 %","0.66 per 1,000 persons","0.39 %","5 per 100k persons",611,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Equatorial Guinea","Upper middle income","November 17, 2022","2.7 %","0.28 per 1,000 persons","0.11 %","0.2 per 100k persons",214,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Eritrea","Low income","December 21, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Estonia","High income","November 15, 2022","31 %","2.67 per 1,000 persons","1.76 %","514.5 per 100k persons",14894,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Eswatini","Lower middle income","November 17, 2022","16.5 %","0.4 per 1,000 persons","1.83 %","41.2 per 100k persons",1054,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ethiopia","Low income","November 18, 2022","8.2 %","0.04 per 1,000 persons","0.08 %","0.1 per 100k persons",616,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Faroe Islands","High income","February 27, 2022","No cases reported","48.83 per 1,000 persons","0 %","0 per 100k persons",42,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Fiji","Upper middle income","November 17, 2022","7.4 %","0.67 per 1,000 persons","0 %","0 per 100k persons",531,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Finland","High income","November 17, 2022","31.4 %","1.94 per 1,000 persons","1.33 %","290.1 per 100k persons",40060,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"France","High income","May 17, 2022","20 %","9.77 per 1,000 persons","1.09 %","485 per 100k persons",519170,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"French Polynesia","High income","September 07, 2020","Insufficient data","Insufficient data","0.06 %","5.9 per 100k persons",110,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Gabon","Upper middle income","November 18, 2022","5.2 %","0.29 per 1,000 persons","0.63 %","3.1 per 100k persons",967,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Georgia","Upper middle income","June 16, 2021","Insufficient data","Insufficient data","0.18 %","46.4 per 100k persons",2466,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Germany","High income","November 17, 2022","49.8 %","2.08 per 1,000 persons","1.72 %","631.6 per 100k persons",829906,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ghana","Lower middle income","November 17, 2022","7.3 %","0.05 per 1,000 persons","3.5 %","4.2 per 100k persons",4393,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Gibraltar","High income","No tests reported","Insufficient data","Insufficient data","3.06 %","1208.8 per 100k persons",2749,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Greece","High income","November 15, 2022","6.9 %","17.27 per 1,000 persons","0.23 %","97.4 per 100k persons",22809,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Greenland","High income","August 25, 2021","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Grenada","Upper middle income","November 09, 2022","14.1 %","2.49 per 1,000 persons","0.01 %","0.8 per 100k persons",58,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guam","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",933,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Guatemala","Upper middle income","November 20, 2022","17 %","0.49 per 1,000 persons","0.28 %","8.4 per 100k persons",2973,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Guinea","Low income","November 06, 2022","4.7 %","0.03 per 1,000 persons","5.19 %","2.8 per 100k persons",841,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guinea-Bissau","Low income","July 11, 2022","5.1 %","0.09 per 1,000 persons","0.04 %","0 per 100k persons",49,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guyana","Upper middle income","December 28, 2021","3.9 %","1.58 per 1,000 persons","0.24 %","10 per 100k persons",145,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Haiti","Low income","No tests reported","Insufficient data","Insufficient data","0.95 %","0.7 per 100k persons",442,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Honduras","Lower middle income","November 17, 2022","17.8 %","0.13 per 1,000 persons","0.06 %","0.5 per 100k persons",233,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Hong Kong SAR, China","High income","November 06, 2022","No cases reported","16.05 per 1,000 persons","0.48 %","136 per 100k persons",13532,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Hungary","High income","May 11, 2022","27.3 %","1.91 per 1,000 persons","0.01 %","1.1 per 100k persons",593,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iceland","High income","August 23, 2022","22.7 %","9.01 per 1,000 persons","1.18 %","601 per 100k persons",12053,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"India","Lower middle income","November 21, 2022","3.8 %","0.54 per 1,000 persons","1.12 %","7.9 per 100k persons",230521,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Indonesia","Upper middle income","November 21, 2022","4 %","0.59 per 1,000 persons","1.26 %","11 per 100k persons",42170,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Iran","Upper middle income","September 20, 2022","9.3 %","0.62 per 1,000 persons","0.14 %","2.2 per 100k persons",3337,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iraq","Upper middle income","August 06, 2022","13.2 %","0.28 per 1,000 persons","0.14 %","1.2 per 100k persons",1281,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ireland","High income","November 21, 2022","28.9 %","2.22 per 1,000 persons","4.42 %","978.5 per 100k persons",96983,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Isle of Man","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Israel","High income","January 23, 2022","7.7 %","26.06 per 1,000 persons","3.31 %","1184.5 per 100k persons",143623,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Italy","High income","November 18, 2022","13.8 %","6.41 per 1,000 persons","0.38 %","123.4 per 100k persons",155986,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ivory Coast","Lower middle income","November 18, 2022","5.2 %","0.05 per 1,000 persons","0.72 %","0.7 per 100k persons",887,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Jamaica","Upper middle income","September 30, 2022","11.8 %","0.57 per 1,000 persons","2.99 %","64.8 per 100k persons",2460,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Japan","High income","November 21, 2022","41 %","1.19 per 1,000 persons","1.24 %","230.1 per 100k persons",472394,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Jordan","Upper middle income","July 27, 2022","15.7 %","1.98 per 1,000 persons","0.03 %","2.1 per 100k persons",1497,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kazakhstan","Upper middle income","May 28, 2021","Insufficient data","Insufficient data","0.23 %","5.1 per 100k persons",1689,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kenya","Lower middle income","November 18, 2022","7.7 %","0.06 per 1,000 persons","5.23 %","8.4 per 100k persons",11612,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kiribati","Lower middle income","No tests reported","Insufficient data","Insufficient data","3.96 %","103.6 per 100k persons",137,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Kosovo","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Kuwait","High income","March 10, 2022","8.6 %","5.66 per 1,000 persons","0.19 %","11.3 per 100k persons",874,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kyrgyzstan","Lower middle income","June 23, 2021","Insufficient data","Insufficient data","0.33 %","1.1 per 100k persons",326,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Laos","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.38 %","7.1 per 100k persons",557,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Latvia","High income","November 21, 2022","28.3 %","3.73 per 1,000 persons","0.94 %","360.3 per 100k persons",17769,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Lebanon","Upper middle income","June 23, 2021","Insufficient data","Insufficient data","0.08 %","8.1 per 100k persons",2438,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Lesotho","Lower middle income","November 17, 2022","5.4 %","0.31 per 1,000 persons","1.02 %","5.6 per 100k persons",271,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Liberia","Low income","September 26, 2021","Insufficient data","Insufficient data","1.5 %","0.6 per 100k persons",110,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Libya","Upper middle income","November 17, 2022","18.3 %","0.67 per 1,000 persons","0.03 %","0.5 per 100k persons",84,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Liechtenstein","High income","No tests reported","Insufficient data","Insufficient data","8.97 %","3692 per 100k persons",1793,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Lithuania","High income","November 18, 2022","31.5 %","2.64 per 1,000 persons","1.67 %","485.3 per 100k persons",40226,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Luxembourg","High income","November 16, 2022","27.5 %","3.56 per 1,000 persons","14.5 %","4861.6 per 100k persons",50560,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Macao SAR, China","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",1,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Madagascar","Low income","October 07, 2022","9.3 %","0.03 per 1,000 persons","0.3 %","0.2 per 100k persons",879,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Malawi","Low income","November 17, 2022","14.4 %","0.03 per 1,000 persons","0.86 %","1.1 per 100k persons",1250,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Malaysia","Upper middle income","June 16, 2021","Insufficient data","Insufficient data","1.05 %","72.6 per 100k persons",32598,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Maldives","Upper middle income","November 09, 2021","Insufficient data","Insufficient data","0.57 %","101.8 per 100k persons",1294,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Mali","Low income","November 18, 2022","4.9 %","0.04 per 1,000 persons","0.74 %","0.5 per 100k persons",217,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Malta","High income","September 06, 2021","Insufficient data","Insufficient data","0.45 %","63.8 per 100k persons",893,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Marshall Islands","Upper middle income","No tests reported","Insufficient data","Insufficient data","0.17 %","62.5 per 100k persons",26,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mauritania","Lower middle income","November 17, 2022","5 %","0.29 per 1,000 persons","0.03 %","0.1 per 100k persons",58,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mauritius","High income","November 13, 2022","33.9 %","1.42 per 1,000 persons","2.05 %","348.2 per 100k persons",5306,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Mexico","Upper middle income","November 15, 2022","47.2 %","0.15 per 1,000 persons","1.13 %","28.6 per 100k persons",80263,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Micronesia","Lower middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Moldova","Lower middle income","June 13, 2021","Insufficient data","Insufficient data","0.22 %","15.2 per 100k persons",657,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Monaco","High income","No tests reported","Insufficient data","Insufficient data","0.14 %","46.6 per 100k persons",101,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mongolia","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.2 %","19 per 100k persons",1566,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Montenegro","Upper middle income","June 21, 2021","Insufficient data","Insufficient data","0.4 %","81.3 per 100k persons",918,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Morocco","Lower middle income","November 17, 2022","9.8 %","0.25 per 1,000 persons","0.34 %","2.9 per 100k persons",1565,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Mozambique","Low income","November 18, 2022","18.4 %","0.04 per 1,000 persons","0.47 %","1.1 per 100k persons",1352,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Myanmar","Lower middle income","November 17, 2022","2.8 %","0.21 per 1,000 persons","0.04 %","0.1 per 100k persons",106,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Namibia","Upper middle income","September 13, 2022","13.8 %","0.4 per 1,000 persons","1.46 %","23.9 per 100k persons",783,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Nauru","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Nepal","Lower middle income","November 21, 2022","13.2 %","0.13 per 1,000 persons","0.75 %","4.4 per 100k persons",3337,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Netherlands","High income","January 25, 2022","24 %","6.28 per 1,000 persons","1.12 %","373.7 per 100k persons",148649,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"New Caledonia","High income","September 07, 2021","Insufficient data","Insufficient data","0.01 %","3.1 per 100k persons",9,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"New Zealand","High income","November 21, 2022","68.4 %","1.62 per 1,000 persons","1.18 %","438.8 per 100k persons",27581,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Nicaragua","Lower middle income","No tests reported","Insufficient data","Insufficient data","10.15 %","2.7 per 100k persons",867,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
