"country","code","population_size","world_bank_economies","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","sars_cov_2_binary"
"Kuwait","KWT",4271000,"High income",0.15,9.564,"Does not meet sequencing target"
"Kyrgyzstan","KGZ",6524000,"Lower middle income",0.14,1.614,"Does not meet sequencing target"
"Laos","LAO",NaN,"Lower middle income",0.13,3.767,"Does not meet sequencing target"
"Latvia","LVA",1886000,"High income",0.82,306.492,"Meets sequencing target"
"Lebanon","LBN",6825000,"Upper middle income",0.06,5.303,"Does not meet sequencing target"
"Lesotho","LSO",2142000,"Lower middle income",0.56,5.882,"Does not meet sequencing target"
"Liberia","LBR",5058000,"Low income",1.16,0.791,"Does not meet sequencing target"
"Libya","LBY",6871000,"Upper middle income",0,0.057,"Does not meet sequencing target"
"Liechtenstein","LIE",NaN,"High income",8.9,3434.935,"Meets sequencing target"
"Lithuania","LTU",2722000,"High income",2.89,948.859,"Meets sequencing target"
"Luxembourg","LUX",626000,"High income",13.31,4034.883,"Meets sequencing target"
"Macao SAR, China","MAC",NaN,"High income",0,0,"Does not meet sequencing target"
"Madagascar","MDG",27691000,"Low income",0.18,0.148,"Does not meet sequencing target"
"Malawi","MWI",19130000,"Low income",0.86,2.183,"Does not meet sequencing target"
"Malaysia","MYS",32366000,"Upper middle income",0.49,57.081,"Does not meet sequencing target"
"Maldives","MDV",541000,"Upper middle income",1.14,226.445,"Meets sequencing target"
"Mali","MLI",20251000,"Low income",0.07,0.053,"Does not meet sequencing target"
"Malta","MLT",442000,"High income",0.94,132.726,"Meets sequencing target"
"Marshall Islands","MHL",NaN,"Upper middle income",21.43,5.032,"Does not meet sequencing target"
"Mauritania","MRT",4650000,"Lower middle income",0.04,0.293,"Does not meet sequencing target"
"Mauritius","MUS",1272000,"High income",1.03,184.777,"Meets sequencing target"
"Mexico","MEX",128933000,"Upper middle income",1.24,33.507,"Meets sequencing target"
"Micronesia","FSM",NaN,"Lower middle income",0,0,"Does not meet sequencing target"
"Moldova","MDA",4034000,"Lower middle income",0.2,13.395,"Does not meet sequencing target"
"Monaco","MCO",NaN,"High income",0.52,139.17,"Meets sequencing target"
"Mongolia","MNG",NaN,"Lower middle income",0.08,20.545,"Does not meet sequencing target"
"Montenegro","MNE",628000,"Upper middle income",0.49,108.431,"Does not meet sequencing target"
"Morocco","MAR",36911000,"Lower middle income",0.08,1.494,"Does not meet sequencing target"
"Mozambique","MOZ",31255000,"Low income",0.3,1.424,"Does not meet sequencing target"
"Myanmar","MMR",54410000,"Lower middle income",0.01,0.109,"Does not meet sequencing target"
"Namibia","NAM",2541000,"Upper middle income",0.67,20.214,"Meets sequencing target"
"Nepal","NPL",29137000,"Lower middle income",0.76,8.677,"Does not meet sequencing target"
"Netherlands","NLD",17135000,"High income",1.23,467.586,"Meets sequencing target"
"New Caledonia","NCL",285000,"High income",0.01,3.123,"Does not meet sequencing target"
"New Zealand","NZL",4822000,"High income",1,263.289,"Meets sequencing target"
"Nicaragua","NIC",NaN,"Lower middle income",2.57,3.103,"Does not meet sequencing target"
"Niger","NER",24207000,"Low income",3.79,0.533,"Does not meet sequencing target"
"Nigeria","NGA",206140000,"Lower middle income",5.77,2.445,"Does not meet sequencing target"
"North Korea","PRK",NaN,"Low income",0,NaN,"Does not meet sequencing target"
"North Macedonia","MKD",2083000,"Upper middle income",0.14,10.419,"Does not meet sequencing target"
"Norway","NOR",5421000,"High income",3.54,853.15,"Meets sequencing target"
"Oman","OMN",5107000,"High income",0.18,4.212,"Does not meet sequencing target"
"Pakistan","PAK",220892000,"Lower middle income",0.37,0.941,"Does not meet sequencing target"
"Palau","PLW",NaN,"High income",0.67,NaN,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Panama","PAN",4315000,"High income",0.59,69.746,"Meets sequencing target"
"Papua New Guinea","PNG",8947000,"Lower middle income",9.14,27.667,"Meets sequencing target"
"Paraguay","PRY",7133000,"Upper middle income",0.6,19.225,"Meets sequencing target"
"Peru","PER",32972000,"Upper middle income",1.12,52.723,"Meets sequencing target"
"Philippines","PHL",109581000,"Lower middle income",0.52,10.744,"Meets sequencing target"
"Poland","POL",37847000,"High income",2.07,171.823,"Meets sequencing target"
"Portugal","PRT",10197000,"High income",0.61,256.296,"Meets sequencing target"
"Qatar","QAT",2881000,"High income",1.24,67.633,"Meets sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.45,4.95,"Does not meet sequencing target"
"Romania","ROU",19238000,"High income",0.63,60.781,"Meets sequencing target"
"Russia","RUS",145934000,"Upper middle income",0.08,7.11,"Does not meet sequencing target"
"Rwanda","RWA",12952000,"Low income",0.31,2.109,"Does not meet sequencing target"
"Saint Kitts and Nevis","KNA",53000,"High income",1.09,113.921,"Meets sequencing target"
"Saint Lucia","LCA",184000,"Upper middle income",0.48,56.399,"Does not meet sequencing target"
"Saint Vincent and the Grenadines","VCT",111000,"Upper middle income",2.44,183.339,"Meets sequencing target"
"Samoa","WSM",NaN,"Upper middle income",0,0,"Does not meet sequencing target"
"San Marino","SMR",34000,"High income",0,0,"Does not meet sequencing target"
"São Tomé and Príncipe","STP",219000,"Lower middle income",0.16,2.686,"Does not meet sequencing target"
"Saudi Arabia","SAU",34814000,"High income",0.02,0.139,"Does not meet sequencing target"
"Senegal","SEN",16744000,"Lower middle income",3.41,8.543,"Does not meet sequencing target"
"Serbia","SRB",8737000,"Upper middle income",0.05,9.678,"Does not meet sequencing target"
"Seychelles","SYC",98000,"High income",4.42,1292.084,"Meets sequencing target"
"Sierra Leone","SLE",7977000,"Low income",0.59,0.147,"Does not meet sequencing target"
"Singapore","SGP",5850000,"High income",1.12,283.189,"Meets sequencing target"
"Slovakia","SVK",5460000,"High income",1.81,590.795,"Meets sequencing target"
"Slovenia","SVN",2079000,"High income",6.24,2345.815,"Meets sequencing target"
"Solomon Islands","SLB",NaN,"Lower middle income",1.1,33.523,"Meets sequencing target"
"Somalia","SOM",15893000,"Low income",0,0,"Does not meet sequencing target"
"South Africa","ZAF",59309000,"Upper middle income",1.36,44.939,"Meets sequencing target"
"South Korea","KOR",51269000,"High income",0.29,102.543,"Does not meet sequencing target"
"South Sudan","SSD",11194000,"Low income",1.37,0.826,"Does not meet sequencing target"
"Spain","ESP",46755000,"High income",1.02,194.525,"Meets sequencing target"
"Sri Lanka","LKA",21413000,"Lower middle income",0.67,12.485,"Meets sequencing target"
"Sudan","SDN",43849000,"Low income",0.01,0.007,"Does not meet sequencing target"
"Suriname","SUR",NaN,"Upper middle income",1.04,103.583,"Meets sequencing target"
"Sweden","SWE",10099000,"High income",7.41,1042.366,"Meets sequencing target"
"Switzerland","CHE",8655000,"High income",3.14,1100.936,"Meets sequencing target"
"Syria","SYR",NaN,"Low income",0.29,0.487,"Does not meet sequencing target"
"Taiwan","TWN",23817000,"High income",0,0.478,"Does not meet sequencing target"
"Tajikistan","TJK",9538000,"Low income",0,0,"Does not meet sequencing target"
"Tanzania","TZA",NaN,"Lower middle income",0.01,0.003,"Does not meet sequencing target"
"Thailand","THA",69800000,"Upper middle income",0.44,27.069,"Does not meet sequencing target"
"The Bahamas","BHS",393000,"High income",0.79,46.61,"Meets sequencing target"
"The Gambia","GMB",2417000,"Low income",10.86,25.855,"Meets sequencing target"
"Togo","TGO",8279000,"Low income",2.23,6.169,"Does not meet sequencing target"
"Tonga","TON",NaN,"Upper middle income",0,0,"Does not meet sequencing target"
"Trinidad and Tobago","TTO",1399000,"High income",1.72,164.532,"Meets sequencing target"
"Tunisia","TUN",11819000,"Lower middle income",0.1,5.094,"Does not meet sequencing target"
"Turkey","TUR",84339000,"Upper middle income",0.87,99.289,"Meets sequencing target"
"Turks and Caicos Islands","TCA",NaN,"High income",1.29,124.917,"Meets sequencing target"
"Uganda","UGA",45741000,"Low income",0.35,0.641,"Does not meet sequencing target"
"Ukraine","UKR",43734000,"Lower middle income",0.02,1.16,"Does not meet sequencing target"
"United Arab Emirates","ARE",9890000,"High income",0,0,"Does not meet sequencing target"
"United Kingdom","GBR",67886000,"High income",12.6,3162.974,"Meets sequencing target"
"United States of America","USA",331003000,"High income",5.05,817.389,"Meets sequencing target"
"Uruguay","URY",3474000,"High income",0.02,2.783,"Does not meet sequencing target"
"Uzbekistan","UZB",33469000,"Lower middle income",0.01,0.05,"Does not meet sequencing target"
"Vanuatu","VUT",NaN,"Lower middle income",0,0,"Does not meet sequencing target"
"Venezuela","VEN",28436000,"Upper middle income",0.14,1.191,"Does not meet sequencing target"
"Vietnam","VNM",97339000,"Lower middle income",0.04,4.654,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Yemen","YEM",NaN,"Low income",0,0,"Does not meet sequencing target"
"Zambia","ZMB",18384000,"Lower middle income",0.3,2.701,"Does not meet sequencing target"
"Zimbabwe","ZWE",14863000,"Lower middle income",0.18,2.392,"Does not meet sequencing target"
