"country","code","population_size","world_bank_economies","date_tests_last_reported","days_since_tests_reported","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","cum_seq","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","dx_testing_binary","sars_cov_2_binary","ngs_capacity","facility_access","ngs_facility","archetype_orig","dx_archetype","sx_archetype","dx_testing_rec","sx_sequencing_rec","prev_dx","prev_sequ","seq_but_no_test_flag","TPR_pct","daily_tests_per_1000","pct_seq","seq_per_100k"
"Bermuda","BMU",62000,"High income","May 26, 2022",6,0,28.63,134,0.77,151.388,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","No cases reported","28.63 per 1,000 persons","0.77 %","151.4 per 100k persons"
"Bhutan","BTN",772000,"Lower middle income","March 01, 2022",92,0.0122,4.42,0,0,0,"Meets testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Sustain","Connect/Build","Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","1.2 %","4.42 per 1,000 persons","0 %","0 per 100k persons"
"Bolivia","BOL",11673000,"Lower middle income","January 02, 2022",150,0.1533,0.63,274,0.02,0.972,"Meets testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Sustain","Connect/Build","Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","15.3 %","0.63 per 1,000 persons","0.02 %","1 per 100k persons"
"Bosnia and Herzegovina","BIH",3281000,"Upper middle income","June 01, 2022",0,0.2935,0.5,1433,0.75,40.05,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","29.3 %","0.5 per 1,000 persons","0.75 %","40 per 100k persons"
"Botswana","BWA",2352000,"Upper middle income","May 18, 2022",14,0.2221,1.37,3540,1.23,129.482,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","22.2 %","1.37 per 1,000 persons","1.23 %","129.5 per 100k persons"
"Brazil","BRA",212559000,"Upper middle income","March 11, 2022",82,0.4111,0.51,145648,0.77,51.284,"Does not meet testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","41.1 %","0.51 per 1,000 persons","0.77 %","51.3 per 100k persons"
"British Indian Ocean Territory","IOT",NaN,"No income data","No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient testing data","Insufficient data",NaN,"Insufficient data",NaN,"Insufficient data","Insufficient data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics","Insufficient data","Insufficient data","no","Insufficient data","Insufficient data","Insufficient data","Insufficient data"
"British Virgin Islands","VGB",NaN,"High income","No tests reported",NaN,NaN,NaN,178,2.49,532.492,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","2.49 %","532.5 per 100k persons"
"Brunei","BRN",437000,"High income","December 14, 2021",169,0.028,6.23,1950,1.31,439.379,"Meets testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","2.8 %","6.23 per 1,000 persons","1.31 %","439.4 per 100k persons"
"Bulgaria","BGR",6948000,"Upper middle income","June 01, 2022",0,0.1039,2.83,15771,1.69,182.697,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","10.4 %","2.83 per 1,000 persons","1.69 %","182.7 per 100k persons"
"Burkina Faso","BFA",20903000,"Low income","March 09, 2022",84,0.0547,0.02,616,0.54,0.186,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","5.5 %","0.02 per 1,000 persons","0.54 %","0.2 per 100k persons"
"Burundi","BDI",11891000,"Low income","May 31, 2022",1,0.0294,0.29,63,0.15,0.441,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","2.9 %","0.29 per 1,000 persons","0.15 %","0.4 per 100k persons"
"Cambodia","KHM",16719000,"Lower middle income","May 31, 2022",1,0.0589,0.3,3082,2.62,16.31,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","5.9 %","0.3 per 1,000 persons","2.62 %","16.3 per 100k persons"
"Cameroon","CMR",26546000,"Lower middle income","May 27, 2022",5,0.0394,0.11,967,1.57,2.362,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","3.9 %","0.11 per 1,000 persons","1.57 %","2.4 per 100k persons"
"Canada","CAN",37742000,"High income","May 31, 2022",1,0.0924,1.98,319643,8.7,572.03,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","9.2 %","1.98 per 1,000 persons","8.7 %","572 per 100k persons"
"Cape Verde","CPV",556000,"Lower middle income","May 31, 2022",1,0.0981,1.31,410,1.21,55.526,"Meets testing target","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","9.8 %","1.31 per 1,000 persons","1.21 %","55.5 per 100k persons"
"Cayman Islands","CYM",NaN,"High income","No tests reported",NaN,NaN,NaN,101,0.19,70.679,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0.19 %","70.7 per 100k persons"
"Central African Republic","CAF",4830000,"Low income","May 27, 2022",5,0.1993,0.02,110,0.62,0.955,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","19.9 %","0.02 per 1,000 persons","0.62 %","1 per 100k persons"
"Chad","TCD",16426000,"Low income","May 31, 2022",1,0.0271,0.02,49,1.97,0.29,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","2.7 %","0.02 per 1,000 persons","1.97 %","0.3 per 100k persons"
"Chile","CHL",19116000,"High income","May 31, 2022",1,0.0975,3.41,26746,0.97,117.263,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","9.8 %","3.41 per 1,000 persons","0.97 %","117.3 per 100k persons"
"China","CHN",1439324000,"Upper middle income","June 24, 2020",707,NaN,NaN,2235,0.08,0.062,"Insufficient testing data","Does not meet sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","Insufficient data","Insufficient data","0.08 %","0.1 per 100k persons"
"Colombia","COL",50883000,"Upper middle income","May 26, 2022",6,0.1512,0.98,17341,0.53,27.802,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Strengthen/Leverage","no","15.1 %","0.98 per 1,000 persons","0.53 %","27.8 per 100k persons"
"Comoros","COM",870000,"Lower middle income","May 18, 2022",14,0.0683,0.2,34,0.66,3.152,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","6.8 %","0.2 per 1,000 persons","0.66 %","3.2 per 100k persons"
"Cook Islands","COK",NaN,"No income data","No tests reported",NaN,NaN,NaN,0,0,0,"Insufficient testing data","Does not meet sequencing target",NaN,"Insufficient data",NaN,"Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0 %","0 per 100k persons"
"Costa Rica","CRI",5094000,"Upper middle income","June 01, 2022",0,0.1692,1.83,4420,0.64,70.674,"Meets testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","16.9 %","1.83 per 1,000 persons","0.64 %","70.7 per 100k persons"
"Croatia","HRV",4105000,"High income","May 31, 2022",1,0.2716,1.92,32227,3.5,668.944,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","27.2 %","1.92 per 1,000 persons","3.5 %","668.9 per 100k persons"
"Cuba","CUB",11327000,"Upper middle income","May 31, 2022",1,0.1011,2.31,1171,0.05,3.976,"Meets testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Sustain","Connect/Build","Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","10.1 %","2.31 per 1,000 persons","0.05 %","4 per 100k persons"
"Curaçao","CUW",NaN,"High income","No tests reported",NaN,NaN,NaN,1695,4.02,771.257,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","4.02 %","771.3 per 100k persons"
"Cyprus","CYP",1207000,"High income","July 11, 2021",325,0.0055,40.48,728,0,0.112,"Insufficient testing data","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","0.5 %","40.48 per 1,000 persons","0 %","0.1 per 100k persons"
"Czech Republic","CZE",10709000,"High income","June 01, 2022",0,0.0723,8,42649,1.64,344.742,"Meets testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","7.2 %","8 per 1,000 persons","1.64 %","344.7 per 100k persons"
"Democratic Republic of the Congo","COD",89561000,"Low income","May 31, 2022",1,0.0655,0.03,1112,0.76,0.468,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","6.6 %","0.03 per 1,000 persons","0.76 %","0.5 per 100k persons"
"Denmark","DNK",5792000,"High income","May 30, 2022",2,0.0398,34.5,511419,13.91,6829.045,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","4 %","34.5 per 1,000 persons","13.91 %","6829 per 100k persons"
"Djibouti","DJI",988000,"Lower middle income","May 27, 2022",5,0.0273,0.42,687,9.01,37.218,"Does not meet testing target","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","2.7 %","0.42 per 1,000 persons","9.01 %","37.2 per 100k persons"
"Dominica","DMA",72000,"Upper middle income","December 28, 2021",155,0.0604,7,30,0.15,29.097,"Meets testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Sustain","Connect/Build","Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","6 %","7 per 1,000 persons","0.15 %","29.1 per 100k persons"
"Dominican Republic","DOM",10848000,"Upper middle income","September 23, 2021",251,0.1343,0.39,1162,0.24,6.354,"Insufficient testing data","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","13.4 %","0.39 per 1,000 persons","0.24 %","6.4 per 100k persons"
"East Timor","TLS",NaN,"Lower middle income","No tests reported",NaN,NaN,NaN,356,0.46,5.432,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Sustain","no","Insufficient data","Insufficient data","0.46 %","5.4 per 100k persons"
"Ecuador","ECU",17643000,"Upper middle income","February 01, 2022",120,0.3013,0.24,5677,1.11,27.884,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","30.1 %","0.24 per 1,000 persons","1.11 %","27.9 per 100k persons"
"Egypt","EGY",102334000,"Lower middle income","March 31, 2022",62,0.0748,0.1,2349,0.45,1.084,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","7.5 %","0.1 per 1,000 persons","0.45 %","1.1 per 100k persons"
"El Salvador","SLV",6486000,"Lower middle income","May 27, 2022",5,0.0756,0.5,461,0.4,5.431,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","7.6 %","0.5 per 1,000 persons","0.4 %","5.4 per 100k persons"
"Equatorial Guinea","GNQ",1403000,"Upper middle income","May 31, 2022",1,0.0407,0.36,213,0.3,1.517,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","4.1 %","0.36 per 1,000 persons","0.3 %","1.5 per 100k persons"
"Eritrea","ERI",3546000,"Low income","December 21, 2020",527,NaN,NaN,0,0,0,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0 %","0 per 100k persons"
"Estonia","EST",1327000,"High income","May 31, 2022",1,0.2279,4.05,11795,1.68,565.807,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","22.8 %","4.05 per 1,000 persons","1.68 %","565.8 per 100k persons"
"Eswatini","SWZ",1160000,"Lower middle income","May 31, 2022",1,0.1666,0.76,887,1.46,67.3,"Meets testing target","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","16.7 %","0.76 per 1,000 persons","1.46 %","67.3 per 100k persons"
"Ethiopia","ETH",114964000,"Low income","May 31, 2022",1,0.0919,0.05,616,0.26,0.451,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","9.2 %","0.05 per 1,000 persons","0.26 %","0.5 per 100k persons"
