"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Austria","High income","May 31, 2022","2.5 %","44.63 per 1,000 persons","2.15 %","867.4 per 100k persons",108198,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Azerbaijan","Upper middle income","May 20, 2022","13.6 %","0.93 per 1,000 persons","0 %","0.1 per 100k persons",151,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Bahrain","High income","June 01, 2022","6.7 %","8.44 per 1,000 persons","0.57 %","111.4 per 100k persons",2269,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Bangladesh","Lower middle income","May 31, 2022","14.1 %","0.14 per 1,000 persons","0.38 %","2.6 per 100k persons",6730,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Barbados","High income","May 30, 2022","14.8 %","4.92 per 1,000 persons","0.12 %","32.7 per 100k persons",125,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Belarus","Upper middle income","May 13, 2022","8.5 %","2.1 per 1,000 persons","0.07 %","4.4 per 100k persons",520,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Belgium","High income","May 31, 2022","15.3 %","4.78 per 1,000 persons","2.76 %","731.8 per 100k persons",115612,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Belize","Upper middle income","May 12, 2022","10.9 %","2.99 per 1,000 persons","1.19 %","136.3 per 100k persons",685,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Benin","Lower middle income","January 25, 2022","Insufficient data","Insufficient data","1.85 %","2.8 per 100k persons",861,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bermuda","High income","May 26, 2022","No cases reported","28.63 per 1,000 persons","0.77 %","151.4 per 100k persons",134,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Bhutan","Lower middle income","March 01, 2022","1.2 %","4.42 per 1,000 persons","0 %","0 per 100k persons",0,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bolivia","Lower middle income","January 02, 2022","15.3 %","0.63 per 1,000 persons","0.02 %","1 per 100k persons",274,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Bosnia and Herzegovina","Upper middle income","June 01, 2022","29.3 %","0.5 per 1,000 persons","0.75 %","40 per 100k persons",1433,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Botswana","Upper middle income","May 18, 2022","22.2 %","1.37 per 1,000 persons","1.23 %","129.5 per 100k persons",3540,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Brazil","Upper middle income","March 11, 2022","41.1 %","0.51 per 1,000 persons","0.77 %","51.3 per 100k persons",145648,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"British Virgin Islands","High income","No tests reported","Insufficient data","Insufficient data","2.49 %","532.5 per 100k persons",178,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Brunei","High income","December 14, 2021","2.8 %","6.23 per 1,000 persons","1.31 %","439.4 per 100k persons",1950,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Bulgaria","Upper middle income","June 01, 2022","10.4 %","2.83 per 1,000 persons","1.69 %","182.7 per 100k persons",15771,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Burkina Faso","Low income","March 09, 2022","5.5 %","0.02 per 1,000 persons","0.54 %","0.2 per 100k persons",616,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Burundi","Low income","May 31, 2022","2.9 %","0.29 per 1,000 persons","0.15 %","0.4 per 100k persons",63,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Cambodia","Lower middle income","May 31, 2022","5.9 %","0.3 per 1,000 persons","2.62 %","16.3 per 100k persons",3082,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cameroon","Lower middle income","May 27, 2022","3.9 %","0.11 per 1,000 persons","1.57 %","2.4 per 100k persons",967,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Canada","High income","May 31, 2022","9.2 %","1.98 per 1,000 persons","8.7 %","572 per 100k persons",319643,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cape Verde","Lower middle income","May 31, 2022","9.8 %","1.31 per 1,000 persons","1.21 %","55.5 per 100k persons",410,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cayman Islands","High income","No tests reported","Insufficient data","Insufficient data","0.19 %","70.7 per 100k persons",101,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Central African Republic","Low income","May 27, 2022","19.9 %","0.02 per 1,000 persons","0.62 %","1 per 100k persons",110,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Chad","Low income","May 31, 2022","2.7 %","0.02 per 1,000 persons","1.97 %","0.3 per 100k persons",49,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Chile","High income","May 31, 2022","9.8 %","3.41 per 1,000 persons","0.97 %","117.3 per 100k persons",26746,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"China","Upper middle income","June 24, 2020","Insufficient data","Insufficient data","0.08 %","0.1 per 100k persons",2235,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Colombia","Upper middle income","May 26, 2022","15.1 %","0.98 per 1,000 persons","0.53 %","27.8 per 100k persons",17341,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Comoros","Lower middle income","May 18, 2022","6.8 %","0.2 per 1,000 persons","0.66 %","3.2 per 100k persons",34,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Costa Rica","Upper middle income","June 01, 2022","16.9 %","1.83 per 1,000 persons","0.64 %","70.7 per 100k persons",4420,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Croatia","High income","May 31, 2022","27.2 %","1.92 per 1,000 persons","3.5 %","668.9 per 100k persons",32227,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Cuba","Upper middle income","May 31, 2022","10.1 %","2.31 per 1,000 persons","0.05 %","4 per 100k persons",1171,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Curaçao","High income","No tests reported","Insufficient data","Insufficient data","4.02 %","771.3 per 100k persons",1695,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Cyprus","High income","July 11, 2021","0.5 %","40.48 per 1,000 persons","0 %","0.1 per 100k persons",728,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Czech Republic","High income","June 01, 2022","7.2 %","8 per 1,000 persons","1.64 %","344.7 per 100k persons",42649,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Democratic Republic of the Congo","Low income","May 31, 2022","6.6 %","0.03 per 1,000 persons","0.76 %","0.5 per 100k persons",1112,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Denmark","High income","May 30, 2022","4 %","34.5 per 1,000 persons","13.91 %","6829 per 100k persons",511419,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Djibouti","Lower middle income","May 27, 2022","2.7 %","0.42 per 1,000 persons","9.01 %","37.2 per 100k persons",687,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Dominica","Upper middle income","December 28, 2021","6 %","7 per 1,000 persons","0.15 %","29.1 per 100k persons",30,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Dominican Republic","Upper middle income","September 23, 2021","13.4 %","0.39 per 1,000 persons","0.24 %","6.4 per 100k persons",1162,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"East Timor","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.46 %","5.4 per 100k persons",356,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Ecuador","Upper middle income","February 01, 2022","30.1 %","0.24 per 1,000 persons","1.11 %","27.9 per 100k persons",5677,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Egypt","Lower middle income","March 31, 2022","7.5 %","0.1 per 1,000 persons","0.45 %","1.1 per 100k persons",2349,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"El Salvador","Lower middle income","May 27, 2022","7.6 %","0.5 per 1,000 persons","0.4 %","5.4 per 100k persons",461,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Equatorial Guinea","Upper middle income","May 31, 2022","4.1 %","0.36 per 1,000 persons","0.3 %","1.5 per 100k persons",213,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Eritrea","Low income","December 21, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Estonia","High income","May 31, 2022","22.8 %","4.05 per 1,000 persons","1.68 %","565.8 per 100k persons",11795,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Eswatini","Lower middle income","May 31, 2022","16.7 %","0.76 per 1,000 persons","1.46 %","67.3 per 100k persons",887,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ethiopia","Low income","May 31, 2022","9.2 %","0.05 per 1,000 persons","0.26 %","0.5 per 100k persons",616,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Faroe Islands","High income","February 27, 2022","No cases reported","37.46 per 1,000 persons","0 %","0 per 100k persons",42,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Fiji","Upper middle income","May 30, 2022","15.1 %","1.31 per 1,000 persons","0.69 %","49.2 per 100k persons",531,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Finland","High income","May 26, 2022","16.8 %","2.96 per 1,000 persons","2.09 %","376.1 per 100k persons",33195,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"France","High income","May 17, 2022","12.6 %","8.17 per 1,000 persons","1.04 %","369 per 100k persons",301610,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"French Polynesia","High income","September 07, 2020","Insufficient data","Insufficient data","0.14 %","26.9 per 100k persons",110,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Gabon","Upper middle income","May 31, 2022","2.9 %","0.98 per 1,000 persons","0.97 %","9.9 per 100k persons",952,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Georgia","Upper middle income","June 16, 2021","6.5 %","2.87 per 1,000 persons","0.13 %","42 per 100k persons",1826,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Germany","High income","May 19, 2022","33.1 %","2.29 per 1,000 persons","2.25 %","607.9 per 100k persons",646854,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ghana","Lower middle income","May 27, 2022","5.2 %","0.11 per 1,000 persons","3.08 %","6.5 per 100k persons",3580,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Gibraltar","High income","No tests reported","Insufficient data","Insufficient data","14.45 %","6063.9 per 100k persons",2749,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Greece","High income","May 31, 2022","4.2 %","19.19 per 1,000 persons","0.31 %","92.5 per 100k persons",17477,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Greenland","High income","August 25, 2021","No cases reported","6.21 per 1,000 persons","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Grenada","Upper middle income","January 23, 2022","12.7 %","3.25 per 1,000 persons","0.29 %","45.1 per 100k persons",58,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guam","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",749,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Guatemala","Upper middle income","May 07, 2022","19.3 %","0.5 per 1,000 persons","0.23 %","7.6 per 100k persons",1880,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Guinea","Low income","May 31, 2022","5.8 %","0.05 per 1,000 persons","2.42 %","2.4 per 100k persons",623,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guinea-Bissau","Low income","May 27, 2022","6.3 %","0.1 per 1,000 persons","0 %","0 per 100k persons",48,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guyana","Upper middle income","December 28, 2021","8.4 %","1.6 per 1,000 persons","0.27 %","16.6 per 100k persons",145,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Haiti","Low income","No tests reported","Insufficient data","Insufficient data","0.65 %","0.9 per 100k persons",186,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Honduras","Lower middle income","May 20, 2022","28.4 %","0.19 per 1,000 persons","0.08 %","1.5 per 100k persons",231,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Hong Kong SAR, China","High income","May 24, 2022","No cases reported","11.99 per 1,000 persons","0.4 %","63.5 per 100k persons",7564,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Hungary","High income","May 11, 2022","19.7 %","1.67 per 1,000 persons","0.01 %","1.2 per 100k persons",549,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iceland","High income","May 31, 2022","13.5 %","10.84 per 1,000 persons","2.12 %","1046.4 per 100k persons",9817,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"India","Lower middle income","June 01, 2022","3 %","1.01 per 1,000 persons","0.83 %","8.8 per 100k persons",179189,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Indonesia","Upper middle income","May 31, 2022","5.1 %","0.83 per 1,000 persons","0.48 %","7.3 per 100k persons",24509,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iran","Upper middle income","May 31, 2022","13.3 %","1.06 per 1,000 persons","0.02 %","1.1 per 100k persons",1588,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iraq","Upper middle income","May 30, 2022","13.8 %","0.56 per 1,000 persons","0.07 %","1.9 per 100k persons",1036,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ireland","High income","May 31, 2022","18.3 %","4 per 1,000 persons","4.03 %","1058.2 per 100k persons",71415,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Isle of Man","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Israel","High income","January 23, 2022","4.8 %","14.92 per 1,000 persons","2.17 %","772 per 100k persons",83981,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Italy","High income","May 31, 2022","8.5 %","7.02 per 1,000 persons","0.62 %","136.3 per 100k persons",122783,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Ivory Coast","Lower middle income","May 31, 2022","4 %","0.09 per 1,000 persons","0.48 %","0.6 per 100k persons",758,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Jamaica","Upper middle income","December 26, 2021","13.8 %","0.51 per 1,000 persons","1.4 %","41.8 per 100k persons",1472,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Japan","High income","May 31, 2022","22.6 %","0.77 per 1,000 persons","2.66 %","170.9 per 100k persons",289567,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Jordan","Upper middle income","May 08, 2022","10.1 %","2.71 per 1,000 persons","0.07 %","6.7 per 100k persons",1453,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kazakhstan","Upper middle income","May 28, 2021","Insufficient data","Insufficient data","0.02 %","1 per 100k persons",584,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kenya","Lower middle income","May 31, 2022","8.3 %","0.09 per 1,000 persons","3.56 %","10 per 100k persons",9448,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kiribati","Lower middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Kosovo","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Kuwait","High income","March 10, 2022","6.1 %","4.25 per 1,000 persons","0.12 %","8.6 per 100k persons",469,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kyrgyzstan","Lower middle income","June 23, 2021","2.4 %","3.44 per 1,000 persons","0.1 %","1.5 per 100k persons",114,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Laos","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.05 %","1.5 per 100k persons",116,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Latvia","High income","May 31, 2022","15.1 %","6.71 per 1,000 persons","0.9 %","333.5 per 100k persons",12941,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Lebanon","Upper middle income","June 23, 2021","1.1 %","2.03 per 1,000 persons","0.07 %","5.6 per 100k persons",1476,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Lesotho","Lower middle income","May 29, 2022","6.2 %","0.46 per 1,000 persons","0.52 %","5.4 per 100k persons",189,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Liberia","Low income","September 26, 2021","11 %","0.06 per 1,000 persons","1.43 %","1.5 per 100k persons",110,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Libya","Upper middle income","May 31, 2022","20.2 %","0.68 per 1,000 persons","0 %","0.1 per 100k persons",46,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Liechtenstein","High income","No tests reported","Insufficient data","Insufficient data","8.83 %","3317.3 per 100k persons",1341,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Lithuania","High income","May 31, 2022","15 %","5.28 per 1,000 persons","3.41 %","999.6 per 100k persons",40224,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Luxembourg","High income","May 30, 2022","12.6 %","6.07 per 1,000 persons","14.34 %","3935 per 100k persons",35560,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Macao SAR, China","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Madagascar","Low income","May 05, 2022","10 %","0.02 per 1,000 persons","0.18 %","0.1 per 100k persons",794,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Malawi","Low income","May 31, 2022","15.3 %","0.05 per 1,000 persons","1.06 %","2.8 per 100k persons",1191,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Malaysia","Upper middle income","June 16, 2021","7 %","2.87 per 1,000 persons","0.43 %","51.7 per 100k persons",18856,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Maldives","Upper middle income","November 09, 2021","3.3 %","8.94 per 1,000 persons","1.08 %","228.5 per 100k persons",1294,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Mali","Low income","May 31, 2022","4.2 %","0.05 per 1,000 persons","0.07 %","0.1 per 100k persons",73,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Malta","High income","September 06, 2021","2.1 %","6.54 per 1,000 persons","1.11 %","137.8 per 100k persons",893,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Marshall Islands","Upper middle income","No tests reported","Insufficient data","Insufficient data","23.08 %","5 per 100k persons",3,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mauritania","Lower middle income","May 31, 2022","6.1 %","0.39 per 1,000 persons","0.04 %","0.4 per 100k persons",51,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mauritius","High income","May 27, 2022","24.4 %","2 per 1,000 persons","0.91 %","160.7 per 100k persons",2249,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Mexico","Upper middle income","June 01, 2022","37.3 %","0.19 per 1,000 persons","1.34 %","34.5 per 100k persons",60569,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Micronesia","Lower middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Moldova","Lower middle income","June 13, 2021","1 %","1.16 per 1,000 persons","0.18 %","12.1 per 100k persons",541,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Monaco","High income","No tests reported","Insufficient data","Insufficient data","0.9 %","220.1 per 100k persons",97,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Mongolia","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.09 %","24.3 per 100k persons",1067,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Montenegro","Upper middle income","June 21, 2021","2.2 %","1.7 per 1,000 persons","0.52 %","114.2 per 100k persons",750,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Morocco","Lower middle income","May 31, 2022","11.5 %","0.42 per 1,000 persons","0.06 %","1.1 per 100k persons",698,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Mozambique","Low income","May 31, 2022","20 %","0.07 per 1,000 persons","0.39 %","1.9 per 100k persons",1157,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Myanmar","Lower middle income","May 31, 2022","8.4 %","0.28 per 1,000 persons","0.01 %","0.1 per 100k persons",94,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Namibia","Upper middle income","May 31, 2022","18.3 %","0.65 per 1,000 persons","0.52 %","22.1 per 100k persons",638,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Nauru","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Nepal","Lower middle income","May 31, 2022","16 %","0.25 per 1,000 persons","0.47 %","6.5 per 100k persons",2129,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Netherlands","High income","January 25, 2022","18.4 %","3.26 per 1,000 persons","1.25 %","474.6 per 100k persons",121845,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"New Caledonia","High income","September 07, 2021","No cases reported","0.34 per 1,000 persons","0.01 %","3.1 per 100k persons",9,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
