"country","code","population_size","world_bank_economies","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","sars_cov_2_binary"
"Liberia","LBR",5058000,"Low income",1.37,0.635,"Does not meet sequencing target"
"Libya","LBY",6871000,"Upper middle income",0.02,0.52,"Does not meet sequencing target"
"Liechtenstein","LIE",NaN,"High income",9.15,3693.742,"Meets sequencing target"
"Lithuania","LTU",2722000,"High income",2.21,728.15,"Meets sequencing target"
"Luxembourg","LUX",626000,"High income",14.29,4714.064,"Meets sequencing target"
"Macao SAR, China","MAC",NaN,"High income",0.14,0.146,"Does not meet sequencing target"
"Madagascar","MDG",27691000,"Low income",0.36,0.297,"Does not meet sequencing target"
"Malawi","MWI",19130000,"Low income",0.72,0.99,"Does not meet sequencing target"
"Malaysia","MYS",32366000,"Upper middle income",0.7,63.302,"Meets sequencing target"
"Maldives","MDV",541000,"Upper middle income",1.05,207.879,"Meets sequencing target"
"Mali","MLI",20251000,"Low income",0.01,0.005,"Does not meet sequencing target"
"Malta","MLT",442000,"High income",0.73,108.211,"Meets sequencing target"
"Marshall Islands","MHL",NaN,"Upper middle income",0.15,54.697,"Does not meet sequencing target"
"Mauritania","MRT",4650000,"Lower middle income",0.07,0.433,"Does not meet sequencing target"
"Mauritius","MUS",1272000,"High income",1.37,259.062,"Meets sequencing target"
"Mexico","MEX",128933000,"Upper middle income",1.19,34.11,"Meets sequencing target"
"Micronesia","FSM",NaN,"Lower middle income",0,0,"Does not meet sequencing target"
"Moldova","MDA",4034000,"Lower middle income",0.18,18.357,"Does not meet sequencing target"
"Monaco","MCO",NaN,"High income",0.22,68.146,"Does not meet sequencing target"
"Mongolia","MNG",NaN,"Lower middle income",0.06,14.278,"Does not meet sequencing target"
"Montenegro","MNE",628000,"Upper middle income",0.36,92.377,"Does not meet sequencing target"
"Montserrat","MSR",NaN,"No income data",1.7,430.156,"Meets sequencing target"
"Morocco","MAR",36911000,"Lower middle income",0.13,1.424,"Does not meet sequencing target"
"Mozambique","MOZ",31255000,"Low income",0.46,1.206,"Does not meet sequencing target"
"Myanmar","MMR",54410000,"Lower middle income",0.03,0.112,"Does not meet sequencing target"
"Namibia","NAM",2541000,"Upper middle income",1.36,23.793,"Meets sequencing target"
"Nepal","NPL",29137000,"Lower middle income",0.9,6.952,"Does not meet sequencing target"
"Netherlands","NLD",17135000,"High income",1.13,416.314,"Meets sequencing target"
"New Caledonia","NCL",285000,"High income",0.01,3.127,"Does not meet sequencing target"
"New Zealand","NZL",4822000,"High income",0.83,282.666,"Meets sequencing target"
"Nicaragua","NIC",NaN,"Lower middle income",0.05,0.044,"Does not meet sequencing target"
"Niger","NER",24207000,"Low income",3.29,0.531,"Does not meet sequencing target"
"Nigeria","NGA",206140000,"Lower middle income",5.56,1.839,"Does not meet sequencing target"
"North Korea","PRK",NaN,"Low income",0,NaN,"Does not meet sequencing target"
"North Macedonia","MKD",2083000,"Upper middle income",0.14,10.745,"Does not meet sequencing target"
"Norway","NOR",5421000,"High income",3.39,814.211,"Meets sequencing target"
"Oman","OMN",5107000,"High income",0.17,3.495,"Does not meet sequencing target"
"Pakistan","PAK",220892000,"Lower middle income",0.57,0.994,"Does not meet sequencing target"
"Palau","PLW",NaN,"High income",0.84,249.667,"Meets sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
