"country","code","population_size","world_bank_economies","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","sars_cov_2_binary"
"Bulgaria","BGR",6948000,"Upper middle income",1.09,125.887,"Meets sequencing target"
"Burkina Faso","BFA",20903000,"Low income",0.87,0.326,"Does not meet sequencing target"
"Burundi","BDI",11891000,"Low income",0.18,0.514,"Does not meet sequencing target"
"Cambodia","KHM",16719000,"Lower middle income",1.76,13.832,"Meets sequencing target"
"Cameroon","CMR",26546000,"Lower middle income",0.69,1.568,"Does not meet sequencing target"
"Canada","CAN",37742000,"High income",8.58,565.064,"Meets sequencing target"
"Cape Verde","CPV",556000,"Lower middle income",0.3,20.644,"Does not meet sequencing target"
"Cayman Islands","CYM",NaN,"High income",0.31,94.74,"Does not meet sequencing target"
"Central African Republic","CAF",4830000,"Low income",0.39,0.752,"Does not meet sequencing target"
"Chad","TCD",16426000,"Low income",0.8,0.13,"Does not meet sequencing target"
"Chile","CHL",19116000,"High income",0.74,94.97,"Meets sequencing target"
"China","CHN",1439324000,"Upper middle income",0.25,0.024,"Does not meet sequencing target"
"Colombia","COL",50883000,"Upper middle income",0.32,23.234,"Does not meet sequencing target"
"Comoros","COM",870000,"Lower middle income",0.32,1.576,"Does not meet sequencing target"
"Costa Rica","CRI",5094000,"Upper middle income",0.36,43.179,"Does not meet sequencing target"
"Croatia","HRV",4105000,"High income",2.57,521.185,"Meets sequencing target"
"Cuba","CUB",11327000,"Upper middle income",0.07,6.3,"Does not meet sequencing target"
"Curaçao","CUW",NaN,"High income",3.17,611.665,"Meets sequencing target"
"Cyprus","CYP",1207000,"High income",0,0.112,"Does not meet sequencing target"
"Czech Republic","CZE",10709000,"High income",1.09,231.795,"Meets sequencing target"
"Democratic Republic of the Congo","COD",89561000,"Low income",0.4,0.251,"Does not meet sequencing target"
"Denmark","DNK",5792000,"High income",12.97,6313.159,"Meets sequencing target"
"Djibouti","DJI",988000,"Lower middle income",6.06,44.802,"Meets sequencing target"
"Dominica","DMA",72000,"Upper middle income",0.09,15.241,"Does not meet sequencing target"
"Dominican Republic","DOM",10848000,"Upper middle income",0.28,8.253,"Does not meet sequencing target"
"East Timor","TLS",NaN,"Lower middle income",1.23,20.24,"Meets sequencing target"
"Ecuador","ECU",17643000,"Upper middle income",0.75,22.322,"Meets sequencing target"
"Egypt","EGY",102334000,"Lower middle income",0.26,0.764,"Does not meet sequencing target"
"El Salvador","SLV",6486000,"Lower middle income",0.47,6.965,"Does not meet sequencing target"
"Equatorial Guinea","GNQ",1403000,"Upper middle income",0.23,1.448,"Does not meet sequencing target"
"Eritrea","ERI",3546000,"Low income",0,0,"Does not meet sequencing target"
"Estonia","EST",1327000,"High income",1.38,470.273,"Meets sequencing target"
"Eswatini","SWZ",1160000,"Lower middle income",0.42,18.595,"Does not meet sequencing target"
"Ethiopia","ETH",114964000,"Low income",0.19,0.415,"Does not meet sequencing target"
"Faroe Islands","FRO",49000,"High income",0,2.039,"Does not meet sequencing target"
"Fiji","FJI",896000,"Upper middle income",0.8,57.038,"Meets sequencing target"
"Finland","FIN",5541000,"High income",1.94,284.246,"Meets sequencing target"
"France","FRA",65274000,"High income",0.96,304.401,"Meets sequencing target"
"French Polynesia","PYF",281000,"High income",0.12,23.714,"Does not meet sequencing target"
"Gabon","GAB",2226000,"Upper middle income",0.58,7.109,"Does not meet sequencing target"
"Georgia","GEO",3989000,"Upper middle income",0.09,32.188,"Does not meet sequencing target"
"Germany","DEU",83784000,"High income",2.39,528.114,"Meets sequencing target"
"Ghana","GHA",31073000,"Lower middle income",2.7,5.984,"Does not meet sequencing target"
"Gibraltar","GIB",NaN,"High income",15.77,5963.017,"Meets sequencing target"
"Greece","GRC",10423000,"High income",0.37,100.041,"Does not meet sequencing target"
"Greenland","GRL",57000,"High income",0,0,"Does not meet sequencing target"
"Grenada","GRD",113000,"Upper middle income",0.05,6.194,"Does not meet sequencing target"
"Guatemala","GTM",17916000,"Upper middle income",0.21,7.414,"Does not meet sequencing target"
"Guinea","GIN",13133000,"Low income",1.29,1.571,"Does not meet sequencing target"
"Guinea-Bissau","GNB",1968000,"Low income",0,0,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.09,6.326,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.09,6.326,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.09,6.326,"Does not meet sequencing target"
"Guyana","GUY",787000,"Upper middle income",0.09,6.326,"Does not meet sequencing target"
"Haiti","HTI",NaN,"Low income",0.43,0.667,"Does not meet sequencing target"
"Honduras","HND",9905000,"Lower middle income",0.04,0.884,"Does not meet sequencing target"
"Hong Kong SAR, China","HKG",7497000,"High income",0.17,25.818,"Does not meet sequencing target"
"Hungary","HUN",9660000,"High income",0,0.394,"Does not meet sequencing target"
"Iceland","ISL",341000,"High income",2.41,1146.446,"Meets sequencing target"
"India","IND",1380004000,"Lower middle income",0.34,7.454,"Does not meet sequencing target"
"Indonesia","IDN",273524000,"Upper middle income",0.31,4.967,"Does not meet sequencing target"
"Iran","IRN",83993000,"Upper middle income",0.01,0.53,"Does not meet sequencing target"
"Iraq","IRQ",40223000,"Upper middle income",0.01,0.287,"Does not meet sequencing target"
"Ireland","IRL",4938000,"High income",3.73,925.665,"Meets sequencing target"
"Isle of Man","IMN",NaN,"High income",0,0,"Does not meet sequencing target"
"Israel","ISR",8656000,"High income",1.13,374.804,"Meets sequencing target"
"Italy","ITA",60462000,"High income",0.72,132.773,"Meets sequencing target"
"Ivory Coast","CIV",26378000,"Lower middle income",0.34,0.469,"Does not meet sequencing target"
"Ivory Coast","CIV",26378000,"Lower middle income",0.34,0.469,"Does not meet sequencing target"
"Jamaica","JAM",2961000,"Upper middle income",0.69,20.851,"Meets sequencing target"
"Japan","JPN",126476000,"High income",3.11,150.988,"Meets sequencing target"
"Jordan","JOR",10203000,"Upper middle income",0.06,6.378,"Does not meet sequencing target"
"Kazakhstan","KAZ",18777000,"Upper middle income",0.04,2.158,"Does not meet sequencing target"
"Kenya","KEN",53771000,"Lower middle income",2.46,8.413,"Does not meet sequencing target"
"Kiribati","KIR",NaN,"Lower middle income",0,0,"Does not meet sequencing target"
"Kuwait","KWT",4271000,"High income",0.09,8.155,"Does not meet sequencing target"
"Kyrgyzstan","KGZ",6524000,"Lower middle income",0.02,0.392,"Does not meet sequencing target"
"Laos","LAO",NaN,"Lower middle income",0.01,0.217,"Does not meet sequencing target"
"Latvia","LVA",1886000,"High income",1.3,486.787,"Meets sequencing target"
"Lebanon","LBN",6825000,"Upper middle income",0.09,7.889,"Does not meet sequencing target"
"Lesotho","LSO",2142000,"Lower middle income",0.02,0.232,"Does not meet sequencing target"
"Liberia","LBR",5058000,"Low income",1.33,1.409,"Does not meet sequencing target"
"Libya","LBY",6871000,"Upper middle income",0,0.129,"Does not meet sequencing target"
"Libya","LBY",6871000,"Upper middle income",0,0.129,"Does not meet sequencing target"
"Liechtenstein","LIE",NaN,"High income",6.96,2486.015,"Meets sequencing target"
"Lithuania","LTU",2722000,"High income",3.07,924.434,"Meets sequencing target"
"Luxembourg","LUX",626000,"High income",9.12,2227.424,"Meets sequencing target"
"Macao SAR, China","MAC",NaN,"High income",0,0,"Does not meet sequencing target"
"Madagascar","MDG",27691000,"Low income",0.51,0.7,"Does not meet sequencing target"
"Malawi","MWI",19130000,"Low income",1.14,3.033,"Does not meet sequencing target"
"Malaysia","MYS",32366000,"Upper middle income",0.22,25.961,"Does not meet sequencing target"
"Maldives","MDV",541000,"Upper middle income",0.61,172.363,"Meets sequencing target"
"Mali","MLI",20251000,"Low income",0.16,0.158,"Does not meet sequencing target"
"Malta","MLT",442000,"High income",1.64,162.759,"Meets sequencing target"
"Marshall Islands","MHL",NaN,"Upper middle income",0,0,"Does not meet sequencing target"
"Mauritania","MRT",4650000,"Lower middle income",0.05,0.419,"Does not meet sequencing target"
"Mauritius","MUS",1272000,"High income",0.37,60.467,"Does not meet sequencing target"
"Mexico","MEX",128933000,"Upper middle income",1.21,31.806,"Meets sequencing target"
"Moldova","MDA",4034000,"Lower middle income",0.14,9.866,"Does not meet sequencing target"
"Monaco","MCO",NaN,"High income",1.06,227.733,"Meets sequencing target"
"Mongolia","MNG",NaN,"Lower middle income",0.08,20.905,"Does not meet sequencing target"
"Montenegro","MNE",628000,"Upper middle income",0.43,96.171,"Does not meet sequencing target"
"Morocco","MAR",36911000,"Lower middle income",0.06,1.018,"Does not meet sequencing target"
"Mozambique","MOZ",31255000,"Low income",0.36,1.754,"Does not meet sequencing target"
"Myanmar","MMR",54410000,"Lower middle income",0.02,0.159,"Does not meet sequencing target"
"Myanmar","MMR",54410000,"Lower middle income",0.02,0.159,"Does not meet sequencing target"
"Namibia","NAM",2541000,"Upper middle income",0.21,9.276,"Does not meet sequencing target"
"Nepal","NPL",29137000,"Lower middle income",0.2,4.681,"Does not meet sequencing target"
"Netherlands","NLD",17135000,"High income",1.12,436.904,"Meets sequencing target"
"New Caledonia","NCL",285000,"High income",0.01,3.123,"Does not meet sequencing target"
"New Zealand","NZL",4822000,"High income",1.15,152.761,"Meets sequencing target"
"Nicaragua","NIC",NaN,"Lower middle income",1.12,1.969,"Does not meet sequencing target"
"Niger","NER",24207000,"Low income",2.57,0.386,"Does not meet sequencing target"
"Nigeria","NGA",206140000,"Lower middle income",3.46,1.513,"Does not meet sequencing target"
"North Macedonia","MKD",2083000,"Upper middle income",0.19,16.229,"Does not meet sequencing target"
"Norway","NOR",5421000,"High income",2.61,625.363,"Meets sequencing target"
"Oman","OMN",5107000,"High income",0.26,11.468,"Does not meet sequencing target"
"Pakistan","PAK",220892000,"Lower middle income",0.21,0.787,"Does not meet sequencing target"
"Palau","PLW",NaN,"High income",0.32,71.531,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.364,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.364,"Does not meet sequencing target"
"Palestine","PSE",5101000,"Lower middle income",0,0.364,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.364,"Does not meet sequencing target"
"Panama","PAN",4315000,"High income",0.41,37.954,"Does not meet sequencing target"
"Papua New Guinea","PNG",8947000,"Lower middle income",7.9,32.12,"Meets sequencing target"
"Paraguay","PRY",7133000,"Upper middle income",0.16,9.377,"Does not meet sequencing target"
"Peru","PER",32972000,"Upper middle income",0.66,39.584,"Meets sequencing target"
"Philippines","PHL",109581000,"Lower middle income",0.32,8.354,"Does not meet sequencing target"
"Poland","POL",37847000,"High income",1.48,141.688,"Meets sequencing target"
"Portugal","PRT",10197000,"High income",0.75,204.063,"Meets sequencing target"
"Qatar","QAT",2881000,"High income",1.44,88.721,"Meets sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.86,7.283,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.86,7.283,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.86,7.283,"Does not meet sequencing target"
"Republic of the Congo","COG",5518000,"Lower middle income",2.86,7.283,"Does not meet sequencing target"
"Romania","ROU",19238000,"High income",0.42,41.965,"Does not meet sequencing target"
"Russia","RUS",145934000,"Upper middle income",0.08,6.814,"Does not meet sequencing target"
"Russia","RUS",145934000,"Upper middle income",0.08,6.814,"Does not meet sequencing target"
"Rwanda","RWA",12952000,"Low income",0.35,2.84,"Does not meet sequencing target"
"Saint Kitts and Nevis","KNA",53000,"High income",0.67,69.099,"Meets sequencing target"
"Saint Lucia","LCA",184000,"Upper middle income",0.43,43.926,"Does not meet sequencing target"
"Saint Vincent and the Grenadines","VCT",111000,"Upper middle income",1.19,87.176,"Meets sequencing target"
"Saint Vincent and the Grenadines","VCT",111000,"Upper middle income",1.19,87.176,"Meets sequencing target"
"Saint Vincent and the Grenadines","VCT",111000,"Upper middle income",1.19,87.176,"Meets sequencing target"
"Samoa","WSM",NaN,"Upper middle income",0,0,"Does not meet sequencing target"
"San Marino","SMR",34000,"High income",0,0,"Does not meet sequencing target"
"São Tomé and Príncipe","STP",219000,"Lower middle income",0.24,4.029,"Does not meet sequencing target"
"Saudi Arabia","SAU",34814000,"High income",0.04,0.456,"Does not meet sequencing target"
"Senegal","SEN",16744000,"Lower middle income",1.68,4.611,"Does not meet sequencing target"
"Serbia","SRB",8737000,"Upper middle income",0.02,3.522,"Does not meet sequencing target"
"Seychelles","SYC",98000,"High income",1.89,692.549,"Meets sequencing target"
"Sierra Leone","SLE",7977000,"Low income",0.65,0.295,"Does not meet sequencing target"
"Singapore","SGP",5850000,"High income",1.04,198.713,"Meets sequencing target"
"Slovakia","SVK",5460000,"High income",1.27,406.77,"Meets sequencing target"
"Slovenia","SVN",2079000,"High income",5.77,2092.535,"Meets sequencing target"
"Solomon Islands","SLB",NaN,"Lower middle income",0.26,4.261,"Does not meet sequencing target"
"Somalia","SOM",15893000,"Low income",0,0,"Does not meet sequencing target"
"South Africa","ZAF",59309000,"Upper middle income",1.02,36.578,"Meets sequencing target"
"South Korea","KOR",51269000,"High income",0.23,60.072,"Does not meet sequencing target"
"South Korea","KOR",51269000,"High income",0.23,60.072,"Does not meet sequencing target"
"South Sudan","SSD",11194000,"Low income",0.82,0.51,"Does not meet sequencing target"
"Spain","ESP",46755000,"High income",0.88,156.014,"Meets sequencing target"
"Spain","ESP",46755000,"High income",0.88,156.014,"Meets sequencing target"
"Sri Lanka","LKA",21413000,"Lower middle income",0.41,10.871,"Does not meet sequencing target"
"Sudan","SDN",43849000,"Low income",0.05,0.031,"Does not meet sequencing target"
"Suriname","SUR",NaN,"Upper middle income",1.11,131.633,"Meets sequencing target"
"Sweden","SWE",10099000,"High income",7.04,1159.942,"Meets sequencing target"
"Switzerland","CHE",8655000,"High income",3.48,1160.806,"Meets sequencing target"
"Syria","SYR",NaN,"Low income",0.2,0.405,"Does not meet sequencing target"
"Taiwan","TWN",23817000,"High income",0.56,0.532,"Does not meet sequencing target"
"Taiwan","TWN",23817000,"High income",0.56,0.532,"Does not meet sequencing target"
"Tajikistan","TJK",9538000,"Low income",0,0,"Does not meet sequencing target"
"Tanzania","TZA",NaN,"Lower middle income",0,0,"Does not meet sequencing target"
"Thailand","THA",69800000,"Upper middle income",0.37,19.554,"Does not meet sequencing target"
"The Bahamas","BHS",393000,"High income",0.93,56.435,"Meets sequencing target"
"The Gambia","GMB",2417000,"Low income",8.78,23.04,"Meets sequencing target"
"Togo","TGO",8279000,"Low income",0.63,1.958,"Does not meet sequencing target"
"Tonga","TON",NaN,"Upper middle income",0,0,"Does not meet sequencing target"
"Trinidad and Tobago","TTO",1399000,"High income",1.02,94.772,"Meets sequencing target"
"Tunisia","TUN",11819000,"Lower middle income",0.07,4.792,"Does not meet sequencing target"
"Turkey","TUR",84339000,"Upper middle income",0.69,93.504,"Meets sequencing target"
"Turks and Caicos Islands","TCA",NaN,"High income",0.28,25.493,"Does not meet sequencing target"
"Uganda","UGA",45741000,"Low income",0.36,0.934,"Does not meet sequencing target"
"Ukraine","UKR",43734000,"Lower middle income",0.01,0.886,"Does not meet sequencing target"
"United Arab Emirates","ARE",9890000,"High income",0.01,0.23,"Does not meet sequencing target"
"United Kingdom","GBR",67886000,"High income",13.09,3088.735,"Meets sequencing target"
"United States of America","USA",331003000,"High income",4.75,706.112,"Meets sequencing target"
"Uruguay","URY",3474000,"High income",0.02,4.907,"Does not meet sequencing target"
"Uzbekistan","UZB",33469000,"Lower middle income",0.04,0.183,"Does not meet sequencing target"
"Vanuatu","VUT",NaN,"Lower middle income",0,0,"Does not meet sequencing target"
"Venezuela","VEN",28436000,"Upper middle income",0.08,0.975,"Does not meet sequencing target"
"Venezuela","VEN",28436000,"Upper middle income",0.08,0.975,"Does not meet sequencing target"
"Vietnam","VNM",97339000,"Lower middle income",0.03,3.211,"Does not meet sequencing target"
"Vietnam","VNM",97339000,"Lower middle income",0.03,3.211,"Does not meet sequencing target"
"Yemen","YEM",NaN,"Low income",0,0,"Does not meet sequencing target"
"Zambia","ZMB",18384000,"Lower middle income",0.27,3.25,"Does not meet sequencing target"
"Zimbabwe","ZWE",14863000,"Lower middle income",0.08,1.133,"Does not meet sequencing target"
"Cook Islands","COK",NaN,"No income data",0,0,"Does not meet sequencing target"
"Falkland Islands","FLK",NaN,"No income data",0,0,"Does not meet sequencing target"
"Montserrat","MSR",NaN,"No income data",5.16,160.61,"Meets sequencing target"
"Saint Pierre and Miquelon","SPM",NaN,"No income data",0,0,"Does not meet sequencing target"
"Wallis and Futuna","WLF",NaN,"No income data",7.14,27.042,"Meets sequencing target"
"Anguilla","AIA",NaN,"No income data",1.08,191.736,"Meets sequencing target"
"Vatican City","VAT",NaN,"No income data",0,0,"Does not meet sequencing target"
