"","name","code","region","ngs_capacity","facility_access","sequencing_capacity","date_tests_last_reported","rept_tests_within_last_6_months","days_since_tests_reported","tests_in_last_year_raw","cases_in_last_year_raw","tests_in_last_year_smoothed","cases_in_last_year_smoothed","cases_in_last_year_smoothed_truncated","avg_tpr_find","tpr_year_raw","tpr_year_smoothed","tpr_year_smoothed_truncated","tpr","avg_daily_test_per_1000_last_year_raw","avg_daily_tests_per_1000_last_year_smoothed","population_size","dx_testing_capacity","dx_testing_rec","dx_archetype","cases_in_last_year","cases_per_100k_last_year","sequences_in_last_year","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","cum_seq","cum_cases","cum_cases_per_100k","country","prev_test_rec","sars_cov_2_sequencing","old_archetype","world_bank_economies","LMIC_status","archetype_orig","archetype_orig_w_HICs","archetype_draft"
"11","Belarus","BLR","Europe",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","April 01, 2022",TRUE,0,7480486,640713,7493130,641135,641135,0.0843494511237882,0.0856512531405045,0.0855630424135174,0.0855630424135174,8.55630424135174,2.16895779360576,2.17262390598701,9449000,"Meets testing target","Sustain - Sustain diagnostic testing capacity","Sustain",639664,6774.044,194,0.03,2.054,255,962707,NA,"Belarus","Meets testing target","Does not meet sequencing target","Strengthen/Leverage","Upper middle income","LMIC","Leverage","Strengthen/Leverage","Sequence"
"12","Benin","BEN","Africa",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","January 25, 2022",TRUE,66,19550,19639,15641,19811,439,0.028069093757653,1.00455242966752,1.2666069944377,0.0280672591266543,2.80672591266543,0.00441818393430805,0.0806370122906871,12123000,"Does not meet testing target","Test - Increase diagnostic testing capacity","Test",19639,157.73,367,1.87,2.948,778,27161,NA,"Benin","Does not meet testing target","Does not meet sequencing target","Connect/Build","Lower middle income","LMIC","Connect","Connect/Build","Sequence"
"13","Bhutan","BTN","South-East Asia",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","March 01, 2022",TRUE,31,1156826,28253,1141685,25543,12167,0.00562604502494849,0.0244228604820431,0.0223730713813355,0.0106570551421802,1.06570551421802,4.10542267016822,4.38832813148629,772000,"Meets testing target","Sustain - Sustain diagnostic testing capacity","Sustain",27215,3489.55,0,0,0,0,28101,NA,"Bhutan","Meets testing target","Does not meet sequencing target","Connect/Build","Lower middle income","LMIC","Connect","Connect/Build","Sequence"
"14","Bolivia","BOL","Americas",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","January 02, 2022",TRUE,89,2145629,628989,2150138,630992,340485,0.148743065297031,0.293149001994287,0.293465814752355,0.158354952100749,15.8354952100749,0.503592531177791,0.660206272048323,11673000,"Meets testing target","Sustain - Sustain diagnostic testing capacity","Sustain",628616,5312.426,37,0.01,0.313,175,901943,NA,"Bolivia","Meets testing target","Does not meet sequencing target","Connect/Build","Lower middle income","LMIC","Connect","Connect/Build","Sequence"
"15","Bolivia","BOL","Americas",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","January 02, 2022",TRUE,89,2145629,628989,2150138,630992,340485,0.148743065297031,0.293149001994287,0.293465814752355,0.158354952100749,15.8354952100749,0.503592531177791,0.660206272048323,11673000,"Meets testing target","Sustain - Sustain diagnostic testing capacity","Sustain",628616,5312.426,37,0.01,0.313,175,901943,NA,"Bolivia","Meets testing target","Does not meet sequencing target","Connect/Build","Lower middle income","LMIC","Connect","Connect/Build","Sequence"
"16","Burkina Faso","BFA","Africa",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","March 09, 2022",TRUE,23,153544,8084,155111,8150,8050,0.0591165880077981,0.0526494034283332,0.0525430175809582,0.0518983179787378,5.18983179787378,0.0201247903722281,0.0215087356575264,20903000,"Does not meet testing target","Test - Increase diagnostic testing capacity","Test",8079,37.582,70,0.87,0.326,611,20853,NA,"Burkina Faso","Does not meet testing target","Does not meet sequencing target","Strengthen/Leverage","Low income","LMIC","Leverage","Strengthen/Leverage","Sequence"
"17","Burundi","BDI","Africa",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","March 31, 2022",TRUE,1,1339861,35677,1261369,35733,35733,0.0249300894221181,0.0266273889604966,0.0283287444038977,0.0283287444038977,2.83287444038977,0.30870843955887,0.290623621180057,11891000,"Does not meet testing target","Test - Increase diagnostic testing capacity","Test",35667,291.03,63,0.18,0.514,63,38509,NA,"Burundi","Does not meet testing target","Does not meet sequencing target","Connect/Build","Low income","LMIC","Connect","Connect/Build","Sequence"
"18","Cameroon","CMR","Africa",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","March 24, 2022",TRUE,8,1337303,62207,1425670,70512,70512,0.0426252482019174,0.0465167579822972,0.0494588509262312,0.0494588509262312,4.94588509262312,0.138018678355174,0.149182341763145,26546000,"Does not meet testing target","Test - Increase diagnostic testing capacity","Test",62207,228.498,427,0.69,1.568,645,119544,NA,"Cameroon","Does not meet testing target","Does not meet sequencing target","Strengthen/Leverage","Lower middle income","LMIC","Leverage","Strengthen/Leverage","Sequence"
"19","Cape Verde","CPV","Africa",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","March 31, 2022",TRUE,1,323204,38370,324600,38717,38717,0.0828102389595851,0.118717590128835,0.119276032039433,0.119276032039433,11.9276032039433,1.59260865280378,1.59948753326106,556000,"Meets testing target","Sustain - Sustain diagnostic testing capacity","Sustain",38365,6827.715,116,0.3,20.644,163,55952,NA,"Cape Verde","Meets testing target","Does not meet sequencing target","Connect/Build","Lower middle income","LMIC","Connect","Connect/Build","Sequence"
"20","Cayman Islands","CYM","Americas",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","No tests reported",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient testing data","Insufficient testing data","Insufficient testing data",20105,30233.992,63,0.31,94.74,97,20606,NA,"Cayman Islands","Insufficient testing data","Does not meet sequencing target","Connect/Build","High income","High Income","Connect","Connect/Build","Sequence"
"21","Central African Republic","CAF","Africa",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","March 24, 2022",TRUE,8,47348,9427,47790,9524,9524,0.232870804776934,0.199100278786855,0.199288554090814,0.199288554090814,19.9288554090814,0.0268572563033552,0.0274844720496894,4830000,"Does not meet testing target","Test - Increase diagnostic testing capacity","Test",9427,191.606,37,0.39,0.752,97,14649,NA,"Central African Republic","Does not meet testing target","Does not meet sequencing target","Connect/Build","Low income","LMIC","Connect","Connect/Build","Sequence"
"22","Chad","TCD","Africa",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","March 31, 2022",TRUE,1,100107,2758,100132,2779,2779,0.0288861963945743,0.0275505209425914,0.0277533655574641,0.0277533655574641,2.77533655574641,0.01669705061638,0.016701220417347,16426000,"Does not meet testing target","Test - Increase diagnostic testing capacity","Test",2758,16.305,22,0.8,0.13,22,7310,NA,"Chad","Does not meet testing target","Does not meet sequencing target","Connect/Build","Low income","LMIC","Connect","Connect/Build","Sequence"
"23","China","CHN","Western Pacific",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","June 24, 2020",FALSE,646,0,1290189,0,1246393,0,NA,Inf,Inf,NA,NA,0,NA,1439324000,"Insufficient testing data","Insufficient testing data","Insufficient testing data",129337,8.956,349,0.27,0.024,1562,227473,NA,"China","Insufficient testing data","Does not meet sequencing target","Strengthen/Leverage","Upper middle income","LMIC","Leverage","Strengthen/Leverage","Sequence"
"24","Colombia","COL","Americas",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","March 31, 2022",TRUE,1,21245567,3667444,21252256,3693216,3693216,0.141271977320913,0.172621610898876,0.173779950702645,0.173779950702645,17.3779950702645,1.14393870009065,1.14429886021087,50883000,"Meets testing target","Sustain - Sustain diagnostic testing capacity","Sustain",3667090,7153.087,11911,0.32,23.234,12951,6084916,NA,"Colombia","Meets testing target","Does not meet sequencing target","Strengthen/Leverage","Upper middle income","LMIC","Leverage","Strengthen/Leverage","Sequence"
"25","Comoros","COM","Africa",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","November 27, 2020",FALSE,490,0,4384,0,4392,0,NA,Inf,Inf,NA,NA,0,NA,870000,"Insufficient testing data","Insufficient testing data","Insufficient testing data",4382,493.215,14,0.32,1.576,20,8086,NA,"Comoros","Insufficient testing data","Does not meet sequencing target","Connect/Build","Lower middle income","LMIC","Connect","Connect/Build","Sequence"
"26","Costa Rica","CRI","Americas",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","March 30, 2022",TRUE,2,3241567,622604,3239015,620524,620524,0.175879560238817,0.192068835843899,0.191577995162109,0.191577995162109,19.1577995162109,1.74342471131764,1.7420521591343,5094000,"Meets testing target","Sustain - Sustain diagnostic testing capacity","Sustain",621773,12098.98,2219,0.36,43.179,2831,838537,NA,"Costa Rica","Meets testing target","Does not meet sequencing target","Strengthen/Leverage","Upper middle income","LMIC","Leverage","Strengthen/Leverage","Sequence"
"27","Cuba","CUB","Americas",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","April 01, 2022",TRUE,0,10510891,1014787,10452823,1015332,1015332,0.076689652281851,0.0965462395148042,0.0971347166215289,0.0971347166215289,9.71347166215289,2.54232909365548,2.52828385564375,11327000,"Meets testing target","Sustain - Sustain diagnostic testing capacity","Sustain",1014009,8959.657,713,0.07,6.3,1159,1090285,NA,"Cuba","Meets testing target","Does not meet sequencing target","Connect/Build","Upper middle income","LMIC","Connect","Connect/Build","Sequence"
"28","Cyprus","CYP","Europe",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","July 11, 2021",FALSE,264,5395289,386384,5484381,375189,39475,0.00737307593856269,0.0716150701102388,0.0684104550723227,0.00719771292329982,0.719771292329982,12.2465730726016,43.6904993308266,1207000,"Insufficient testing data","Insufficient testing data","Insufficient testing data",383893,42844.962,1,0,0.112,728,430726,NA,"Cyprus","Insufficient testing data","Does not meet sequencing target","Strengthen/Leverage","High income","High Income","Leverage","Strengthen/Leverage","Sequence"
"29","Democratic Republic of the Congo","COD","Africa",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","April 01, 2022",TRUE,0,835334,58549,840855,58676,58676,0.124447732005993,0.0700905266635861,0.0697813535032794,0.0697813535032794,6.97813535032794,0.025553380392915,0.0257222711757029,89561000,"Does not meet testing target","Test - Increase diagnostic testing capacity","Test",58549,63.38,232,0.4,0.251,812,86748,NA,"Democratic Republic of the Congo","Does not meet testing target","Does not meet sequencing target","Strengthen/Leverage","Low income","LMIC","Leverage","Strengthen/Leverage","Sequence"
"30","Dominica","DMA","Americas",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","December 28, 2021",TRUE,94,111916,11761,110909,11714,6506,0.0412795073762495,0.105087744379713,0.105618119359114,0.058660703820249,5.8660703820249,4.258599695586,5.62190794809408,72000,"Meets testing target","Sustain - Sustain diagnostic testing capacity","Sustain",11729,16251.455,11,0.09,15.241,20,11893,NA,"Dominica","Meets testing target","Does not meet sequencing target","Connect/Build","Upper middle income","LMIC","Connect","Connect/Build","Sequence"
"31","Dominican Republic","DOM","Americas",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","September 23, 2021",FALSE,190,736057,324934,733518,325761,104122,0.135495056399298,0.441452224488049,0.444107711058215,0.141948800165776,14.1948800165776,0.185895512587384,0.379875335587153,10848000,"Insufficient testing data","Insufficient testing data","Insufficient testing data",324824,2965.423,904,0.28,8.253,1149,578020,NA,"Dominican Republic","Does not meet testing target","Does not meet sequencing target","Strengthen/Leverage","Upper middle income","LMIC","Leverage","Strengthen/Leverage","Sequence"
"32","Egypt","EGY","Eastern Mediterranean",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","March 31, 2022",TRUE,1,3597626,302421,3572680,303266,303266,0.228272550479877,0.0840612670688949,0.0848847363883695,0.0848847363883695,8.48847363883695,0.0963170558078556,0.0956491917013079,102334000,"Does not meet testing target","Test - Increase diagnostic testing capacity","Test",302421,290.069,797,0.26,0.764,1852,505264,NA,"Egypt","Does not meet testing target","Does not meet sequencing target","Strengthen/Leverage","Lower middle income","LMIC","Leverage","Strengthen/Leverage","Sequence"
"33","El Salvador","SLV","Americas",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","March 18, 2022",TRUE,14,1003816,96177,1003820,96626,95163,0.0907571495018332,0.0958113837595735,0.0962582933195194,0.0948008607120799,9.48008607120799,0.424018011396517,0.437195454442511,6486000,"Does not meet testing target","Test - Increase diagnostic testing capacity","Test",96177,1475.447,454,0.47,6.965,460,161144,NA,"El Salvador","Does not meet testing target","Does not meet sequencing target","Strengthen/Leverage","Lower middle income","LMIC","Leverage","Strengthen/Leverage","Sequence"
"34","Equatorial Guinea","GNQ","Africa",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","March 31, 2022",TRUE,1,190998,8992,191095,9094,9094,0.0460316451669549,0.0470790270055184,0.0475888955754991,0.0475888955754991,4.75888955754991,0.372973764633515,0.373163182612601,1403000,"Does not meet testing target","Test - Increase diagnostic testing capacity","Test",8992,620.185,21,0.23,1.448,212,16000,NA,"Equatorial Guinea","Does not meet testing target","Does not meet sequencing target","Connect/Build","Upper middle income","LMIC","Connect","Connect/Build","Sequence"
"35","Eritrea","ERI","Africa",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","December 21, 2020",FALSE,466,0,6420,0,6471,0,NA,Inf,Inf,NA,NA,0,NA,3546000,"Insufficient testing data","Insufficient testing data","Insufficient testing data",6420,178.261,0,0,0,0,9728,NA,"Eritrea","Insufficient testing data","Does not meet sequencing target","Connect/Build","Low income","LMIC","Connect","Connect/Build","Sequence"
"36","Eswatini","SWZ","Africa",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","April 01, 2022",TRUE,0,341255,52488,341609,52395,52395,0.195366743374429,0.153808735403144,0.153377106575061,0.153377106575061,15.3377106575061,0.805987246102976,0.806823334907889,1160000,"Meets testing target","Sustain - Sustain diagnostic testing capacity","Sustain",52427,4471.886,218,0.42,18.595,262,69771,NA,"Eswatini","Meets testing target","Does not meet sequencing target","Sustain","Lower middle income","LMIC","Connect","Connect/Build","Sequence"
"37","Ethiopia","ETH","Africa",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","April 01, 2022",TRUE,0,2301589,260823,2309949,267038,267038,0.0973163247347651,0.113323012927156,0.115603418084122,0.115603418084122,11.5603418084122,0.0548495467074148,0.0550487752449486,114964000,"Does not meet testing target","Test - Increase diagnostic testing capacity","Test",260797,221.246,489,0.19,0.415,539,469758,NA,"Ethiopia","Does not meet testing target","Does not meet sequencing target","Connect/Build","Low income","LMIC","Connect","Connect/Build","Sequence"
"38","Faroe Islands","FRO","Europe",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","February 27, 2022",TRUE,33,536083,0,536822,0,0,NA,0,0,0,0,29.9738887335756,32.7031373743527,49000,"Insufficient testing data","Insufficient testing data","Insufficient testing data",33997,69306.668,1,0,2.039,42,34658,NA,"Faroe Islands","Insufficient testing data","Does not meet sequencing target","Connect/Build","High income","High Income","Connect","Connect/Build","Sequence"
"39","French Polynesia","PYF","Western Pacific",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","September 07, 2020",FALSE,571,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,281000,"Insufficient testing data","Insufficient testing data","Insufficient testing data",53571,18960.904,67,0.13,23.714,94,72204,NA,"French Polynesia","Insufficient testing data","Does not meet sequencing target","Connect/Build","High income","High Income","Connect","Connect/Build","Sequence"
"40","Gabon","GAB","Africa",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","March 31, 2022",TRUE,1,951087,28036,962237,28535,28535,0.0293561766995939,0.0294778500810126,0.0296548563399661,0.0296548563399661,2.96548563399661,1.17058302256028,1.18430626838484,2226000,"Meets testing target","Sustain - Sustain diagnostic testing capacity","Sustain",28034,1230.193,162,0.58,7.109,462,47584,NA,"Gabon","Meets testing target","Does not meet sequencing target","Sustain","Upper middle income","LMIC","Leverage","Strengthen/Leverage","Sequence"
"41","Georgia","GEO","Europe",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","June 16, 2021",FALSE,289,858184,1366393,865313,1366491,75333,0.0885598449449229,1.59219118510716,1.5791869531603,0.0870586712553723,8.70586712553723,0.589418160214563,2.74588345799049,3989000,"Insufficient testing data","Insufficient testing data","Insufficient testing data",1366004,34323.666,1281,0.09,32.188,1367,1648264,NA,"Georgia","Insufficient testing data","Does not meet sequencing target","Strengthen/Leverage","Upper middle income","LMIC","Leverage","Strengthen/Leverage","Sequence"
"42","Ghana","GHA","Africa",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","March 31, 2022",TRUE,1,1421463,70388,1429658,70567,70567,0.0435733567139703,0.0495179965992784,0.0493593572728583,0.0493593572728583,4.93593572728583,0.125331290125903,0.126053848449674,31073000,"Does not meet testing target","Test - Increase diagnostic testing capacity","Test",70388,221.819,1899,2.7,5.984,2736,160971,NA,"Ghana","Does not meet testing target","Does not meet sequencing target","Strengthen/Leverage","Lower middle income","LMIC","Leverage","Strengthen/Leverage","Sequence"
"43","Greece","GRC","Europe",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","April 01, 2022",TRUE,0,67800268,2784359,67043743,2725777,2725777,0.0377195702137296,0.0410670795578566,0.0406566948387712,0.0406566948387712,4.06566948387712,17.8215637440381,17.6227082098468,10423000,"Meets testing target","Sustain - Sustain diagnostic testing capacity","Sustain",2763257,26644.725,10375,0.38,100.041,14466,3030429,NA,"Greece","Meets testing target","Does not meet sequencing target","Sustain","High income","High Income","Leverage","Strengthen/Leverage","Sequence"
"44","Greenland","GRL","Americas",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","August 25, 2021",FALSE,219,35461,0,35560,0,0,NA,0,0,0,0,1.70444604662341,4.18697751089132,57000,"Insufficient testing data","Insufficient testing data","Insufficient testing data",11940,20995.991,0,0,0,0,11972,NA,"Greenland","Insufficient testing data","Does not meet sequencing target","Connect/Build","High income","High Income","Connect","Connect/Build","Sequence"
"45","Grenada","GRD","Americas",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","January 23, 2022",TRUE,68,96960,13874,96653,13869,11187,0.0784452514146815,0.143089933993399,0.143492700692167,0.115743950006725,11.5743950006725,2.3508304036853,2.8511209439528,113000,"Meets testing target","Sustain - Sustain diagnostic testing capacity","Sustain",13874,12276.247,7,0.05,6.194,13,14029,NA,"Grenada","Meets testing target","Does not meet sequencing target","Connect/Build","Upper middle income","LMIC","Connect","Connect/Build","Sequence"
"46","Guatemala","GTM","Americas",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","April 01, 2022",TRUE,0,3194472,635125,3171412,633026,633026,0.19087253923976,0.198820024091618,0.199603835767791,0.199603835767791,19.9603835767791,0.488500674379983,0.484974324626033,17916000,"Does not meet testing target","Test - Increase diagnostic testing capacity","Test",634118,3474.644,1353,0.21,7.414,1770,828874,NA,"Guatemala","Does not meet testing target","Does not meet sequencing target","Strengthen/Leverage","Upper middle income","LMIC","Leverage","Strengthen/Leverage","Sequence"
"47","Guinea","GIN","Africa",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","March 24, 2022",TRUE,8,262462,16376,267229,16733,16733,0.0654839649878052,0.0623937941492483,0.0626167070190735,0.0626167070190735,6.26167070190735,0.0547532150005893,0.0565219506417253,13133000,"Does not meet testing target","Test - Increase diagnostic testing capacity","Test",16376,121.329,212,1.29,1.571,439,36459,NA,"Guinea","Does not meet testing target","Does not meet sequencing target","Connect/Build","Low income","LMIC","Connect","Connect/Build","Sequence"
"48","Guinea-Bissau","GNB","Africa",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","March 31, 2022",TRUE,1,70235,4488,70760,4500,4500,0.0521405540807795,0.0638997650743931,0.0635952515545506,0.0635952515545506,6.35952515545506,0.0977767568771578,0.0985076289119056,1968000,"Does not meet testing target","Test - Increase diagnostic testing capacity","Test",4488,222.675,0,0,0,48,8149,NA,"Guinea-Bissau","Does not meet testing target","Does not meet sequencing target","Connect/Build","Low income","LMIC","Connect","Connect/Build","Sequence"
"49","Guyana","GUY","Americas",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","December 28, 2021",TRUE,94,371658,52883,327806,53073,29068,0.089620464229076,0.142289416614199,0.161903686936786,0.0886743988822657,8.86743988822657,1.29382604306278,1.52016805943294,787000,"Meets testing target","Sustain - Sustain diagnostic testing capacity","Sustain",52878,6690.631,50,0.09,6.326,61,63268,NA,"Guyana","Meets testing target","Does not meet sequencing target","Connect/Build","Upper middle income","LMIC","Connect","Connect/Build","Sequence"
"50","Guyana","GUY","Americas",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","December 28, 2021",TRUE,94,371658,52883,327806,53073,29068,0.089620464229076,0.142289416614199,0.161903686936786,0.0886743988822657,8.86743988822657,1.29382604306278,1.52016805943294,787000,"Meets testing target","Sustain - Sustain diagnostic testing capacity","Sustain",52878,6690.631,50,0.09,6.326,61,63268,NA,"Guyana","Meets testing target","Does not meet sequencing target","Connect/Build","Upper middle income","LMIC","Connect","Connect/Build","Sequence"
"51","Haiti","HTI","Americas",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","No tests reported",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insufficient testing data","Insufficient testing data","Insufficient testing data",17785,154.094,77,0.43,0.667,108,30547,NA,"Haiti","Insufficient testing data","Does not meet sequencing target","Connect/Build","Low income","LMIC","Connect","Connect/Build","Sequence"
