"country","code","population_size","world_bank_economies","date_tests_last_reported","days_since_tests_reported","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","cum_seq","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","dx_testing_binary","sars_cov_2_binary","ngs_capacity","facility_access","ngs_facility","archetype_orig","dx_archetype","sx_archetype","dx_testing_rec","sx_sequencing_rec","prev_dx","prev_sequ","seq_but_no_test_flag","TPR_pct","daily_tests_per_1000","pct_seq","seq_per_100k"
"Aruba","ABW",NaN,"High income","No tests reported",NaN,NaN,NaN,4078,8.23,865.122,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","8.23 %","865.1 per 100k persons"
"Australia","AUS",25500000,"High income","September 09, 2022",173,0.4559,3.05,188727,1.32,408.375,"Does not meet testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","45.6 %","3.05 per 1,000 persons","1.32 %","408.4 per 100k persons"
"Austria","AUT",9006000,"High income","March 01, 2023",0,0.0689,14.62,229395,4.5,1622.105,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","6.9 %","14.62 per 1,000 persons","4.5 %","1622.1 per 100k persons"
"Azerbaijan","AZE",10139000,"Upper middle income","March 01, 2023",0,0.0459,0.27,191,0,0,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","4.6 %","0.27 per 1,000 persons","0 %","0 per 100k persons"
"Bahrain","BHR",1702000,"High income","December 22, 2022",69,0.1506,2.46,10302,1.49,191.953,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","15.1 %","2.46 per 1,000 persons","1.49 %","192 per 100k persons"
"Bangladesh","BGD",164689000,"Lower middle income","February 26, 2023",3,0.0501,0.03,7509,0.83,0.453,"Does not meet testing target","Does not meet sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","5 %","0.03 per 1,000 persons","0.83 %","0.5 per 100k persons"
"Barbados","BRB",287000,"High income","February 17, 2023",12,0.2445,2.06,262,0.29,52.193,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","24.4 %","2.06 per 1,000 persons","0.29 %","52.2 per 100k persons"
"Belarus","BLR",9449000,"Upper middle income","July 06, 2022",238,0.064,1.01,520,0,0,"Insufficient testing data","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","6.4 %","1.01 per 1,000 persons","0 %","0 per 100k persons"
"Belgium","BEL",11590000,"High income","February 24, 2023",5,0.2295,1.21,172381,4.82,477.44,"Does not meet testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","23 %","1.21 per 1,000 persons","4.82 %","477.4 per 100k persons"
"Belize","BLZ",398000,"Upper middle income","June 10, 2022",264,0.0558,1.8,1069,2.25,77.476,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","5.6 %","1.8 per 1,000 persons","2.25 %","77.5 per 100k persons"
"Benin","BEN",12123000,"Lower middle income","January 25, 2022",400,NaN,NaN,1292,2.95,0.315,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","2.95 %","0.3 per 100k persons"
"Bermuda","BMU",62000,"High income","February 23, 2023",6,0,10.24,277,2.04,230.504,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","No cases reported","10.24 per 1,000 persons","2.04 %","230.5 per 100k persons"
"Bhutan","BTN",772000,"Lower middle income","March 01, 2022",365,0.0412,12.89,135,0.12,7.285,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","4.1 %","12.89 per 1,000 persons","0.12 %","7.3 per 100k persons"
"Bolivia","BOL",11673000,"Lower middle income","January 02, 2022",423,NaN,NaN,361,0,0.082,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0 %","0.1 per 100k persons"
"Bosnia and Herzegovina","BIH",3281000,"Upper middle income","March 01, 2023",0,0.2231,0.12,1500,0.27,2.567,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","22.3 %","0.12 per 1,000 persons","0.27 %","2.6 per 100k persons"
"Botswana","BWA",2352000,"Upper middle income","May 18, 2022",287,0.4136,0.55,5255,2.35,60.449,"Insufficient testing data","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","41.4 %","0.55 per 1,000 persons","2.35 %","60.4 per 100k persons"
"Brazil","BRA",212559000,"Upper middle income","August 17, 2022",196,0.6269,0.24,221434,0.7,26.836,"Insufficient testing data","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Test","Sustain","no","62.7 %","0.24 per 1,000 persons","0.7 %","26.8 per 100k persons"
"British Indian Ocean Territory","IOT",NaN,"No income data","No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient testing data","Insufficient data",NaN,"Insufficient data",NaN,"Insufficient data","Insufficient data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics","Insufficient data","Insufficient data","no","Insufficient data","Insufficient data","Insufficient data","Insufficient data"
"British Virgin Islands","VGB",NaN,"High income","No tests reported",NaN,NaN,NaN,198,1.39,54.258,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","1.39 %","54.3 per 100k persons"
"Brunei","BRN",437000,"High income","December 14, 2021",442,NaN,NaN,5297,1.7,796.656,"Insufficient testing data","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","1.7 %","796.7 per 100k persons"
"Bulgaria","BGR",6948000,"Upper middle income","March 01, 2023",0,0.0989,0.83,20452,1.11,33.176,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","9.9 %","0.83 per 1,000 persons","1.11 %","33.2 per 100k persons"
"Burkina Faso","BFA",20903000,"Low income","March 09, 2022",357,0,0.02,758,1.15,0.066,"Insufficient testing data","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","No cases reported","0.02 per 1,000 persons","1.15 %","0.1 per 100k persons"
"Burundi","BDI",11891000,"Low income","January 03, 2023",57,0.0223,0.17,157,0,0,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","2.2 %","0.17 per 1,000 persons","0 %","0 per 100k persons"
"Cambodia","KHM",16719000,"Lower middle income","November 01, 2022",120,0.0331,0.06,3891,13.28,6.435,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","3.3 %","0.06 per 1,000 persons","13.28 %","6.4 per 100k persons"
"Cameroon","CMR",26546000,"Lower middle income","August 25, 2022",188,0.0023,0.18,1503,1.73,0.319,"Insufficient testing data","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","0.2 %","0.18 per 1,000 persons","1.73 %","0.3 per 100k persons"
"Canada","CAN",37742000,"High income","November 28, 2022",93,0.1405,0.81,474265,14.38,490.111,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","14.1 %","0.81 per 1,000 persons","14.38 %","490.1 per 100k persons"
"Cape Verde","CPV",556000,"Lower middle income","January 03, 2023",57,0.0813,0.52,818,5,62.04,"Meets testing target","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","8.1 %","0.52 per 1,000 persons","5 %","62 per 100k persons"
"Cayman Islands","CYM",NaN,"High income","No tests reported",NaN,NaN,NaN,278,1.46,257.559,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","1.46 %","257.6 per 100k persons"
"Central African Republic","CAF",4830000,"Low income","January 03, 2023",57,0.0399,0.02,110,0,0,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","4 %","0.02 per 1,000 persons","0 %","0 per 100k persons"
"Chad","TCD",16426000,"Low income","December 30, 2022",61,0.0163,0,49,0,0,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","1.6 %","0 per 1,000 persons","0 %","0 per 100k persons"
"Chile","CHL",19116000,"High income","March 01, 2023",0,0.1369,2.26,42659,0.85,91.156,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","13.7 %","2.26 per 1,000 persons","0.85 %","91.2 per 100k persons"
"China","CHN",1439324000,"Upper middle income","June 24, 2020",980,NaN,NaN,18564,0.8,1.065,"Insufficient testing data","Does not meet sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","Insufficient data","Insufficient data","0.8 %","1.1 per 100k persons"
"Colombia","COL",50883000,"Upper middle income","February 28, 2023",1,0.0697,0.23,26213,2.7,15.171,"Does not meet testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","7 %","0.23 per 1,000 persons","2.7 %","15.2 per 100k persons"
"Comoros","COM",870000,"Lower middle income","November 13, 2022",108,0.0263,0.15,42,0.83,0.956,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","2.6 %","0.15 per 1,000 persons","0.83 %","1 per 100k persons"
"Cook Islands","COK",NaN,"No income data","No tests reported",NaN,NaN,NaN,0,0,0,"Insufficient testing data","Does not meet sequencing target",NaN,"Insufficient data",NaN,"Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0 %","0 per 100k persons"
"Costa Rica","CRI",5094000,"Upper middle income","June 01, 2022",273,0.1047,1.9,9622,1.59,119.865,"Insufficient testing data","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","10.5 %","1.9 per 1,000 persons","1.59 %","119.9 per 100k persons"
"Croatia","HRV",4105000,"High income","February 26, 2023",3,0.2159,0.67,42077,6.53,345.378,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","21.6 %","0.67 per 1,000 persons","6.53 %","345.4 per 100k persons"
"Cuba","CUB",11327000,"Upper middle income","October 17, 2022",135,0.0388,0.42,1671,0.73,2.756,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Sustain","Connect/Build","no","3.9 %","0.42 per 1,000 persons","0.73 %","2.8 per 100k persons"
"Curaçao","CUW",NaN,"High income","No tests reported",NaN,NaN,NaN,2223,11.43,420.038,"Insufficient testing data","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","11.43 %","420 per 100k persons"
"Cyprus","CYP",1207000,"High income","July 11, 2021",598,NaN,NaN,3131,0.06,21.652,"Insufficient testing data","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Insufficient data","Strengthen/Leverage","no","Insufficient data","Insufficient data","0.06 %","21.7 per 100k persons"
"Czech Republic","CZE",10709000,"High income","February 27, 2023",2,0.1936,1.14,56925,2.7,213.875,"Meets testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","no","19.4 %","1.14 per 1,000 persons","2.7 %","213.9 per 100k persons"
"Democratic Republic of the Congo","COD",89561000,"Low income","January 03, 2023",57,0.0406,0.01,1354,1.47,0.142,"Does not meet testing target","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Test","Strengthen/Leverage","Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","4.1 %","0.01 per 1,000 persons","1.47 %","0.1 per 100k persons"
"Denmark","DNK",5792000,"High income","February 24, 2023",5,0.0854,3.76,631889,36.18,3812.141,"Meets testing target","Meets sequencing target",2,"Has access to sequencing facilities","4+ NGS facilities or equivalent","Strengthen","Sustain","Sustain","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels","Sustain","Sustain","no","8.5 %","3.76 per 1,000 persons","36.18 %","3812.1 per 100k persons"
"Djibouti","DJI",988000,"Lower middle income","September 20, 2022",162,0.0022,0.34,885,133.57,17.041,"Does not meet testing target","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","0.2 %","0.34 per 1,000 persons","133.57 %","17 per 100k persons"
"Dominica","DMA",72000,"Upper middle income","December 28, 2021",428,NaN,NaN,40,0.17,10.995,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0.17 %","11 per 100k persons"
"Dominican Republic","DOM",10848000,"Upper middle income","November 30, 2022",91,0.0867,0.29,2646,1.71,13.056,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","8.7 %","0.29 per 1,000 persons","1.71 %","13.1 per 100k persons"
"East Timor","TLS",NaN,"Lower middle income","No tests reported",NaN,NaN,NaN,356,0,0,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0 %","0 per 100k persons"
"Ecuador","ECU",17643000,"Upper middle income","February 01, 2022",393,NaN,NaN,9444,1.71,21.788,"Insufficient testing data","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Insufficient data","Sustain","Insufficient testing data","Sustain - Sustain current sequencing levels","Insufficient data","Sustain","no","Insufficient data","Insufficient data","1.71 %","21.8 per 100k persons"
"Egypt","EGY",102334000,"Lower middle income","August 15, 2022",198,0.0054,0.37,3214,2.77,0.763,"Insufficient testing data","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Test","Strengthen/Leverage","no","0.5 %","0.37 per 1,000 persons","2.77 %","0.8 per 100k persons"
"El Salvador","SLV",6486000,"Lower middle income","August 30, 2022",183,0.0542,0.72,611,0.33,2.336,"Insufficient testing data","Does not meet sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Leverage","Insufficient data","Strengthen/Leverage","Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity","Sustain","Strengthen/Leverage","no","5.4 %","0.72 per 1,000 persons","0.33 %","2.3 per 100k persons"
"Equatorial Guinea","GNQ",1403000,"Upper middle income","December 30, 2022",61,0.0126,0.26,214,0,0,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","1.3 %","0.26 per 1,000 persons","0 %","0 per 100k persons"
"Eritrea","ERI",3546000,"Low income","December 21, 2020",800,NaN,NaN,0,0,0,"Insufficient testing data","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0 %","0 per 100k persons"
"Estonia","EST",1327000,"High income","February 28, 2023",1,0.2276,1.16,14894,4.04,354.96,"Does not meet testing target","Meets sequencing target",1,"Has access to sequencing facilities","1-3 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","22.8 %","1.16 per 1,000 persons","4.04 %","355 per 100k persons"
"Eswatini","SWZ",1160000,"Lower middle income","January 03, 2023",57,0.0629,0.22,1135,5.75,23.966,"Does not meet testing target","Meets sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Strengthen","Test","Sustain","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels","Test","Sustain","yes","6.3 %","0.22 per 1,000 persons","5.75 %","24 per 100k persons"
"Ethiopia","ETH",114964000,"Low income","January 03, 2023",57,0.0319,0.03,616,0,0,"Does not meet testing target","Does not meet sequencing target",0,"Does not have access to sequencing facilities","0 NGS facilities or equivalent","Connect","Test","Connect/Build","Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Test","Connect/Build","no","3.2 %","0.03 per 1,000 persons","0 %","0 per 100k persons"
"Falkland Islands","FLK",NaN,"No income data","No tests reported",NaN,NaN,NaN,0,0,0,"Insufficient testing data","Does not meet sequencing target",NaN,"Insufficient data",NaN,"Connect","Insufficient data","Connect/Build","Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch","Insufficient data","Connect/Build","no","Insufficient data","Insufficient data","0 %","0 per 100k persons"
