"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Finland","High income","February 23, 2023","39.5 %","1.04 per 1,000 persons","1.78 %","Insufficient data",46126,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"France","High income","May 17, 2022","25.1 %","5.07 per 1,000 persons","1.39 %","Insufficient data",552237,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"French Polynesia","High income","September 07, 2020","Insufficient data","Insufficient data","0 %","Insufficient data",110,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Gabon","Upper middle income","January 03, 2023","2.6 %","0.08 per 1,000 persons","0.14 %","Insufficient data",967,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Georgia","Upper middle income","June 16, 2021","Insufficient data","Insufficient data","0.53 %","Insufficient data",2969,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Germany","High income","December 15, 2022","58.6 %","1.57 per 1,000 persons","1.67 %","Insufficient data",892432,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ghana","Lower middle income","January 03, 2023","5.5 %","0.02 per 1,000 persons","11.06 %","Insufficient data",5116,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Gibraltar","High income","No tests reported","Insufficient data","Insufficient data","0 %","Insufficient data",2749,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Greece","High income","December 20, 2022","8.5 %","11.98 per 1,000 persons","0.35 %","Insufficient data",27480,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Greenland","High income","August 25, 2021","Insufficient data","Insufficient data","0 %","Insufficient data",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Grenada","Upper middle income","November 09, 2022","12.8 %","1.61 per 1,000 persons","0 %","Insufficient data",59,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guam","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",952,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Guatemala","Upper middle income","March 01, 2023","15.3 %","0.46 per 1,000 persons","0.55 %","Insufficient data",4359,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Guinea","Low income","December 30, 2022","1.4 %","0.03 per 1,000 persons","5.94 %","Insufficient data",840,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guinea-Bissau","Low income","July 11, 2022","1.8 %","0.08 per 1,000 persons","0 %","Insufficient data",49,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Guyana","Upper middle income","December 28, 2021","Insufficient data","Insufficient data","0.02 %","Insufficient data",147,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Haiti","Low income","No tests reported","Insufficient data","Insufficient data","2.43 %","Insufficient data",550,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Honduras","Lower middle income","February 26, 2023","15.4 %","0.11 per 1,000 persons","0 %","Insufficient data",233,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Hong Kong SAR, China","High income","January 29, 2023","No cases reported","15.03 per 1,000 persons","0.34 %","Insufficient data",15161,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Hungary","High income","May 11, 2022","19.6 %","0.91 per 1,000 persons","0.07 %","Insufficient data",904,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iceland","High income","August 23, 2022","31.9 %","4.16 per 1,000 persons","4.38 %","Insufficient data",21866,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"India","Lower middle income","March 01, 2023","1.2 %","0.3 per 1,000 persons","2.61 %","Insufficient data",233986,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Indonesia","Upper middle income","December 25, 2022","4.1 %","0.36 per 1,000 persons","2.18 %","Insufficient data",47632,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iran","Upper middle income","September 20, 2022","7.4 %","0.4 per 1,000 persons","0.25 %","Insufficient data",3489,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Iraq","Upper middle income","August 06, 2022","12.9 %","0.18 per 1,000 persons","0.05 %","Insufficient data",1361,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ireland","High income","January 04, 2023","25.2 %","1.02 per 1,000 persons","10 %","Insufficient data",103778,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Isle of Man","High income","No tests reported","Insufficient data","Insufficient data","0 %","Insufficient data",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Israel","High income","January 23, 2022","Insufficient data","Insufficient data","7.73 %","Insufficient data",148857,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Italy","High income","February 24, 2023","15.9 %","3.69 per 1,000 persons","0.45 %","Insufficient data",170229,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ivory Coast","Lower middle income","January 03, 2023","2.6 %","0.03 per 1,000 persons","2.01 %","Insufficient data",902,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Jamaica","Upper middle income","September 30, 2022","7.2 %","0.52 per 1,000 persons","4.57 %","Insufficient data",2593,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Japan","High income","February 19, 2023","49.2 %","1.27 per 1,000 persons","1.13 %","Insufficient data",574253,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Jordan","Upper middle income","July 27, 2022","5 %","1.17 per 1,000 persons","0.12 %","Insufficient data",1567,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kazakhstan","Upper middle income","May 28, 2021","Insufficient data","Insufficient data","0.44 %","Insufficient data",2047,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kenya","Lower middle income","January 03, 2023","3.3 %","0.04 per 1,000 persons","8.45 %","Insufficient data",11952,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kiribati","Lower middle income","No tests reported","Insufficient data","Insufficient data","5.15 %","Insufficient data",137,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Kosovo","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Kuwait","High income","March 10, 2022","3.8 %","3.2 per 1,000 persons","1.41 %","Insufficient data",1057,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Kyrgyzstan","Lower middle income","June 23, 2021","Insufficient data","Insufficient data","0 %","Insufficient data",327,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Laos","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.76 %","Insufficient data",1047,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Latvia","High income","February 28, 2023","27.2 %","1.79 per 1,000 persons","3.39 %","Insufficient data",26486,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Lebanon","Upper middle income","June 23, 2021","Insufficient data","Insufficient data","0.05 %","Insufficient data",2609,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Lesotho","Lower middle income","December 30, 2022","2 %","0.15 per 1,000 persons","2.57 %","Insufficient data",280,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Liberia","Low income","September 26, 2021","Insufficient data","Insufficient data","0 %","Insufficient data",110,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Libya","Upper middle income","January 03, 2023","5.5 %","0.39 per 1,000 persons","0.26 %","Insufficient data",141,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Liechtenstein","High income","No tests reported","Insufficient data","Insufficient data","9.48 %","Insufficient data",1885,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Lithuania","High income","February 27, 2023","31.8 %","1.1 per 1,000 persons","1.65 %","Insufficient data",41053,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Luxembourg","High income","February 19, 2023","27.3 %","2.19 per 1,000 persons","19.63 %","Insufficient data",54035,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Macao SAR, China","High income","No tests reported","Insufficient data","Insufficient data","0 %","Insufficient data",1,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Madagascar","Low income","December 30, 2022","2.4 %","0.02 per 1,000 persons","0 %","Insufficient data",880,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Malawi","Low income","December 30, 2022","3.6 %","0.01 per 1,000 persons","1.98 %","Insufficient data",1376,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Malaysia","Upper middle income","June 16, 2021","Insufficient data","Insufficient data","1.44 %","Insufficient data",36573,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Maldives","Upper middle income","November 09, 2021","Insufficient data","Insufficient data","0.33 %","Insufficient data",1294,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mali","Low income","January 03, 2023","1.3 %","0.03 per 1,000 persons","2.29 %","Insufficient data",217,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Malta","High income","September 06, 2021","Insufficient data","Insufficient data","0 %","Insufficient data",893,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Marshall Islands","Upper middle income","No tests reported","Insufficient data","Insufficient data","0.17 %","Insufficient data",26,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mauritania","Lower middle income","December 30, 2022","2 %","0.17 per 1,000 persons","0.14 %","Insufficient data",58,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mauritius","High income","December 30, 2022","37.4 %","0.87 per 1,000 persons","3.65 %","Insufficient data",6484,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mexico","Upper middle income","February 27, 2023","No cases reported","0.1 per 1,000 persons","1.37 %","Insufficient data",86162,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Micronesia","Lower middle income","No tests reported","Insufficient data","Insufficient data","0 %","Insufficient data",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Moldova","Lower middle income","June 13, 2021","Insufficient data","Insufficient data","0.34 %","Insufficient data",878,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Monaco","High income","No tests reported","Insufficient data","Insufficient data","0.06 %","Insufficient data",101,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mongolia","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.55 %","Insufficient data",1666,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Montenegro","Upper middle income","June 21, 2021","Insufficient data","Insufficient data","0.43 %","Insufficient data",929,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Morocco","Lower middle income","January 03, 2023","6 %","0.16 per 1,000 persons","0.84 %","Insufficient data",1718,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Mozambique","Low income","January 03, 2023","4.1 %","0.01 per 1,000 persons","5.35 %","Insufficient data",1591,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Myanmar","Lower middle income","February 27, 2023","1.7 %","0.15 per 1,000 persons","0.07 %","Insufficient data",106,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Namibia","Upper middle income","September 13, 2022","9.7 %","0.25 per 1,000 persons","1.27 %","Insufficient data",833,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Nauru","High income","No tests reported","Insufficient data","Insufficient data","0 %","Insufficient data",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Nepal","Lower middle income","February 28, 2023","4.1 %","0.06 per 1,000 persons","1.99 %","Insufficient data",3337,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Netherlands","High income","January 25, 2022","Insufficient data","Insufficient data","2.34 %","Insufficient data",159355,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"New Caledonia","High income","September 07, 2021","Insufficient data","Insufficient data","0.21 %","Insufficient data",62,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
