"name","Date tests last reported","Test positivity rate (%) in past year","Average daily tests in past year","% of cases sequenced in past year","Number of sequences in past year","World Bank Economic Status","COVID-19 Diagnostic Testing Capacity","SARS-CoV-2 Sequencing Capacity","NGS Facility Access","Archetype"
"Australia","February 24, 2022","6.4 %","5.25 per 1000 persons","3.32 %","130.7 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Austria","February 24, 2022","1.4 %","43.42 per 1000 persons","0.95 %","93.9 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Azerbaijan","February 24, 2022","13.8 %","1.07 per 1000 persons","0 %","0 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Bahrain","February 24, 2022","6 %","10.15 per 1000 persons","1.23 %","121 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Bangladesh","February 23, 2022","15 %","0.15 per 1000 persons","0.26 %","1.6 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Barbados","February 24, 2022","11.2 %","4.37 per 1000 persons","0.32 %","32.7 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Belarus","February 24, 2022","8.1 %","2.18 per 1000 persons","0 %","0.1 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Belgium","February 24, 2022","12.4 %","5.27 per 1000 persons","4.61 %","583.3 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Belize","February 24, 2022","10.7 %","2.84 per 1000 persons","0.91 %","52.9 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Benin","January 25, 2022","1.6 %","0.17 per 1000 persons","2.88 %","4.7 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Bermuda","February 22, 2022","No cases reported","27.13 per 1000 persons","0.69 %","72.5 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Bhutan","February 24, 2022","0.8 %","4.1 per 1000 persons","0 %","0 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Bolivia","January 02, 2022","15.5 %","0.65 per 1000 persons","0.01 %","0.2 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Test"
"Bosnia and Herzegovina","February 24, 2022","31.6 %","0.64 per 1000 persons","0.62 %","32.1 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Test"
"Botswana","February 18, 2022","16.5 %","1.67 per 1000 persons","0.98 %","82.3 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Brazil","February 17, 2022","38.8 %","0.6 per 1000 persons","0.69 %","38.7 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Test"
"British Virgin Islands","No tests reported","Insufficient data","Insufficient data","1.71 %","230.1 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Brunei","December 14, 2021","2.7 %","4.42 per 1000 persons","2.43 %","85.2 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Bulgaria","January 02, 2022","8.8 %","2.68 per 1000 persons","1.75 %","136.5 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Burkina Faso","February 21, 2022","5.4 %","0.02 per 1000 persons","1.07 %","0.4 per 100k persons","Low income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Burundi","February 24, 2022","2.8 %","0.3 per 1000 persons","0.19 %","0.5 per 100k persons","Low income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Cambodia","February 24, 2022","5.3 %","0.39 per 1000 persons","1.65 %","11.6 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Cameroon","February 24, 2022","5.6 %","0.16 per 1000 persons","0.5 %","1.4 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Canada","February 24, 2022","7.1 %","2.47 per 1000 persons","9.31 %","409.1 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Cape Verde","February 24, 2022","12.2 %","1.65 per 1000 persons","0.56 %","34.9 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Cayman Islands","No tests reported","Insufficient data","Insufficient data","0.76 %","115.8 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Central African Republic","February 08, 2022","19.8 %","0.03 per 1000 persons","0.58 %","0.9 per 100k persons","Low income","Has not demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Test"
"Chad","February 09, 2022","3.2 %","0.02 per 1000 persons","0 %","0 per 100k persons","Low income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Chile","February 02, 2022","6.8 %","3.19 per 1000 persons","1.61 %","85.6 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"China","June 24, 2020","Insufficient data","Insufficient data","1.37 %","0 per 100k persons","Upper middle income","Insufficient data","Has demonstrated sequencing capacity","Has access to sequencing facilities","Insufficient data"
"Colombia","February 24, 2022","16.7 %","1.23 per 1000 persons","0.34 %","20.4 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Comoros","November 27, 2020","Insufficient data","Insufficient data","0.27 %","1.2 per 100k persons","Lower middle income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Costa Rica","February 23, 2022","19.4 %","1.63 per 1000 persons","0.5 %","37 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Croatia","February 24, 2022","25.3 %","2.12 per 1000 persons","2.42 %","311.5 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Cuba","February 23, 2022","9.5 %","2.6 per 1000 persons","0 %","0 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Curaçao","No tests reported","Insufficient data","Insufficient data","3.76 %","547.3 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Cyprus","July 11, 2021","0.7 %","40.83 per 1000 persons","0.03 %","5.7 per 100k persons","High income","Insufficient data","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Insufficient data"
"Czech Republic","February 24, 2022","5 %","12.07 per 1000 persons","1.48 %","185.2 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Democratic Republic of the Congo","February 24, 2022","7.3 %","0.03 per 1000 persons","0.17 %","0.1 per 100k persons","Low income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Denmark","December 30, 2021","0.6 %","50.02 per 1000 persons","30.43 %","3981 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Djibouti","February 24, 2022","5.6 %","0.47 per 1000 persons","3.32 %","26.9 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Dominica","December 28, 2021","5.8 %","5.06 per 1000 persons","0.31 %","30.5 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Dominican Republic","September 23, 2021","14.1 %","0.37 per 1000 persons","0.29 %","5.8 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"East Timor","No tests reported","Insufficient data","Insufficient data","1.59 %","23.3 per 100k persons","Lower middle income","Insufficient data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Ecuador","February 01, 2022","31.2 %","0.25 per 1000 persons","1.21 %","19 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Test"
"Egypt","February 24, 2022","7.8 %","0.1 per 1000 persons","0.21 %","0.4 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"El Salvador","February 14, 2022","8.8 %","0.41 per 1000 persons","0.48 %","4.6 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Equatorial Guinea","February 24, 2022","5.3 %","0.37 per 1000 persons","0.22 %","1.3 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Eritrea","December 21, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons","Low income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Estonia","February 24, 2022","18.9 %","4.45 per 1000 persons","3.87 %","560.8 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Eswatini","February 24, 2022","15.4 %","0.8 per 1000 persons","0.18 %","7.8 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Test"
"Ethiopia","February 24, 2022","13.3 %","0.06 per 1000 persons","0.17 %","0.4 per 100k persons","Low income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Faroe Islands","February 24, 2022","No cases reported","30.5 per 1000 persons","0.04 %","6.1 per 100k persons","High income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Fiji","December 29, 2021","12 %","1.59 per 1000 persons","0.9 %","57.3 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Finland","September 15, 2021","2.2 %","3.25 per 1000 persons","6.85 %","309.1 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"France","February 24, 2022","9.9 %","8.15 per 1000 persons","1.52 %","198.2 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"French Polynesia","September 07, 2020","Insufficient data","Insufficient data","0.12 %","11.7 per 100k persons","High income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Gabon","February 24, 2022","3.2 %","1.31 per 1000 persons","0.5 %","6.5 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Georgia","June 16, 2021","7.7 %","2.48 per 1000 persons","0.12 %","20.2 per 100k persons","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Insufficient data"
"Germany","February 22, 2022","17.7 %","2.13 per 1000 persons","5.9 %","361.1 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Ghana","February 24, 2022","5.5 %","0.13 per 1000 persons","2.42 %","5.3 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Gibraltar","No tests reported","Insufficient data","Insufficient data","38.77 %","6509.2 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Greece","February 24, 2022","3.6 %","15.44 per 1000 persons","0.82 %","104.6 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Greenland","August 25, 2021","No cases reported","3.55 per 1000 persons","0 %","0 per 100k persons","High income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Grenada","January 23, 2022","11.3 %","2.62 per 1000 persons","0.5 %","33.6 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Guam","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data","High income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Guatemala","February 16, 2022","19.8 %","0.45 per 1000 persons","0.24 %","6.1 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Test"
"Guinea","February 11, 2022","7.5 %","0.06 per 1000 persons","0.56 %","0.8 per 100k persons","Low income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Guinea-Bissau","February 24, 2022","6.7 %","0.1 per 1000 persons","0 %","0 per 100k persons","Low income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Guyana","December 28, 2021","8.7 %","1.46 per 1000 persons","0.13 %","6.2 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Haiti","No tests reported","Insufficient data","Insufficient data","0.45 %","0.6 per 100k persons","Low income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Honduras","December 22, 2021","31.1 %","0.23 per 1000 persons","0.04 %","0.9 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Test"
"Hong Kong SAR, China","February 08, 2022","No cases reported","10.47 per 1000 persons","45.7 %","11.3 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","Has access to sequencing facilities","Insufficient data"
"Hungary","February 24, 2022","18.9 %","2.03 per 1000 persons","0 %","0 per 100k persons","High income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Iceland","February 08, 2022","6.1 %","10.11 per 1000 persons","14.39 %","1186 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"India","February 24, 2022","5.8 %","1.09 per 1000 persons","0.31 %","5.5 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Indonesia","February 24, 2022","5.3 %","0.75 per 1000 persons","0.34 %","3.7 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Iran","February 24, 2022","14.9 %","1.18 per 1000 persons","0 %","0.1 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Iraq","February 24, 2022","14.4 %","0.77 per 1000 persons","0.01 %","0.2 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Ireland","February 24, 2022","13.7 %","4.36 per 1000 persons","5.36 %","819.4 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Isle of Man","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons","High income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Israel","January 23, 2022","4.5 %","11.9 per 1000 persons","4.11 %","326.9 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Italy","February 24, 2022","6.6 %","6.64 per 1000 persons","1.55 %","118 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Ivory Coast","February 24, 2022","4.9 %","0.1 per 1000 persons","0.21 %","0.4 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Jamaica","December 26, 2021","14.1 %","0.55 per 1000 persons","0.51 %","13.7 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Japan","February 15, 2022","13.6 %","0.59 per 1000 persons","11.15 %","118.2 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Jordan","December 27, 2021","7.7 %","2.86 per 1000 persons","0.09 %","5.6 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Kazakhstan","May 28, 2021","4.3 %","2.36 per 1000 persons","0.05 %","2.1 per 100k persons","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Insufficient data"
"Kenya","February 24, 2022","10.5 %","0.11 per 1000 persons","1.76 %","6.6 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Kiribati","No tests reported","Insufficient data","Insufficient data","0 %","Insufficient data","Lower middle income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Kosovo","February 24, 2022","No cases reported","Insufficient data","Insufficient data","Insufficient data","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Kuwait","February 24, 2022","7.5 %","3.69 per 1000 persons","0.12 %","7.1 per 100k persons","High income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Kyrgyzstan","June 23, 2021","1.3 %","2.99 per 1000 persons","0 %","0 per 100k persons","Lower middle income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Laos","July 06, 2021","1.2 %","0.2 per 1000 persons","0 %","0 per 100k persons","Lower middle income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Latvia","January 24, 2022","5.8 %","7.11 per 1000 persons","3.02 %","330.8 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Lebanon","June 23, 2021","10.3 %","2.19 per 1000 persons","0.15 %","8.9 per 100k persons","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Insufficient data"
"Lesotho","February 24, 2022","6.6 %","0.43 per 1000 persons","0.02 %","0.2 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Liberia","September 26, 2021","5.7 %","0.06 per 1000 persons","1.59 %","1.5 per 100k persons","Low income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Libya","February 24, 2022","21.1 %","0.67 per 1000 persons","0.02 %","0.6 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Test"
"Liechtenstein","No tests reported","Insufficient data","Insufficient data","11.48 %","1207.7 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Lithuania","January 26, 2022","8.2 %","5.8 per 1000 persons","6.96 %","897.7 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Luxembourg","February 14, 2022","6.1 %","8.81 per 1000 persons","27.58 %","2499.6 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Macao SAR, China","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons","High income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Madagascar","February 12, 2022","15.8 %","0.03 per 1000 persons","0.87 %","1.1 per 100k persons","Low income","Has not demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Test"
"Malawi","February 24, 2022","15.1 %","0.05 per 1000 persons","1.07 %","2.7 per 100k persons","Low income","Has not demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Test"
"Malaysia","June 16, 2021","5.3 %","1.97 per 1000 persons","0.26 %","20.1 per 100k persons","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Insufficient data"
"Maldives","November 09, 2021","6 %","8.35 per 1000 persons","1.12 %","163.2 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Mali","February 24, 2022","5.1 %","0.06 per 1000 persons","0.23 %","0.2 per 100k persons","Low income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Malta","September 06, 2021","2.9 %","6.17 per 1000 persons","1.59 %","119.9 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Marshall Islands","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Mauritania","February 24, 2022","6.2 %","0.39 per 1000 persons","0 %","0 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Mauritius","September 01, 2021","50.2 %","0.08 per 1000 persons","2.1 %","38.6 per 100k persons","High income","Has not demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Test"
"Mexico","February 24, 2022","35.1 %","0.2 per 1000 persons","1.84 %","29.2 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Test"
"Micronesia","No tests reported","Insufficient data","Insufficient data","Insufficient data","0 per 100k persons","Lower middle income","Insufficient data",NaN,"Does not have access to sequencing facilities","Insufficient data"
"Moldova","June 13, 2021","16.2 %","1.08 per 1000 persons","0.07 %","3.7 per 100k persons","Lower middle income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Monaco","No tests reported","Insufficient data","Insufficient data","2.12 %","197.4 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Mongolia","No tests reported","Insufficient data","Insufficient data","0.06 %","7.1 per 100k persons","Lower middle income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Montenegro","June 21, 2021","20 %","1.86 per 1000 persons","0.39 %","71.8 per 100k persons","Upper middle income","Insufficient data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Morocco","February 24, 2022","11.6 %","0.43 per 1000 persons","0.06 %","0.8 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Mozambique","February 24, 2022","19.8 %","0.08 per 1000 persons","0.35 %","1.7 per 100k persons","Low income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Test"
"Myanmar","February 24, 2022","9.6 %","0.22 per 1000 persons","0.01 %","0.1 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Namibia","February 24, 2022","18.3 %","0.71 per 1000 persons","0.11 %","4.9 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Test"
"Nauru","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data","High income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Nepal","February 24, 2022","21.6 %","0.31 per 1000 persons","0.16 %","2.9 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Test"
"Netherlands","January 25, 2022","15.4 %","3.39 per 1000 persons","3.15 %","418.6 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"New Caledonia","September 07, 2021","No cases reported","0.36 per 1000 persons","0 %","0 per 100k persons","High income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"New Zealand","February 24, 2022","0.8 %","2.76 per 1000 persons","34.96 %","84.4 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Nicaragua","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons","Lower middle income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
